Dataset,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l,MACE-OMOL-0-100M,MACE-OMOL-0-4M,MACE-MP-0b3
BH28,0.985091284,3.686791699,1.367411355,1.105877019,1.460594929,1.93621087,13.33375641
BH46,1.419316848,18.39892384,2.548473682,1.991465852,2.34331899,5.07811398,21.25884059
BH876,1.368165316,6.310126401,2.936821543,1.992996487,2.122601798,4.833403636,11.90751762
BHDIV7,1.472263696,6.861828416,1.871595213,2.055053789,1.652551485,3.997252473,18.89237094
BHPERI11,1.335940608,10.70693631,3.605926132,2.156673486,1.20706002,3.048839014,17.6469034
BHROT27,0.221744329,0.571607596,0.255418398,0.286837252,0.246626139,0.25165024,2.381263584
CRBH14,1.139680434,3.114309078,1.939693034,0.758534661,0.725966833,1.140965446,12.32981063
DBH22,1.174704464,22.74920898,4.241196374,2.80326901,2.172065444,4.39144443,19.7988466
INV23,1.058039561,2.607058046,2.411559756,2.367413056,1.6402645,2.327454466,9.340382441
ORBH35,2.196916822,4.39672411,3.859233232,3.621902016,4.101479716,5.894449277,20.04308278
PX9,1.816533892,3.009846957,2.729328332,1.697555332,3.415047868,3.990831297,17.31751518
WCPT26,1.21321077,2.100366788,1.965500201,1.804587082,1.793835553,1.794882237,14.78241262
