Dataset,Datatype,wB97M-V,MACE-MP-0b3
BH28,Barrier Height,0.9850912835756124,13.333756412060353
BH46,Barrier Height,1.4193168480753358,21.25884058735785
BH876,Barrier Height,1.368165316460258,11.90751762136665
BHDIV7,Barrier Height,1.4722636962125644,18.892370935289705
BHPERI11,Barrier Height,1.3359406075006328,17.64690340295713
BHROT27,Barrier Height,0.22174432900191873,2.3812635840442824
CRBH14,Barrier Height,1.1396804343044435,12.329810632966728
DBH22,Barrier Height,1.1747044640548656,19.798846603965387
INV23,Barrier Height,1.0580395608231514,9.340382441037512
ORBH35,Barrier Height,2.1969168218617594,20.04308278022956
PX9,Barrier Height,1.8165338922457357,17.317515182547297
WCPT26,Barrier Height,1.2132107697975487,14.782412615177016
