Dataset,Datatype,wB97M-V,MACE-MP-0b3
ACONF,Intramolecular Noncovalent,0.05751841782653132,2.2775245333990073
Amino20x4,Intramolecular Noncovalent,0.18890832527745824,2.4025502429000047
BUT14DIOL,Intramolecular Noncovalent,0.029152971434054164,0.6746008045366966
ICONF,Intramolecular Noncovalent,0.14058225788281006,3.187349304306803
IDISP,Intramolecular Noncovalent,1.6540542306956907,8.104391561939977
MCONF,Intramolecular Noncovalent,0.35829233762595025,1.564008371547762
PCONF21,Intramolecular Noncovalent,0.5761295700446687,4.454696773175133
Pentane13,Intramolecular Noncovalent,0.08887695980919769,2.9934662706643773
SCONF,Intramolecular Noncovalent,0.12982607736257418,5.902766897093789
UPU23,Intramolecular Noncovalent,0.43954295622982054,9.749339601973427
