Dataset,Datatype,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
ACONF,Intramolecular Noncovalent,0.05751841782653132,0.09699024090193573,0.06929694266511688
Amino20x4,Intramolecular Noncovalent,0.18890832527745824,0.22738412566279784,0.19267087819285156
BUT14DIOL,Intramolecular Noncovalent,0.029152971434054164,0.0653089265814205,0.09231813433179867
ICONF,Intramolecular Noncovalent,0.14058225788281006,0.3726661455937129,0.4651167844149326
IDISP,Intramolecular Noncovalent,1.6540542306956907,1.6493345040273422,1.8038204809277782
MCONF,Intramolecular Noncovalent,0.35829233762595025,0.39808879806417335,0.425779898514189
PCONF21,Intramolecular Noncovalent,0.5761295700446687,0.5506181125516968,0.6761667341232451
Pentane13,Intramolecular Noncovalent,0.08887695980919769,0.11498228828710484,0.11307942353383083
SCONF,Intramolecular Noncovalent,0.12982607736257418,0.2178824068803724,0.3010926161900624
UPU23,Intramolecular Noncovalent,0.43954295622982054,0.5186302077996991,0.592784750689769
