Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
ACONF,Intramolecular Noncovalent,0.05751841782653132,0.10114920453542758,0.12433884888042816,0.10938301693423409
Amino20x4,Intramolecular Noncovalent,0.18890832527745824,0.37056900064139625,0.21510383130093763,0.2147065521223716
BUT14DIOL,Intramolecular Noncovalent,0.029152971434054164,0.2288004037022331,0.07980534418566321,0.05653432217371872
ICONF,Intramolecular Noncovalent,0.14058225788281006,1.162046680743659,0.47392856713117065,0.3736228972978652
IDISP,Intramolecular Noncovalent,1.6540542306956907,1.426653963156438,2.3896255686930434,2.1441710921952493
MCONF,Intramolecular Noncovalent,0.35829233762595025,0.8952273332588475,0.4323702021734825,0.40911115781608026
PCONF21,Intramolecular Noncovalent,0.5761295700446687,0.6987443648168831,0.44118579992934387,0.5697023728674774
Pentane13,Intramolecular Noncovalent,0.08887695980919769,0.22734853638726968,0.14876550723314463,0.13431591788176697
SCONF,Intramolecular Noncovalent,0.12982607736257418,0.8474824867783092,0.33272185266342136,0.29510125365775447
UPU23,Intramolecular Noncovalent,0.43954295622982065,1.1732391129565842,0.5398764120103009,0.4874673574282752
