Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
3B-69,Noncovalent,0.10212202504782644,0.3094827271098367,0.12337183768496028,0.1320318217955674
3BHET,Noncovalent,0.15376626753310826,0.5652162632871093,0.24967430082166997,0.18220938739912113
A19Rel6,Noncovalent,0.05401996057972952,0.31382980084457446,0.08751487578548177,0.06688421917763367
A24,Noncovalent,0.07776253233940134,1.5939374844161875,0.11582712591769502,0.0977148483221244
ADIM6,Noncovalent,0.10422747248705484,0.9610933427514614,0.1246870560865145,0.10936653831263259
AHB21,Noncovalent,0.22771949180586476,1.1063683096674173,0.6168175297025363,0.30845633553048096
Bauza30,Noncovalent,0.4505916586632498,3.939151260664031,0.9229153548048319,0.800950757753151
BzDC215,Noncovalent,0.13628207273781412,2.1745068018781275,0.1867933118886928,1.7256959462461072
CARBHB8,Noncovalent,0.18475681435806138,2.1787508908929296,0.44971517697583496,0.330374164046477
CHB6,Noncovalent,0.7859437354276722,0.46117778886229627,0.399819250864257,0.712330394534248
CT20,Noncovalent,0.07300327989584829,1.1051420052784384,0.270168267098839,0.2803979589178812
DS14,Noncovalent,0.1326635237816013,0.3458352819837442,0.1263626092677234,0.13501760003978408
FmH2O10,Noncovalent,0.415417327275847,0.28292438091328903,1.068326118621161,2.0762629459309436
H2O16Rel4,Noncovalent,0.03873153193484208,0.25898918339123855,0.42168175502194416,0.2491985243293678
H2O20Rel9,Noncovalent,0.10429724113637283,0.2529577461256005,0.2980305164605192,0.19444177756825726
HB262,Noncovalent,0.15632109405584202,0.37978610042640454,0.17763405810810856,0.1776418875568607
HB49,Noncovalent,0.17614374322985557,0.4848323482960251,0.23842981522063367,0.19690413085397115
HCP32,Noncovalent,0.5025068944283244,4.8343639853277205,1.0283727022427507,0.7199246430212257
HEAVY28,Noncovalent,0.17873398963499967,1.1826374381957143,0.6183880977579642,0.5918414030628628
HSG,Noncovalent,0.08592767853950606,0.27037006939362185,0.12374118634389249,0.11682307187113386
HW30,Noncovalent,0.13456168246622113,0.8605582789413717,0.1464857105404262,0.15965560128812567
HW6Cl5,Noncovalent,0.20929279562128258,1.8583329082488773,0.32934124552422545,0.5203517220619389
HW6F,Noncovalent,0.12280685896259413,1.0065545371211695,0.7674805810736475,0.519517449231639
He3,Noncovalent,0.1829814373550583,11.225484328989243,8.645616103818085,14.227641013657612
IHB100,Noncovalent,0.24572619460983477,1.0350748753085608,0.3894707405808868,0.35687367226856964
IHB100x2,Noncovalent,0.30927233112140173,0.9879245707396384,0.4594168205966422,0.4431392834394254
IL16,Noncovalent,0.7832339743243875,1.7877510743940208,1.2833703516354156,0.9730832211795404
NBC10,Noncovalent,0.10106306770566142,0.37656499321615455,0.219909376250865,0.15990810047174153
NC11,Noncovalent,0.04531657786299372,4.770318731828974,0.6885835204716702,1.147437829143927
O24,Noncovalent,0.592965555986842,4.170335692892732,2.8022989034217978,3.368664786568584
O24x4,Noncovalent,0.4079349623432081,4.168872887499633,2.719579069506312,3.1261581033401105
PNICO23,Noncovalent,0.22870793874619694,3.785697210171287,1.06600282639109,0.7283715637381054
RG10N,Noncovalent,0.09279615898120529,14.354379908372978,3.5698303995206437,600.0576043100285
RG18,Noncovalent,0.06052816938120672,5.636895415151825,1.9541242052761316,14.742236276089958
S22,Noncovalent,0.21765679524079956,0.6070750221347226,0.22354529943056448,0.2284318800770747
S66,Noncovalent,0.1219622752585814,0.3241371182655725,0.13397820533185062,0.11670452551747938
S66Rel7,Noncovalent,0.06945999034603142,0.1788599544904147,0.09579585067469408,0.0897023202926495
SW49Bind22,Noncovalent,0.2752499199897583,0.7948349650699686,0.36335989476605995,0.5304265555944198
SW49Rel28,Noncovalent,0.12778979882550792,0.8776092037942468,0.35182513726564313,0.4511225367443271
Shields38,Noncovalent,0.35539586021976044,0.728577863277045,1.1890665283716602,1.1144932880460976
TA13,Noncovalent,1.6662614476398643,7.454918071576035,4.0992003367209655,5.570548001453798
WATER27,Noncovalent,0.3923263698076523,0.9098827253136313,1.5681466950102745,1.5472788302572307
X40,Noncovalent,0.14621416120251954,0.7114356955864521,0.18083624261358408,0.2158508482024198
X40x5,Noncovalent,0.2187079302574765,1.0764624836639909,0.33716572086710866,0.33764102994512796
XB25,Noncovalent,0.44463405421383684,5.298252448482195,0.9622457865147308,0.6432909438211208
