Dataset,Datatype,wB97M-V,MACE-MP-0b3
ACONF,Intramolecular Noncovalent,0.07169129998892729,2.4801447943210886
Amino20x4,Intramolecular Noncovalent,0.24023551107526975,3.019692414805278
BUT14DIOL,Intramolecular Noncovalent,0.04279425258147472,0.8578485766775652
ICONF,Intramolecular Noncovalent,0.2044799769182398,5.233748894409106
IDISP,Intramolecular Noncovalent,2.7937572953500363,11.045328347043199
MCONF,Intramolecular Noncovalent,0.3819436288021108,1.7904814250586736
PCONF21,Intramolecular Noncovalent,0.6668002065370582,5.549613713129123
Pentane13,Intramolecular Noncovalent,0.10917795025939565,3.505349596403246
SCONF,Intramolecular Noncovalent,0.2073221725367458,6.826229909434684
UPU23,Intramolecular Noncovalent,0.6016754326245509,10.823760435201798
