Dataset,Datatype,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
ACONF,Intramolecular Noncovalent,0.07169129998892729,0.1118333761837048,0.08829814177711957
Amino20x4,Intramolecular Noncovalent,0.24023551107526975,0.28704112113758984,0.2484529605751505
BUT14DIOL,Intramolecular Noncovalent,0.04279425258147472,0.08000306039432303,0.10396704977413988
ICONF,Intramolecular Noncovalent,0.2044799769182398,0.5817432783027263,0.6976088537471863
IDISP,Intramolecular Noncovalent,2.7937572953500363,2.7584094369145906,3.136337231925189
MCONF,Intramolecular Noncovalent,0.3819436288021108,0.4277914372965888,0.47475366425184845
PCONF21,Intramolecular Noncovalent,0.6668002065370582,0.6421846548368967,0.7977631656300737
Pentane13,Intramolecular Noncovalent,0.10917795025939565,0.12932129018923566,0.1327245260200766
SCONF,Intramolecular Noncovalent,0.2073221725367458,0.3009679305248823,0.4154995513484918
UPU23,Intramolecular Noncovalent,0.6016754326245509,0.7349730930033529,0.7011868525596333
