Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
ACONF,Intramolecular Noncovalent,0.07169129998892729,0.11788732710585215,0.14436625478001308,0.12756584932203163
Amino20x4,Intramolecular Noncovalent,0.24023551107526978,0.5170466671001924,0.2753373419651324,0.2725217327859503
BUT14DIOL,Intramolecular Noncovalent,0.04279425258147472,0.2888863118956107,0.09197617940091189,0.07202981393968631
ICONF,Intramolecular Noncovalent,0.20447997691823977,1.7188687479318732,0.7919630340387989,0.5113021951072847
IDISP,Intramolecular Noncovalent,2.7937572953500367,1.83215538326026,3.8929958585954068,3.490647645160599
MCONF,Intramolecular Noncovalent,0.38194362880211086,1.021828443055388,0.48123925334641443,0.4573130779159475
PCONF21,Intramolecular Noncovalent,0.6668002065370582,0.8909197495883857,0.5225110604194779,0.6669703396636895
Pentane13,Intramolecular Noncovalent,0.10917795025939565,0.3297121551654662,0.1677019419545719,0.1506413231867172
SCONF,Intramolecular Noncovalent,0.2073221725367458,1.0796319659528075,0.5077503234494413,0.4593571161284229
UPU23,Intramolecular Noncovalent,0.6016754326245509,1.4402153946539278,0.715444424945607,0.6478553136262266
