Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
3B-69,Noncovalent,0.1294740979364926,0.4335210352932668,0.15804000778637198,0.16321291688368125
3BHET,Noncovalent,0.18409670553486485,0.813850306487086,0.29584611701220187,0.20482577100306498
A19Rel6,Noncovalent,0.06414091203618076,0.4729637719920408,0.1181995367402777,0.09077799505536832
A24,Noncovalent,0.09365333451608464,4.440191693316095,0.1541822432189542,0.1275442899329466
ADIM6,Noncovalent,0.12463023179076527,1.0360261737925776,0.1465295009342286,0.12025233629399648
AHB21,Noncovalent,0.3050477406299349,1.6130685882032048,0.8664093992909577,0.38806448072279537
Bauza30,Noncovalent,0.5975202571626965,5.413248454910092,1.1421673969187256,0.9980390829699188
BzDC215,Noncovalent,0.1899353260086996,4.617685321958196,0.2526720744326874,4.767857608973293
CARBHB8,Noncovalent,0.31872556388251916,2.699292875144751,0.701525962084869,0.4804605585996465
CHB6,Noncovalent,1.0996432405838146,0.5894775243669297,0.5020236864347346,0.80164904907099
CT20,Noncovalent,0.10725677156126716,1.5682404295253642,0.36256100572526256,0.36762288467192583
DS14,Noncovalent,0.14498704629448256,0.4333322442423011,0.1555425417313108,0.1553851080382659
FmH2O10,Noncovalent,0.4318041243031603,0.35181606077055255,1.0827269079444513,2.082135742556882
H2O16Rel4,Noncovalent,0.040707623478715586,0.30090966181350765,0.46497248210403247,0.3103891274581093
H2O20Rel9,Noncovalent,0.12855435905873924,0.2979262817255648,0.42660157209266164,0.3215970801895745
HB262,Noncovalent,0.19648743523981985,0.5188691050935726,0.22506513945605142,0.22657875173611292
HB49,Noncovalent,0.23372273417907855,0.7474287417659895,0.34729564016908304,0.2891258861023249
HCP32,Noncovalent,0.7169893622823026,6.086224255454153,1.3699757018721073,1.007088896711355
HEAVY28,Noncovalent,0.19629075207276014,1.6717345908333727,0.7926940962572959,0.7864665141289492
HSG,Noncovalent,0.11044460384453995,0.3235311027965659,0.15980810790961997,0.15592474118385036
HW30,Noncovalent,0.1682464889919574,2.1028751364949136,0.19005540547764832,0.19583017235006342
HW6Cl5,Noncovalent,0.236326387756646,1.9169752796694886,0.4002630050953126,0.5849954835176598
HW6F,Noncovalent,0.14354046714653795,1.1345323881959077,0.888875277326947,0.5911893574863114
He3,Noncovalent,0.5688869393017277,25.961876659562183,25.163128367352325,23.478169374604704
IHB100,Noncovalent,0.33823274911500195,1.5331718613858898,0.516415954040228,0.4733435572865713
IHB100x2,Noncovalent,0.42834309327326814,1.4330051458496098,0.6317560554128568,0.5898463569052641
IL16,Noncovalent,0.8693162685443708,2.199489040035018,1.4223862754951593,1.130443143736413
NBC10,Noncovalent,0.16464613262613736,0.5460483584918285,0.34717695865252657,0.2139540136208588
NC11,Noncovalent,0.060298520517719695,7.245804867710003,1.257404311689928,3.2627657870797107
O24,Noncovalent,1.7748975104848488,5.837799021619426,4.5493726755531805,6.561417414891464
O24x4,Noncovalent,1.3965791483718453,6.276609142723112,4.053031284227373,6.3092491566699005
PNICO23,Noncovalent,0.2857626290102813,5.229880589603281,1.4181951222343572,0.9063366317475591
RG10N,Noncovalent,0.2866524098899016,28.145481201237654,19.0740245178512,9467.751215830434
RG18,Noncovalent,0.08672263956257584,7.85601714994159,4.600433229150858,30.532620292662738
S22,Noncovalent,0.28735401669938376,0.8236876415727116,0.3123747713342173,0.3563623724680833
S66,Noncovalent,0.1503191426659292,0.4514221748350226,0.16633655798491062,0.1723899051206057
S66Rel7,Noncovalent,0.0996751186257844,0.27851919868634967,0.1357026872628173,0.1294972952210438
SW49Bind22,Noncovalent,0.3109566201587081,0.9138899670363744,0.4187626664369018,0.6036977563480898
SW49Rel28,Noncovalent,0.14067155719058289,1.1110393913920187,0.39092573795337365,0.4998195371614495
Shields38,Noncovalent,0.4343694793315008,0.8369322108700704,1.3465077619016674,1.275011900023925
TA13,Noncovalent,2.7459072537666103,11.388618326614713,5.888046513715704,9.506213831820642
WATER27,Noncovalent,0.48016741930401086,1.1029886323188585,1.9830053255986972,1.9603867527629677
X40,Noncovalent,0.1767184937895255,0.9693686250105414,0.23302315757383504,0.2746186216402184
X40x5,Noncovalent,0.34580715166487785,1.8778113436786035,0.4963015038241292,0.48105502105559944
XB25,Noncovalent,0.5159606413695098,6.929485063485526,1.1375202540936908,0.700859744414692
