Identifier,Dataset,Subset,Source_Datatype,Model,Reference,Prediction,DeltaE,Abs_DeltaE,exclusion_type
BDE99_1,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-17.64999913749196,-34.73502840592165,-17.085029268429693,17.085029268429693,single_atom
BDE99_12,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-105.5799957411454,-120.64823270078092,-15.068236959635527,15.068236959635527,single_atom
BDE99_3,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-62.66999742882732,-86.50712437352948,-23.837126944702156,23.837126944702156,single_atom
BDE99_4,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-60.939997734507074,-93.37134434049968,-32.4313466059926,32.4313466059926,single_atom
BDE99_5,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-5.560000004188602,-29.07692218466001,-23.516922180471408,23.516922180471408,single_atom
BDE99_55,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-57.7599974657585,-79.99829507293762,-22.23829760717912,22.23829760717912,single_atom
BDE99_57,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-85.86999657952926,-82.93778566630706,2.9322109132221925,2.9322109132221925,single_atom
BDE99_58,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-26.59999859347069,-55.21502222272353,-28.615023629252843,28.615023629252843,single_atom
BDE99_6,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-81.6499966214947,-117.33394318765777,-35.68394656616307,35.68394656616307,single_atom
BDE99_7,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-13.89999938296203,-26.28849175796189,-12.38849237499986,12.38849237499986,single_atom
BDE99_8,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-36.009998261975426,-53.40595976100676,-17.395961499031337,17.395961499031337,single_atom
BDE99_9,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-40.6999984235146,-66.0740500728174,-25.3740516493028,25.3740516493028,single_atom
BDE99_97,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,-65.97999758029796,-69.15154890367774,-3.1715513233797736,3.1715513233797736,single_atom
BDE99_1,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-17.64999913749196,-22.1915000447248,-4.541500907232841,4.541500907232841,single_atom
BDE99_12,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-105.5799957411454,-109.32272897812024,-3.7427332369748427,3.7427332369748427,single_atom
BDE99_3,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-62.66999742882732,-62.785864453838855,-0.11586702501153212,0.11586702501153212,single_atom
BDE99_4,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-60.939997734507074,-54.528786811306674,6.4112109232004,6.4112109232004,single_atom
BDE99_5,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-5.560000004188602,-1.2732583943775893,4.2867416098110125,4.2867416098110125,single_atom
BDE99_55,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-57.7599974657585,-64.56009985690551,-6.800102391147007,6.800102391147007,single_atom
BDE99_57,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-85.86999657952926,-87.30901504035981,-1.4390184608305532,1.4390184608305532,single_atom
BDE99_58,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-26.59999859347069,-28.374641173288044,-1.7746425798173533,1.7746425798173533,single_atom
BDE99_6,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-81.6499966214947,-86.36533337003917,-4.715336748544473,4.715336748544473,single_atom
BDE99_7,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-13.89999938296203,-17.919347686487455,-4.019348303525426,4.019348303525426,single_atom
BDE99_8,BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,-36.009998261975426,-29.90445230327141,6.105545958704017,6.105545958704017,single_atom
