Identifier,Dataset,Subset,Source_Datatype,Model,Reference,Prediction,DeltaE,Abs_DeltaE,exclusion_type
BH76_10,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,104.8000792760636,74.23224537790753,-30.567833898156067,30.567833898156067,single_atom
BH76_13,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,-0.6000007137361577,-35.68419522166473,-35.08419450792857,35.08419450792857,single_atom
BH76_17,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,2.5000021372213586,-7.539612448666217,-10.039614585887575,10.039614585887575,single_atom
BH76_21,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,-12.300008984005968,-33.23106022397943,-20.931051239973463,20.931051239973463,single_atom
BH76_22,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,19.80001476816057,-8.276084823100515,-28.076099591261084,28.076099591261084,single_atom
BH76_3,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,42.100031673542496,-30.866593683488464,-72.96662535703096,72.96662535703096,single_atom
BH76_31,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,3.200002133234244,-11.946115146406765,-15.14611727964101,15.14611727964101,single_atom
BH76_39,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,6.100004537109882,-38.61415567638701,-44.71416021349689,44.71416021349689,single_atom
BH76_40,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,8.000005960595084,-25.56096223055544,-33.56096819115052,33.56096819115052,single_atom
BH76_42,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,21.600016281859567,1.6126892247962703,-19.987327057063297,19.987327057063297,single_atom
BH76_44,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,15.000011568309205,-2.9193938049966643,-17.91940537330587,17.91940537330587,single_atom
BH76_47,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,9.700007564507882,-3.2888907093969384,-12.98889827390482,12.98889827390482,single_atom
BH76_52,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,6.800005160632242,-11.408626082803066,-18.208631243435306,18.208631243435306,single_atom
BH76_55,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,1.6000010666171218,-23.153689697117343,-24.753690763734465,24.753690763734465,single_atom
BH76_56,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,33.80002535607933,-7.256426497871519,-41.05645185395085,41.05645185395085,single_atom
BH76_57,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,14.400010854573043,-14.808724356076777,-29.20873521064982,29.20873521064982,single_atom
BH76_59,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,2.900002403875639,-5.70139377268133,-8.60139617655697,8.60139617655697,single_atom
BH76_65,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,10.400007560520766,-53.985799113769005,-64.38580667428977,64.38580667428977,single_atom
BH76_66,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,9.900007384080284,-23.332649822877592,-33.232657206957875,33.232657206957875,single_atom
BH76_7,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,30.50002331305889,-0.4449981833523755,-30.945021496411265,30.945021496411265,single_atom
BH76_9,BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,1.5000011568309202,-32.613930200225646,-34.113931357056565,34.113931357056565,single_atom
BH9_817,BH876,Barrier Heights,Barrier Height,MACE-MP-0b3,-3.2100002416844418,-26.24089758868456,-23.03089734700012,23.03089734700012,single_atom
BH9_819,BH876,Barrier Heights,Barrier Height,MACE-MP-0b3,14.280000295168543,-4.945859155005705,-19.225859450174248,19.225859450174248,single_atom
BH9_826,BH876,Barrier Heights,Barrier Height,MACE-MP-0b3,4.560000278817111,-12.43468487278408,-16.994685151601193,16.994685151601193,single_atom
