Identifier,Dataset,Subset,Source_Datatype,Model,Reference,Prediction,DeltaE,Abs_DeltaE,exclusion_type
BH76_10,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,104.8000792760636,117.07303677837326,12.272957502309666,12.272957502309666,single_atom
BH76_13,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,-0.6000007137361577,-2.5237514139867083,-1.9237507002505505,1.9237507002505505,single_atom
BH76_17,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,2.5000021372213586,14.31156760910288,11.811565471881522,11.811565471881522,single_atom
BH76_21,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,-12.300008984005968,-15.653110009574682,-3.353101025568714,3.353101025568714,single_atom
BH76_22,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,19.80001476816057,25.434428012304767,5.6344132441441985,5.6344132441441985,single_atom
BH76_3,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,42.100031673542496,32.488580925938074,-9.611450747604422,9.611450747604422,single_atom
BH76_31,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,3.200002133234244,-3.86221258119546,-7.062214714429704,7.062214714429704,single_atom
BH76_39,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,6.100004537109882,4.151132653116421,-1.9488718839934611,1.9488718839934611,single_atom
BH76_40,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,8.000005960595084,13.728334077905537,5.728328117310452,5.728328117310452,single_atom
BH76_42,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,21.600016281859567,20.759180203899717,-0.8408360779598496,0.8408360779598496,single_atom
BH76_44,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,15.000011568309205,12.533104372072843,-2.4669071962363613,2.4669071962363613,single_atom
BH76_47,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,9.700007564507882,0.4024511616242668,-9.297556402883615,9.297556402883615,single_atom
BH76_52,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,6.800005160632242,13.6756907370605,6.875685576428257,6.875685576428257,single_atom
BH76_55,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,1.6000010666171218,6.7482860425090605,5.148284975891938,5.148284975891938,single_atom
BH76_56,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,33.80002535607933,19.823358788643315,-13.976666567436016,13.976666567436016,single_atom
BH76_57,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,14.400010854573043,19.40772159690336,5.0077107423303175,5.0077107423303175,single_atom
BH76_59,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,2.900002403875639,-1.3697036618094096,-4.269706065685049,4.269706065685049,single_atom
BH76_65,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,10.400007560520766,-2.5582367097594463,-12.958244270280213,12.958244270280213,single_atom
BH76_66,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,9.900007384080284,-0.9661665880665836,-10.866173972146868,10.866173972146868,single_atom
BH76_7,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,30.50002331305889,23.483548082857663,-7.016475230201227,7.016475230201227,single_atom
BH76_9,BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,1.5000011568309202,-2.298770131835842,-3.798771288666762,3.798771288666762,single_atom
