Identifier,Dataset,Subset,Source_Datatype,Model,Reference,Prediction,DeltaE,Abs_DeltaE,exclusion_type
BH76_10,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,104.8000792760636,105.28968194478465,0.48960266872104796,0.48960266872104796,single_atom
BH76_13,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,-0.6000007137361577,-3.0620109581857164,-2.4620102444495586,2.4620102444495586,single_atom
BH76_17,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,2.5000021372213586,3.2522480930020703,0.7522459557807117,0.7522459557807117,single_atom
BH76_21,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,-12.300008984005968,-13.720032259233838,-1.4200232752278694,1.4200232752278694,single_atom
BH76_22,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,19.80001476816057,19.545219057263584,-0.2547957108969854,0.2547957108969854,single_atom
BH76_3,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,42.100031673542496,48.44135123242428,6.341319558881786,6.341319558881786,single_atom
BH76_31,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,3.200002133234244,5.191872113897616,1.9918699806633717,1.9918699806633717,single_atom
BH76_39,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,6.100004537109882,7.339354015023034,1.2393494779131515,1.2393494779131515,single_atom
BH76_40,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,8.000005960595084,9.026137889229089,1.0261319286340047,1.0261319286340047,single_atom
BH76_42,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,21.600016281859567,22.9788566304599,1.3788403486003347,1.3788403486003347,single_atom
BH76_44,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,15.000011568309205,15.92332648479971,0.9233149164905043,0.9233149164905043,single_atom
BH76_47,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,9.700007564507882,12.157466412795635,2.4574588482877537,2.4574588482877537,single_atom
BH76_52,BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,6.800005160632242,7.667257520841607,0.8672523602093651,0.8672523602093651,single_atom
