Identifier,Dataset,Subset,Source_Datatype,Model,Reference,Prediction,DeltaE,Abs_DeltaE,exclusion_type
BH76_10,BH46,Barrier Heights,Barrier Height,wB97M-V,104.8000792760636,101.83145080456572,-2.9686284714978797,2.9686284714978797,single_atom
BH76_13,BH46,Barrier Heights,Barrier Height,wB97M-V,-0.6000007137361577,-1.0805197330599894,-0.4805190193238317,0.4805190193238317,single_atom
BH76_17,BH46,Barrier Heights,Barrier Height,wB97M-V,2.5000021372213586,2.877951971965673,0.37794983474431465,0.37794983474431465,single_atom
BH76_21,BH46,Barrier Heights,Barrier Height,wB97M-V,-12.300008984005968,-12.533766303274666,-0.23375731926869747,0.23375731926869747,single_atom
BH76_22,BH46,Barrier Heights,Barrier Height,wB97M-V,19.80001476816057,20.18435108056157,0.3843363124010004,0.3843363124010004,single_atom
BH76_3,BH46,Barrier Heights,Barrier Height,wB97M-V,42.100031673542496,37.342640132030425,-4.757391541512071,4.757391541512071,single_atom
BH76_31,BH46,Barrier Heights,Barrier Height,wB97M-V,3.200002133234244,3.3612912071049137,0.1612890738706696,0.1612890738706696,single_atom
BH76_39,BH46,Barrier Heights,Barrier Height,wB97M-V,6.100004537109882,4.873631020007609,-1.2263735171022727,1.2263735171022727,single_atom
BH76_40,BH46,Barrier Heights,Barrier Height,wB97M-V,8.000005960595084,5.975475658484788,-2.0245303021102963,2.0245303021102963,single_atom
BH76_42,BH46,Barrier Heights,Barrier Height,wB97M-V,21.600016281859567,19.277367335545524,-2.322648946314043,2.322648946314043,single_atom
BH76_44,BH46,Barrier Heights,Barrier Height,wB97M-V,15.000011568309205,14.423764535453426,-0.5762470328557789,0.5762470328557789,single_atom
BH76_47,BH46,Barrier Heights,Barrier Height,wB97M-V,9.700007564507882,8.853194134174096,-0.8468134303337855,0.8468134303337855,single_atom
BH76_52,BH46,Barrier Heights,Barrier Height,wB97M-V,6.800005160632242,6.036648921560808,-0.7633562390714346,0.7633562390714346,single_atom
BH76_55,BH46,Barrier Heights,Barrier Height,wB97M-V,1.6000010666171218,-2.1231516363338336,-3.7231527029509555,3.7231527029509555,single_atom
BH76_56,BH46,Barrier Heights,Barrier Height,wB97M-V,33.80002535607933,29.181932760187788,-4.618092595891543,4.618092595891543,single_atom
BH76_57,BH46,Barrier Heights,Barrier Height,wB97M-V,14.400010854573043,11.707560472291132,-2.692450382281912,2.692450382281912,single_atom
BH76_59,BH46,Barrier Heights,Barrier Height,wB97M-V,2.900002403875639,3.339371610922215,0.439369207046576,0.439369207046576,single_atom
BH76_65,BH46,Barrier Heights,Barrier Height,wB97M-V,10.400007560520766,7.628605755948749,-2.771401804572017,2.771401804572017,single_atom
BH76_66,BH46,Barrier Heights,Barrier Height,wB97M-V,9.900007384080284,7.813476698612351,-2.0865306854679337,2.0865306854679337,single_atom
