Dataset,Subset,Source_Datatype,Model,Filtered_MAE,N_kept,N_total,N_excluded
BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,20.17533144379028,3,16,13
BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,4.478551336421901,3,16,13
BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-4M,15.976991840836783,3,16,13
BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-L,4.907519427681763,3,16,13
BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-M,4.5268743981621595,3,16,13
BDE99MR,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-S,4.27334229823857,3,16,13
BDE99MR,Bond Dissociation Energies,Thermochemistry,wB97M-V,5.399963167288756,3,16,13
BDE99nonMR,Bond Dissociation Energies,Thermochemistry,MACE-MP-0b3,14.7574457123755,27,83,56
BDE99nonMR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-100M,4.005222210268874,27,83,56
BDE99nonMR,Bond Dissociation Energies,Thermochemistry,MACE-OMOL-0-4M,9.490052678131951,27,83,56
BDE99nonMR,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-L,3.3314497778986096,27,83,56
BDE99nonMR,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-M,3.995072881330203,27,83,56
BDE99nonMR,Bond Dissociation Energies,Thermochemistry,MACE-POLAR-1-S,8.624940310844899,27,83,56
BDE99nonMR,Bond Dissociation Energies,Thermochemistry,wB97M-V,1.7432390844297232,27,83,56
BH28,Barrier Heights,Barrier Height,MACE-MP-0b3,13.333756412060353,28,28,0
BH28,Barrier Heights,Barrier Height,MACE-OMOL-0-100M,1.4605949290636773,28,28,0
BH28,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,1.9362108704107939,28,28,0
BH28,Barrier Heights,Barrier Height,MACE-POLAR-1-L,1.1058770192846468,28,28,0
BH28,Barrier Heights,Barrier Height,MACE-POLAR-1-M,1.3674113550642542,28,28,0
BH28,Barrier Heights,Barrier Height,MACE-POLAR-1-S,3.6867916988058176,28,28,0
BH28,Barrier Heights,Barrier Height,wB97M-V,0.9850912835756124,28,28,0
BH46,Barrier Heights,Barrier Height,MACE-MP-0b3,14.056721978664726,25,46,21
BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-100M,2.097090822433842,25,46,21
BH46,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,3.6689428526028007,25,46,21
BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-L,1.6185781650527042,25,46,21
BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-M,1.3710983549109392,25,46,21
BH46,Barrier Heights,Barrier Height,MACE-POLAR-1-S,5.230265627781226,25,46,21
BH46,Barrier Heights,Barrier Height,wB97M-V,1.1034026190369732,25,46,21
BH76RC,General Reaction Energies,Thermochemistry,MACE-MP-0b3,9.592663384070617,11,30,19
BH76RC,General Reaction Energies,Thermochemistry,MACE-OMOL-0-100M,1.1227736657386254,11,30,19
BH76RC,General Reaction Energies,Thermochemistry,MACE-OMOL-0-4M,3.8799903597045304,11,30,19
BH76RC,General Reaction Energies,Thermochemistry,MACE-POLAR-1-L,1.1010319600954994,11,30,19
BH76RC,General Reaction Energies,Thermochemistry,MACE-POLAR-1-M,1.476619240140438,11,30,19
BH76RC,General Reaction Energies,Thermochemistry,MACE-POLAR-1-S,2.1984638673794965,11,30,19
BH76RC,General Reaction Energies,Thermochemistry,wB97M-V,0.8106246052791196,11,30,19
BH876,Barrier Heights,Barrier Height,MACE-MP-0b3,11.880565858383058,873,876,3
BH876,Barrier Heights,Barrier Height,MACE-OMOL-0-100M,2.1262839731937953,873,876,3
BH876,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,4.841304609822188,873,876,3
BH876,Barrier Heights,Barrier Height,MACE-POLAR-1-L,1.9970594274334623,873,876,3
BH876,Barrier Heights,Barrier Height,MACE-POLAR-1-M,2.943170563730008,873,876,3
BH876,Barrier Heights,Barrier Height,MACE-POLAR-1-S,6.321204780960282,873,876,3
BH876,Barrier Heights,Barrier Height,wB97M-V,1.3648681868507069,873,876,3
BHDIV7,Barrier Heights,Barrier Height,MACE-MP-0b3,18.892370935289705,7,7,0
BHDIV7,Barrier Heights,Barrier Height,MACE-OMOL-0-100M,1.6525514845814515,7,7,0
BHDIV7,Barrier Heights,Barrier Height,MACE-OMOL-0-4M,3.997252472941677,7,7,0
BHDIV7,Barrier Heights,Barrier Height,MACE-POLAR-1-L,2.0550537894866907,7,7,0
BHDIV7,Barrier Heights,Barrier Height,MACE-POLAR-1-M,1.871595213189822,7,7,0
