Dataset,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l,MACE-OMOL-0-100M,MACE-OMOL-0-4M,MACE-MP-0b3
ACONF,0.057518418,0.101149205,0.124338849,0.109383017,0.096990241,0.069296943,2.277524533
Amino20x4,0.188908325,0.370569001,0.215103831,0.214706552,0.227384126,0.192670878,2.402550243
BUT14DIOL,0.029152971,0.228800404,0.079805344,0.056534322,0.065308927,0.092318134,0.674600805
ICONF,0.140582258,1.162046681,0.473928567,0.373622897,0.372666146,0.465116784,3.187349304
IDISP,1.654054231,1.426653963,2.389625569,2.144171092,1.649334504,1.803820481,8.104391562
MCONF,0.358292338,0.895227333,0.432370202,0.409111158,0.398088798,0.425779899,1.564008372
PCONF21,0.57612957,0.698744365,0.4411858,0.569702373,0.550618113,0.676166734,4.454696773
Pentane13,0.08887696,0.227348536,0.148765507,0.134315918,0.114982288,0.113079424,2.993466271
SCONF,0.129826077,0.847482487,0.332721853,0.295101254,0.217882407,0.301092616,5.902766897
UPU23,0.439542956,1.173239113,0.539876412,0.487467357,0.518630208,0.592784751,9.749339602
