Dataset,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
AlkIsomer11,0.17135379,0.220289579,0.064546577,0.067974285
C20C246,6.849969504,20.68377017,41.90956711,13.33822463
C60ISO7,11.35618188,9.917134492,11.88803972,14.62281008
DIE60,0.583519898,0.959383634,0.731915126,0.704907595
EIE22,0.193907655,0.555933335,0.307442612,0.218699286
ISO34,0.612673747,0.703055633,0.687340112,0.66988475
ISOL23,1.446998193,3.66022833,1.744011327,1.353283006
ISOMERIZATION20,1.524645158,1.659966709,1.420238045,1.424330517
PArel,0.593770084,1.652264787,0.692999589,0.446480293
Styrene42,1.377884298,2.45733051,1.720421748,1.492591288
TAUT15,0.330424334,0.503854233,0.431726247,0.395663661
