Dataset,Molecule,Model,Error
MME52,MME55_CDO_1A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8214877440 bytes.')
MME52,MME55_CDO_1B,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8214877440 bytes.')
MME52,MME55_CDO_3A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8270930304 bytes.')
MME52,MME55_CDO_3B,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8270930304 bytes.')
MME52,MME55_CDO_3Cprime,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8270930304 bytes.')
MME52,MME55_CDO_3D,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8270930304 bytes.')
MME52,MME55_CDO_5A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8270930304 bytes.')
MME52,MME55_CDO_5B,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8270930304 bytes.')
MME52,MME55_CDO_5C,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8270930304 bytes.')
MME52,MME55_CDO_5Cprime,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8327237568 bytes.')
MME52,MME55_CDO_5D,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8327237568 bytes.')
MME52,MME55_MoCuCODH_Int1A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 81684133568 bytes.')
MME52,MME55_MoCuCODH_Int2A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 81684133568 bytes.')
MME52,MME55_MoCuCODH_Int3A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 81684133568 bytes.')
MME52,MME55_MoCuCODH_Int4A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 81684133568 bytes.')
MME52,MME55_MoCuCODH_Int6A,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 81147393536 bytes.')
MME52,MME55_NiSOD_4prime_singlet,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 14991798528 bytes.')
MME52,MME55_NiSOD_4prime_triplet,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 14991798528 bytes.')
MME52,MME55_NiSOD_TS4,mace-polar-1-m,RuntimeError('[enforce fail at alloc_cpu.cpp:117] data. DefaultCPUAllocator: not enough memory: you tried to allocate 1246518960 bytes.')
