,MACE-MP-0b3
11_Rxn1_TS_0cat_WCPT27,-28.047984166255834
11_c2h4_BH76,-31.222713132535077
12_Rxn2_TS_0cat_WCPT27,-32.71836695886272
12_c2h5_lower_BH76,-34.8572750937283
13_Rxn3_TS_0cat_WCPT27,-36.21564580921519
13_c2h5ts_BH76,-32.81739525205307
13react_CRBH20,-78.0057586735163
13ts_CRBH20,-76.43662288224186
14_Rxn4_TS_0cat_WCPT27,-37.59599924076969
14react_CRBH20,-61.47531597286597
14ts_CRBH20,-59.85368729270763
15_Rxn5_TS_0cat_WCPT27,-41.21834408635698
15react_CRBH20,-78.1836225009672
15ts_CRBH20,-76.64166949992844
16react_CRBH20,-68.1632149144905
16ts_CRBH20,-67.36646840181791
17_Rxn7_TS_0cat_WCPT27,-24.89599708260189
17react_CRBH20,-73.67265559813195
17ts_CRBH20,-72.88838806078024
18_Rxn8_TS_0cat_WCPT27,-29.845795566581362
18react_CRBH20,-61.88932980606653
18ts_CRBH20,-60.545118722049864
19_Rxn9_TS_0cat_WCPT27,-33.56751082731318
19react_CRBH20,-94.9194718164643
19ts_CRBH20,-93.53354374208753
20_Rxn1_TS_1cat_WCPT27,-43.68533605977318
20_ch3f_BH76,-23.473036086170247
21_Rxn2_TS_1cat_WCPT27,-48.49249300505998
21_ch3fclts_BH76,-22.545270144832863
22_Rxn3_TS_1cat_WCPT27,-51.531001717774046
22_ch3_lower_BH76,-18.069025717568906
23_Rxn4_TS_1cat_WCPT27,-53.613057375664425
23_ch3oh_lower_BH76,-29.99543085932555
24_CH3_upper_BH76,-18.069025717568906
24_Rxn5_TS_1cat_WCPT27,-56.71425027758876
25_CH4_BH76,-23.6401878810923
25_Rxn6_TS_1cat_WCPT27,-60.10514171113647
26_Rxn7_TS_1cat_WCPT27,-40.41097544682164
27_Rxn8_TS_1cat_WCPT27,-45.18178279294838
27_clch3clcomp_BH76,-23.31203146138169
28_Rxn9_TS_1cat_WCPT27,-48.678349220012215
28_clch3clts_BH76,-22.715580286518737
29_Rxn1_TS_2cat_WCPT27,-58.46360606368009
29_clf_BH76,-3.5739707623276766
30_Rxn2_TS_2cat_WCPT27,-63.29315782728656
30_cl_lower_BH76,-0.25828273
31_Rxn3_TS_2cat_WCPT27,-66.50031652387347
32_Rxn4_TS_2cat_WCPT27,-68.38634533866876
33_Rxn5_TS_2cat_WCPT27,-71.4991565095209
33_f-_BH76,-0.51882044
34_Rxn6_TS_2cat_WCPT27,-75.1223142569888
35_Rxn7_TS_2cat_WCPT27,-55.21455361024698
35_fch3clcomp1_BH76,-24.01365960650495
36_Rxn8_TS_2cat_WCPT27,-60.00789536271638
36_fch3clcomp2_BH76,-24.682631284410796
37_Rxn9_TS_2cat_WCPT27,-63.65813496075576
37_fch3clts_BH76,-24.090204579405253
3react_CRBH20,-81.0258507518317
3ts_CRBH20,-79.16113950629838
42_H2_BH76,-6.85471761549046
43_H2O_BH76,-14.013177311891205
44_H2S_BH76,-11.313565508357282
45_hclhts_BH76,-8.10502041789825
46_hcl_lower_BH76,-5.429620289707948
47_Rxn1_Product_WCPT27,-29.32872523020466
48_Rxn2_Product_WCPT27,-34.71719320218105
48_hcn_BH76,-18.674132268558044
49_Rxn3_Product_WCPT27,-38.537140092203074
49_hcnts_BH76,-16.10073807654101
4react_CRBH20,-64.54403855526549
4ts_CRBH20,-62.72082624793022
50_Rxn4_Product_WCPT27,-39.45980142902016
