,MACE-MP-0b3
V30_C2H2_Ar,-22.083585482209664
V30_C2H2_Ar_1+,-22.08346471362783
V30_C2H2_Ar_1-,-22.083709676083238
V30_C2H2_Ar_2+,-22.08352057605598
V30_C2H2_Ar_2-,-22.083646710853778
V30_C2H2_Ar_3+,-22.08358365246286
V30_C2H2_Ar_3-,-22.08358365246286
V30_C2H2_Ar_4+,-22.083628259539395
V30_C2H2_Ar_4-,-22.08352594834102
V30_C2H2_Ar_5+,-22.083577147829654
V30_C2H2_Ar_5-,-22.083577147829654
V30_C2H2_Ar_6+,-22.084153145105347
V30_C2H2_Ar_6-,-22.083002355778984
V30_C2H2_Ar_7+,-22.083563125881597
V30_C2H2_Ar_7-,-22.083570960059657
V30_C2H2_Ar_8+,-22.083797634518977
V30_C2H2_Ar_8-,-22.08333284726795
V30_C2H2_C2H2,-44.386137790138235
V30_C2H2_C2H2_1+,-44.386141364319464
V30_C2H2_C2H2_1-,-44.386141364319464
V30_C2H2_C2H2_10+,-44.386127487827565
V30_C2H2_C2H2_10-,-44.386127487827565
V30_C2H2_C2H2_11+,-44.386127675424945
V30_C2H2_C2H2_11-,-44.38612767542495
V30_C2H2_C2H2_12+,-44.38677372882606
V30_C2H2_C2H2_12-,-44.38548631974579
V30_C2H2_C2H2_13+,-44.38648804118129
V30_C2H2_C2H2_13-,-44.38577186405705
V30_C2H2_C2H2_14+,-44.38601589531307
V30_C2H2_C2H2_14-,-44.386221280930755
V30_C2H2_C2H2_15+,-44.3861190805971
V30_C2H2_C2H2_15-,-44.3861190805971
V30_C2H2_C2H2_16+,-44.385870751566465
V30_C2H2_C2H2_16-,-44.3863636236153
V30_C2H2_C2H2_17+,-44.38600294604544
V30_C2H2_C2H2_17-,-44.38623170889691
V30_C2H2_C2H2_2+,-44.386289133496796
V30_C2H2_C2H2_2-,-44.3859800631811
V30_C2H2_C2H2_3+,-44.38613816003878
V30_C2H2_C2H2_3-,-44.38613816003878
V30_C2H2_C2H2_4+,-44.38613596941599
V30_C2H2_C2H2_4-,-44.38613596941599
V30_C2H2_C2H2_5+,-44.38613623521889
V30_C2H2_C2H2_5-,-44.3861362352189
V30_C2H2_C2H2_6+,-44.38613484386889
V30_C2H2_C2H2_6-,-44.38613484386889
V30_C2H2_C2H2_7+,-44.38613520054407
V30_C2H2_C2H2_7-,-44.38613520054407
V30_C2H2_C2H2_8+,-44.386129600543875
V30_C2H2_C2H2_8-,-44.386129600543875
V30_C2H2_C2H2_9+,-44.386026041276885
V30_C2H2_C2H2_9-,-44.386234769124
V30_C2H4_Ar,-31.264649243805785
V30_C2H4_Ar_1+,-31.26479984425776
V30_C2H4_Ar_1-,-31.26449832966783
V30_C2H4_Ar_10+,-31.264442652331955
V30_C2H4_Ar_10-,-31.26484712704013
V30_C2H4_Ar_11+,-31.26463140893105
V30_C2H4_Ar_11-,-31.264631408931045
V30_C2H4_Ar_12+,-31.265140579572524
V30_C2H4_Ar_12-,-31.26412177736855
V30_C2H4_Ar_13+,-31.26463053531767
V30_C2H4_Ar_13-,-31.26463053531767
V30_C2H4_Ar_14+,-31.26457567676077
V30_C2H4_Ar_14-,-31.264684517325016
V30_C2H4_Ar_2+,-31.26465303794286
V30_C2H4_Ar_2-,-31.264653037942857
V30_C2H4_Ar_3+,-31.264554765282895
V30_C2H4_Ar_3-,-31.2647315322275
V30_C2H4_Ar_4+,-31.264631266750794
V30_C2H4_Ar_4-,-31.264631266750794
V30_C2H4_Ar_5+,-31.264633065889655
V30_C2H4_Ar_5-,-31.264633065889655
V30_C2H4_Ar_6+,-31.264648998351316
V30_C2H4_Ar_6-,-31.264648998351316
V30_C2H4_Ar_7+,-31.26464681427402
V30_C2H4_Ar_7-,-31.26464681427402
V30_C2H4_Ar_8+,-31.26453452160735
V30_C2H4_Ar_8-,-31.26475824444439
