,MACE-OMOL-0-100M,MACE-OMOL-0-4M
V30_C2H2_Ar,-16458.36328016425,-16457.237285830208
V30_C2H2_Ar_1+,-16458.363296774853,-16457.237495306643
V30_C2H2_Ar_1-,-16458.363259471207,-16457.237074369426
V30_C2H2_Ar_2+,-16458.363262035527,-16457.237221000712
V30_C2H2_Ar_2-,-16458.363282486116,-16457.23733554525
V30_C2H2_Ar_3+,-16458.36327225979,-16457.23727820742
V30_C2H2_Ar_3-,-16458.36327225979,-16457.23727820742
V30_C2H2_Ar_4+,-16458.363267185814,-16457.237227497204
V30_C2H2_Ar_4-,-16458.363273731055,-16457.237325327154
V30_C2H2_Ar_5+,-16458.363270499103,-16457.237276338896
V30_C2H2_Ar_5-,-16458.363270499103,-16457.237276338896
V30_C2H2_Ar_6+,-16458.36282597482,-16457.23686155675
V30_C2H2_Ar_6-,-16458.363719197707,-16457.23769483935
V30_C2H2_Ar_7+,-16458.363252529172,-16457.23725802093
V30_C2H2_Ar_7-,-16458.363264811695,-16457.23727071919
V30_C2H2_Ar_8+,-16458.363054989295,-16457.23705614852
V30_C2H2_Ar_8-,-16458.3634599914,-16457.237470251206
V30_C2H2_C2H2,-4208.273333926251,-4208.2740331644745
V30_C2H2_C2H2_1+,-4208.273328313134,-4208.274027571989
V30_C2H2_C2H2_1-,-4208.273328313134,-4208.274027571989
V30_C2H2_C2H2_10+,-4208.273323798138,-4208.2740231243315
V30_C2H2_C2H2_10-,-4208.273323798138,-4208.2740231243315
V30_C2H2_C2H2_11+,-4208.273323598131,-4208.274022881682
V30_C2H2_C2H2_11-,-4208.273323598131,-4208.274022881682
V30_C2H2_C2H2_12+,-4208.272797300531,-4208.273488789809
V30_C2H2_C2H2_12-,-4208.273855427486,-4208.27456247398
V30_C2H2_C2H2_13+,-4208.272990932537,-4208.27369270899
V30_C2H2_C2H2_13-,-4208.273661738401,-4208.274358487443
V30_C2H2_C2H2_14+,-4208.273359121476,-4208.2740663807945
V30_C2H2_C2H2_14-,-4208.273266170005,-4208.27395739225
V30_C2H2_C2H2_15+,-4208.273312476371,-4208.2740116728855
V30_C2H2_C2H2_15-,-4208.273312476371,-4208.2740116728855
V30_C2H2_C2H2_16+,-4208.273529966153,-4208.274235989381
V30_C2H2_C2H2_16-,-4208.273092771069,-4208.273785264158
V30_C2H2_C2H2_17+,-4208.273498204572,-4208.274196361685
V30_C2H2_C2H2_17-,-4208.273124368244,-4208.273824638528
V30_C2H2_C2H2_2+,-4208.273346983449,-4208.274048210252
V30_C2H2_C2H2_2-,-4208.273318694681,-4208.274016081818
V30_C2H2_C2H2_3+,-4208.2733333190845,-4208.2740325381865
V30_C2H2_C2H2_3-,-4208.2733333190845,-4208.2740325381865
V30_C2H2_C2H2_4+,-4208.273326057716,-4208.274025279108
V30_C2H2_C2H2_4-,-4208.273326057716,-4208.274025279108
V30_C2H2_C2H2_5+,-4208.27332587828,-4208.274025172162
V30_C2H2_C2H2_5-,-4208.27332587828,-4208.274025172162
V30_C2H2_C2H2_6+,-4208.273325875283,-4208.274025158538
V30_C2H2_C2H2_6-,-4208.273325875283,-4208.274025158538
V30_C2H2_C2H2_7+,-4208.273325731445,-4208.274024984953
V30_C2H2_C2H2_7-,-4208.273325731445,-4208.274024984953
V30_C2H2_C2H2_8+,-4208.273324252245,-4208.274023465893
V30_C2H2_C2H2_8-,-4208.273324252245,-4208.274023465893
V30_C2H2_C2H2_9+,-4208.273314876636,-4208.274017837983
V30_C2H2_C2H2_9-,-4208.273333113372,-4208.274028668774
V30_C2H4_Ar,-16492.179997839077,-16491.04753770415
V30_C2H4_Ar_1+,-16492.17999858206,-16491.047442501964
V30_C2H4_Ar_1-,-16492.179996271312,-16491.047631893693
V30_C2H4_Ar_10+,-16492.180251571273,-16491.047782583217
V30_C2H4_Ar_10-,-16492.179733861492,-16491.047282610223
V30_C2H4_Ar_11+,-16492.179979611203,-16491.04751935325
V30_C2H4_Ar_11-,-16492.179979611203,-16491.04751935325
V30_C2H4_Ar_12+,-16492.180046226833,-16491.047634340783
V30_C2H4_Ar_12-,-16492.179912662523,-16491.047404058554
V30_C2H4_Ar_13+,-16492.17997869837,-16491.047518432933
V30_C2H4_Ar_13-,-16492.17997869837,-16491.047518432933
V30_C2H4_Ar_14+,-16492.179982665806,-16491.04754530123
V30_C2H4_Ar_14-,-16492.17997414688,-16491.047491008427
V30_C2H4_Ar_2+,-16492.17999466393,-16491.047534456746
V30_C2H4_Ar_2-,-16492.17999466393,-16491.047534456746
V30_C2H4_Ar_3+,-16492.17998867765,-16491.047528116826
V30_C2H4_Ar_3-,-16492.179984689446,-16491.047525076134
V30_C2H4_Ar_4+,-16492.179981549165,-16491.04752179983
V30_C2H4_Ar_4-,-16492.179981549165,-16491.04752179983
V30_C2H4_Ar_5+,-16492.179982099544,-16491.047522394714
V30_C2H4_Ar_5-,-16492.179982099544,-16491.047522394714
V30_C2H4_Ar_6+,-16492.179995799375,-16491.047535670947
V30_C2H4_Ar_6-,-16492.179995799375,-16491.047535670947
V30_C2H4_Ar_7+,-16492.179995025577,-16491.047534910616
V30_C2H4_Ar_7-,-16492.179995025577,-16491.047534910616
V30_C2H4_Ar_8+,-16492.18013510421,-16491.04767547196
V30_C2H4_Ar_8-,-16492.179853751488,-16491.047393135268
V30_C2H4_Ar_9+,-16492.17999392303,-16491.047533843932
V30_C2H4_Ar_9-,-16492.17999392303,-16491.047533843932
V30_CH3OH_H2O,-5228.906204394464,-5228.905696166673
V30_CH3OH_H2O_0+,-5228.9062169981835,-5228.905717007753
V30_CH3OH_H2O_0-,-5228.906191430876,-5228.905674994218
V30_CH3OH_H2O_1+,-5228.906211001179,-5228.905702871402
V30_CH3OH_H2O_1-,-5228.906211001179,-5228.905702871402
V30_CH3OH_H2O_10+,-5228.906242106723,-5228.9057355887135
V30_CH3OH_H2O_10-,-5228.906159397489,-5228.905649434995
V30_CH3OH_H2O_11+,-5228.906232802324,-5228.905724155939
V30_CH3OH_H2O_11-,-5228.906168044467,-5228.905660231368
V30_CH3OH_H2O_12+,-5228.90620031756,-5228.905692084833
V30_CH3OH_H2O_12-,-5228.90620031756,-5228.905692084833
V30_CH3OH_H2O_13+,-5228.906210271188,-5228.905702591337
V30_CH3OH_H2O_13-,-5228.906190220471,-5228.9056814392725
V30_CH3OH_H2O_14+,-5228.9061316310945,-5228.905620867986
V30_CH3OH_H2O_14-,-5228.9062674938195,-5228.905761763978
V30_CH3OH_H2O_15+,-5228.906189919747,-5228.905682409364
V30_CH3OH_H2O_15-,-5228.906185493878,-5228.905676595483
V30_CH3OH_H2O_16+,-5228.906187179985,-5228.9056789965525
V30_CH3OH_H2O_16-,-5228.906187179985,-5228.9056789965525
V30_CH3OH_H2O_17+,-5228.906194313079,-5228.9056844487695
V30_CH3OH_H2O_17-,-5228.906178603491,-5228.905671990553
V30_CH3OH_H2O_18+,-5228.905984908876,-5228.90547395993
V30_CH3OH_H2O_18-,-5228.906371395062,-5228.905865809041
V30_CH3OH_H2O_19+,-5228.906382660039,-5228.905877244609
V30_CH3OH_H2O_19-,-5228.905971647953,-5228.905460475631
V30_CH3OH_H2O_2+,-5228.9062061142995,-5228.905698019632
V30_CH3OH_H2O_2-,-5228.9062061142995,-5228.905698019632
V30_CH3OH_H2O_20+,-5228.906175842962,-5228.905667575066
V30_CH3OH_H2O_20-,-5228.906175842962,-5228.905667575066
V30_CH3OH_H2O_3+,-5228.90620052505,-5228.905691441795
V30_CH3OH_H2O_3-,-5228.906207422377,-5228.905700039039
V30_CH3OH_H2O_4+,-5228.906204515897,-5228.90569629803
V30_CH3OH_H2O_4-,-5228.906204515897,-5228.90569629803
V30_CH3OH_H2O_5+,-5228.90617730607,-5228.905668544379
V30_CH3OH_H2O_5-,-5228.906230429752,-5228.905722696788
V30_CH3OH_H2O_6+,-5228.906198120318,-5228.905689901765
V30_CH3OH_H2O_6-,-5228.906198120318,-5228.905689901765
V30_CH3OH_H2O_7+,-5228.906169672542,-5228.905663337765
V30_CH3OH_H2O_7-,-5228.906234829434,-5228.905724715608
V30_CH3OH_H2O_8+,-5228.90620870047,-5228.905700377198
V30_CH3OH_H2O_8-,-5228.90619559926,-5228.905687456646
V30_CH3OH_H2O_9+,-5228.906201880752,-5228.9056936474135
V30_CH3OH_H2O_9-,-5228.906201880752,-5228.9056936474135
V30_CH4_Ar,-15456.078813423577,-15454.889271283302
V30_CH4_Ar_0+,-15456.078809758297,-15454.889425442503
V30_CH4_Ar_0-,-15456.078816304482,-15454.889118403657
V30_CH4_Ar_1+,-15456.078812282958,-15454.889272491722
V30_CH4_Ar_1-,-15456.078812282958,-15454.889272491722
V30_CH4_Ar_11+,-15456.078794480514,-15454.889254478112
V30_CH4_Ar_11-,-15456.07879571288,-15454.889251648381
V30_CH4_Ar_2+,-15456.078812286301,-15454.889272488097
V30_CH4_Ar_2-,-15456.078812279602,-15454.889272495318
V30_CH4_Ar_3+,-15456.078808334858,-15454.889260891683
V30_CH4_Ar_3-,-15456.078812065647,-15454.88927538556
V30_CH4_Ar_5+,-15456.078810194778,-15454.889268098557
V30_CH4_Ar_5-,-15456.078810194778,-15454.889268098557
V30_CH4_Ar_7+,-15456.078809028697,-15454.889266984874
V30_CH4_Ar_7-,-15456.07880902821,-15454.889266983726
V30_CH4_Ar_8+,-15456.07877371662,-15454.88925827811
V30_CH4_Ar_8-,-15456.078818932405,-15454.88925033499
V30_CH4_Ar_9+,-15456.078795085677,-15454.889253057585
V30_CH4_Ar_9-,-15456.078795085677,-15454.889253057585
V30_CH4_CH4,-2203.658008823585,-2203.6475193590313
V30_CH4_CH4_1+,-2203.6580076639634,-2203.6475183293696
V30_CH4_CH4_1-,-2203.658007678945,-2203.647518337676
V30_CH4_CH4_11+,-2203.658001912277,-2203.64751168191
V30_CH4_CH4_11-,-2203.658009222905,-2203.647520522184
V30_CH4_CH4_12+,-2203.6580044508637,-2203.647514978786
