Molecule,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
BH28_BHDIV_1_min,-6411.46435546875,-6411.63232421875,-6411.693359375
BH28_BHDIV_1_ts,-6408.8916015625,-6409.15966796875,-6409.16064453125
BH28_BHDIV_2_min,-6312.46435546875,-6312.48046875,-6312.47607421875
BH28_BHDIV_2_ts,-6310.26220703125,-6310.2998046875,-6310.27880859375
BH28_BHDIV_3_min,-11117.1611328125,-11117.1552734375,-11117.1630859375
BH28_BHDIV_3_ts,-11114.1962890625,-11114.3037109375,-11114.3720703125
BH28_BHPERI_1_min,-4243.52734375,-4243.54638671875,-4243.53564453125
BH28_BHPERI_1_ts,-4241.65283203125,-4241.908203125,-4241.9521484375
BH28_BHPERI_2_min,-6349.93359375,-6349.95556640625,-6349.9716796875
BH28_BHPERI_2_ts,-6348.45263671875,-6348.62548828125,-6348.6484375
BH28_BHPERI_3_min,-5313.53369140625,-5313.552734375,-5313.5546875
BH28_BHPERI_3_ts,-5311.4677734375,-5311.8525390625,-5311.88525390625
BH28_BHPERI_4_min,-5281.18896484375,-5281.19189453125,-5281.1962890625
BH28_BHPERI_4_ts,-5279.78564453125,-5280.0283203125,-5280.03515625
BH28_BHPERI_5_min,-6382.86767578125,-6382.873046875,-6382.87646484375
BH28_BHPERI_5_ts,-6380.84765625,-6381.12939453125,-6381.1982421875
BH28_BHPERI_6_min,-4243.95166015625,-4243.95947265625,-4243.96044921875
BH28_BHPERI_6_ts,-6380.63671875,-6380.88037109375,-6380.88671875
BH28_CADBH_1_min,-5025.861328125,-5025.8564453125,-5025.85009765625
BH28_CADBH_1_ts,-7162.44189453125,-7162.50634765625,-7162.53857421875
BH28_CADBH_2_min,-4484.59912109375,-4484.60595703125,-4484.60107421875
BH28_CADBH_2_ts,-6621.5830078125,-6621.56640625,-6621.603515625
BH28_CADBH_3_min,-4047.56298828125,-4047.5888671875,-4047.582763671875
BH28_CADBH_3_ts,-6184.78271484375,-6184.853515625,-6184.8408203125
BH28_CADBH_4_min,-4587.6650390625,-4587.6630859375,-4587.6591796875
BH28_CADBH_4_ts,-6724.84521484375,-6724.9140625,-6724.94580078125
BH28_CADBH_5_min,-4046.42578125,-4046.4609375,-4046.4541015625
BH28_CADBH_5_ts,-6183.93017578125,-6184.01220703125,-6184.02978515625
BH28_CADBH_6_min,-3609.7978515625,-3609.86865234375,-3609.867431640625
BH28_CADBH_6_ts,-5747.38720703125,-5747.48681640625,-5747.49609375
BH28_CADBH_7_min,-4620.68603515625,-4620.666015625,-4620.669921875
BH28_CADBH_7_ts,-6757.84326171875,-6757.98388671875,-6758.02587890625
BH28_CADBH_8_min,-4079.493408203125,-4079.547607421875,-4079.543701171875
BH28_CADBH_8_ts,-6216.96875,-6217.18310546875,-6217.1875
BH28_CADBH_9_min,-3642.7265625,-3642.75439453125,-3642.730712890625
BH28_CADBH_9_ts,-5780.47265625,-5780.61328125,-5780.6552734375
BH28_CADBH_c2h4,-2137.900634765625,-2137.90283203125,-2137.902587890625
BH28_CRBH_1_min,-7705.3759765625,-7705.3740234375,-7705.3798828125
BH28_CRBH_1_ts,-7703.5009765625,-7703.3759765625,-7703.37841796875
BH28_CRBH_2_min,-8775.248046875,-8775.2490234375,-8775.2607421875
BH28_CRBH_2_ts,-8773.2294921875,-8773.1455078125,-8773.076171875
BH28_CRBH_3_min,-10791.2431640625,-10791.2333984375,-10791.2451171875
BH28_CRBH_3_ts,-10789.4228515625,-10789.416015625,-10789.3583984375
BH28_CRBH_4_min,-16493.2890625,-16493.3046875,-16493.318359375
BH28_CRBH_4_ts,-16491.337890625,-16491.177734375,-16491.263671875
BH28_CRBH_5_min,-17563.103515625,-17563.1015625,-17563.119140625
BH28_CRBH_5_ts,-17560.9921875,-17560.89453125,-17560.857421875
BH28_CRBH_6_min,-19578.84375,-19578.85546875,-19578.875
BH28_CRBH_6_ts,-19577.201171875,-19577.048828125,-19577.0
BH28_PXBH_1_min,-6156.03662109375,-6155.97509765625,-6155.9775390625
BH28_PXBH_1_ts,-6154.04150390625,-6153.9833984375,-6153.95703125
BH28_PXBH_2_min,-8320.658203125,-8320.6806640625,-8320.6787109375
BH28_PXBH_2_ts,-8319.5537109375,-8319.64453125,-8319.6455078125
BH28_PXBH_3_min,-10935.8837890625,-10936.1240234375,-10936.1005859375
BH28_PXBH_3_ts,-10935.455078125,-10935.41796875,-10935.4287109375
BH28_PXBH_4_min,-13669.9697265625,-13670.2783203125,-13670.267578125
BH28_PXBH_4_ts,-13669.8046875,-13669.51171875,-13669.607421875
