Molecule,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
BHPERI_00r,-2137.8994140625,-2137.901611328125,-2137.90185546875
BHPERI_02r,-5281.18603515625,-5281.1884765625,-5281.193359375
BHPERI_02ts,-7417.90234375,-7418.22314453125,-7418.23974609375
BHPERI_03r,-12121.5322265625,-12121.490234375,-12121.4814453125
BHPERI_03ts,-14258.1650390625,-14258.5615234375,-14258.671875
BHPERI_04r,-6259.39208984375,-6259.390625,-6259.3916015625
BHPERI_04ts,-8395.7529296875,-8396.1875,-8396.2138671875
BHPERI_05r,-5718.86083984375,-5718.857421875,-5718.8583984375
BHPERI_06ts,-7855.04931640625,-7855.42041015625,-7855.45556640625
BHPERI_07r,-13516.4658203125,-13516.5263671875,-13516.5302734375
BHPERI_07ts,-15652.9951171875,-15653.3369140625,-15653.470703125
BHPERI_08ts,-15652.970703125,-15653.486328125,-15653.4609375
BHPERI_09r,-15047.689453125,-15047.7060546875,-15047.7099609375
BHPERI_09ts,-17183.7421875,-17184.158203125,-17184.1796875
BHPERI_1-3-Cyclopentadiene,-5281.1767578125,-5281.1787109375,-5281.18359375
BHPERI_Cis-triscyclopropacyclohexane,-9525.3271484375,-9525.2138671875,-9525.2646484375
BHPERI_Ethylene,-2137.896240234375,-2137.8984375,-2137.898681640625
BHPERI_TS11,-10561.548828125,-10561.4326171875,-10561.521484375
BHPERI_TS3,-8422.4296875,-8422.5986328125,-8422.669921875
BHPERI_TS8,-7417.89013671875,-7418.21337890625,-7418.23291015625
BHPERI_TS9,-9523.423828125,-9523.5966796875,-9523.8701171875
BHPERI_ortho-xylylene,-8424.025390625,-8423.9736328125,-8423.96875
