Molecule,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
DARC_P1,-6383.908203125,-6383.912109375,-6383.91015625
DARC_P10,-15064.5078125,-15064.5302734375,-15064.55078125
DARC_P10X,-15064.5009765625,-15064.544921875,-15064.560546875
DARC_P2,-6350.7822265625,-6350.8173828125,-6350.8173828125
DARC_P3,-7420.373046875,-7420.42138671875,-7420.421875
DARC_P4,-7386.8291015625,-7386.8056640625,-7386.81494140625
DARC_P5,-8490.30859375,-8490.38671875,-8490.373046875
DARC_P6,-8456.939453125,-8457.09765625,-8457.0859375
DARC_P7,-16582.611328125,-16582.634765625,-16582.6328125
DARC_P7X,-16582.615234375,-16582.697265625,-16582.703125
DARC_P8,-16041.958984375,-16041.95703125,-16041.97265625
DARC_P8X,-16041.9658203125,-16042.0341796875,-16042.05078125
DARC_P9,-15605.1943359375,-15605.21875,-15605.2236328125
DARC_P9X,-15605.19140625,-15605.236328125,-15605.2392578125
DARC_butadiene,-4243.95263671875,-4243.96044921875,-4243.9609375
DARC_chdiene,-6350.857421875,-6350.80908203125,-6350.79736328125
DARC_cpdiene,-5281.18701171875,-5281.19091796875,-5281.19580078125
DARC_ethene,-2137.900390625,-2137.90283203125,-2137.902587890625
DARC_ethine,-2104.10595703125,-2104.1083984375,-2104.110107421875
DARC_furane,-6259.39404296875,-6259.392578125,-6259.3935546875
DARC_malein,-10322.6357421875,-10322.6015625,-10322.6005859375
DARC_maleinNH,-9781.8583984375,-9781.828125,-9781.8349609375
