Molecule,charge,multiplicity,num_atoms,field_au_x,field_au_y,field_au_z,field_VA_x,field_VA_y,field_VA_z,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
Dip146_AlF2+,0,1,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-9315.706359196958,-9315.835572733808,-9315.717469610505
Dip146_AlF2-,0,1,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-9315.699851954094,-9315.83474885514,-9315.714264235956
Dip146_AlH22+,0,2,3,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-6627.068022904287,-6627.052629297857,-6626.776700799311
Dip146_AlH22-,0,2,3,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-6627.062747158829,-6627.050334845795,-6626.775979009114
Dip146_BF2+,0,1,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-3392.53304237315,-3393.0003878090206,-3393.087101124811
Dip146_BF2-,0,1,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-3392.532345878386,-3393.0032998392994,-3393.0890876570033
Dip146_BH2+,0,1,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-687.490098738514,-687.8890069309633,-687.9608258507108
Dip146_BH2-,0,1,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-687.4891702216772,-687.8908967851985,-687.9636556180756
Dip146_BH22+,0,2,3,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-704.8130742607339,-704.9204957893395,-705.0551361004856
Dip146_BH22-,0,2,3,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-704.8131823058892,-704.9194662305733,-705.0565502478574
Dip146_BH2Cl2+,0,1,4,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-13231.40047901368,-13231.384661856291,-13231.383220213187
Dip146_BH2Cl2-,0,1,4,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-13231.398958820766,-13231.383625280172,-13231.381724277002
Dip146_BH2F2+,0,1,4,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-3426.8710455379974,-3426.857784009764,-3426.8548078705167
Dip146_BH2F2-,0,1,4,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-3426.869716089292,-3426.856730982066,-3426.853390587138
Dip146_BHCl22+,0,1,4,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-25739.231762206076,-25739.252652712166,-25739.246104483642
Dip146_BHCl22-,0,1,4,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-25739.233366726858,-25739.253709440483,-25739.247439705774
Dip146_BHF22+,0,1,4,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-6130.442644929072,-6130.462608257368,-6130.455857016543
Dip146_BHF22-,0,1,4,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-6130.444181754108,-6130.464269446581,-6130.457213016828
Dip146_BN2+,0,3,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-2161.1512722957245,-2160.788593811907,-2161.070067578703
Dip146_BN2-,0,3,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-2161.1505228557817,-2160.784633325374,-2161.0646385280247
Dip146_BO2+,0,2,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-2721.5804572821366,-2721.7199431487834,-2721.7145112530143
Dip146_BO2-,0,2,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-2721.57855135915,-2721.7158637041857,-2721.7097257142987
Dip146_BS2+,0,2,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-11508.402789830532,-11508.773971046681,-11508.715252424505
Dip146_BS2-,0,2,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-11508.40200474673,-11508.77646342956,-11508.715058559348
Dip146_BeH2+,0,2,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-414.63694570256354,-414.6192922694833,-414.54979481550845
Dip146_BeH2-,0,2,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-414.6415489876201,-414.62181507788085,-414.55044433017645
Dip146_C2H2+,0,2,3,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-2084.209058735094,-2084.370023844201,-2084.4252829699967
Dip146_C2H2-,0,2,3,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-2084.2107544561836,-2084.372234321074,-2084.4237788632463
Dip146_C2H30+,0,2,5,0.0001,0.0,0.0,0.00514220674763,0.0,0.0,-2119.2063091365485,-2119.3285086251585,-2119.3315469335375
Dip146_C2H30-,0,2,5,-0.0001,0.0,0.0,-0.00514220674763,0.0,0.0,-2119.205447929637,-2119.327421378554,-2119.329565395168
Dip146_C2H31+,0,2,5,0.0,0.0001,0.0,0.0,0.00514220674763,0.0,-2119.206025140452,-2119.328193356053,-2119.330750521308
Dip146_C2H31-,0,2,5,0.0,-0.0001,0.0,0.0,-0.00514220674763,0.0,-2119.2057307806735,-2119.327739718073,-2119.330365020137
Dip146_C2H50+,0,2,7,0.0001,0.0,0.0,0.00514220674763,0.0,0.0,-2153.0744048703746,-2153.1046025237865,-2153.1033575307074
Dip146_C2H50-,0,2,7,-0.0001,0.0,0.0,-0.00514220674763,0.0,0.0,-2153.0746013523813,-2153.105062729222,-2153.1038814701988
Dip146_C2H51+,0,2,7,0.0,0.0001,0.0,0.0,0.00514220674763,0.0,-2153.074930237628,-2153.105028706384,-2153.1039456893404
Dip146_C2H51-,0,2,7,0.0,-0.0001,0.0,0.0,-0.00514220674763,0.0,-2153.0740745317084,-2153.104639694139,-2153.1032976357774
Dip146_CF2+,0,2,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-3749.828185677277,-3749.934651710349,-3749.9881933528172
Dip146_CF2-,0,2,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-3749.8295189324776,-3749.936163285667,-3749.991534633323
Dip146_CF22+,0,1,3,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-6469.645853964276,-6469.65209538332,-6469.658344202755
Dip146_CF22-,0,1,3,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-6469.646350702909,-6469.650575648862,-6469.656631766472
Dip146_CH2+,0,2,2,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-1046.4755506447802,-1046.7784396082652,-1046.8306236641738
Dip146_CH2-,0,2,2,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-1046.477843287909,-1046.7790191269078,-1046.8345974040344
Dip146_CH2BH2+,0,1,5,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-1759.5863242658556,-1759.6382507535902,-1759.6619643328518
Dip146_CH2BH2-,0,1,5,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-1759.5842540749045,-1759.6377856642346,-1759.6611468129663
Dip146_CH2BOH0+,0,1,6,0.0001,0.0,0.0,0.00514220674763,0.0,0.0,-3808.9490513639685,-3809.0149472594417,-3808.9969290546687
Dip146_CH2BOH0-,0,1,6,-0.0001,0.0,0.0,-0.00514220674763,0.0,0.0,-3808.9456284930793,-3809.013520192151,-3808.9947386746667
Dip146_CH2BOH2+,0,1,6,0.0,0.0,0.0001,0.0,0.0,0.00514220674763,-3808.9452805752326,-3809.0121281412853,-3808.9935399400993
Dip146_CH2BOH2-,0,1,6,0.0,0.0,-0.0001,0.0,0.0,-0.00514220674763,-3808.9494011220727,-3809.0163337028457,-3808.9981240362567
Dip146_CH2F0+,0,2,4,0.0001,0.0,0.0,0.00514220674763,0.0,0.0,-3784.558066488935,-3784.5896949389253,-3784.5807718518563
Dip146_CH2F0-,0,2,4,-0.0001,0.0,0.0,-0.00514220674763,0.0,0.0,-3784.5586386565683,-3784.590863254173,-3784.581873881511
Dip146_CH2F1+,0,2,4,0.0,0.0001,0.0,0.0,0.00514220674763,0.0,-3784.5571834081843,-3784.5887379202923,-3784.579881516105
