Molecule,charge,multiplicity,num_atoms,field_au_x,field_au_y,field_au_z,field_VA_x,field_VA_y,field_VA_z,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
HR46_1-3-butadiene,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,-4243.946441881993,-4243.954133934582,-4243.9547227290495
HR46_1-3-butadiene0+,0,1,10,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-4243.9421291799845,-4243.975919564777,-4243.9753649925715
HR46_1-3-butadiene0-,0,1,10,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-4243.942129069372,-4243.975902966536,-4243.975383736291
HR46_1-3-butadiene1+,0,1,10,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-4243.945456323332,-4243.962253216002,-4243.962809053922
HR46_1-3-butadiene1-,0,1,10,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-4243.945457148329,-4243.962240641189,-4243.962814514771
HR46_1-3-butadiene2+,0,1,10,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-4243.945582181125,-4243.961216134665,-4243.961783077741
HR46_1-3-butadiene2-,0,1,10,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-4243.94558312675,-4243.961231696953,-4243.961783596758
HR46_1-pentene,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0,-5346.587036688006,-5346.584118334583,-5346.587766596288
HR46_1-pentene0+,0,1,15,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-5346.5674710373305,-5346.587325084383,-5346.5883901296675
HR46_1-pentene0-,0,1,15,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-5346.598745179955,-5346.61561992622,-5346.620560654116
HR46_1-pentene1+,0,1,15,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-5346.584204642617,-5346.600195267258,-5346.604108618463
HR46_1-pentene1-,0,1,15,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-5346.587168350219,-5346.599440628347,-5346.604410772208
HR46_1-pentene2+,0,1,15,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-5346.5706710450495,-5346.589915134798,-5346.591020629821
HR46_1-pentene2-,0,1,15,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-5346.598638546208,-5346.610020594771,-5346.615848199997
HR46_N-methylacetamide,0,1,12,0.0,0.0,0.0,0.0,0.0,0.0,-6762.524572329382,-6762.515136762316,-6762.514422073544
HR46_N-methylacetamide0+,0,1,12,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-6762.378612315069,-6762.3621552845525,-6762.359795660958
HR46_N-methylacetamide0-,0,1,12,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-6762.668617037539,-6762.692789992075,-6762.697065459215
HR46_N-methylacetamide1+,0,1,12,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-6762.533838250923,-6762.535177387123,-6762.534363728756
HR46_N-methylacetamide1-,0,1,12,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-6762.513625599347,-6762.512915838452,-6762.513060039112
HR46_N-methylacetamide2+,0,1,12,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-6762.50122139129,-6762.50655157965,-6762.507039217032
HR46_N-methylacetamide2-,0,1,12,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-6762.543039336685,-6762.552892350873,-6762.551156445485
HR46_acetaldehyde,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,-4185.848979586684,-4185.846564976867,-4185.848874099004
HR46_acetaldehyde0+,0,1,7,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-4185.733324436455,-4185.729268366517,-4185.7304019396415
HR46_acetaldehyde0-,0,1,7,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-4185.963056860625,-4185.980354293637,-4185.985018693152
HR46_acetaldehyde1+,0,1,7,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-4185.824399609756,-4185.827682623571,-4185.829934758679
HR46_acetaldehyde1-,0,1,7,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-4185.872077225059,-4185.87983603045,-4185.882113687942
HR46_acetaldehyde2+,0,1,7,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-4185.839647977363,-4185.841071633484,-4185.843388151464
HR46_acetaldehyde2-,0,1,7,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-4185.857798016121,-4185.860955120223,-4185.863079210351
HR46_acetic_acid,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,-6234.309913124648,-6234.301427352911,-6234.299726059971
HR46_acetic_acid0+,0,1,8,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-6234.27161878725,-6234.275483605087,-6234.275287226595
HR46_acetic_acid0-,0,1,8,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-6234.346053999058,-6234.347242789734,-6234.344296328485
HR46_acetic_acid1+,0,1,8,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-6234.378320161612,-6234.379164550606,-6234.380196257838
HR46_acetic_acid1-,0,1,8,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-6234.240421146577,-6234.239404616629,-6234.23669445906
HR46_acetic_acid2+,0,1,8,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-6234.309747370887,-6234.304979512768,-6234.3036990706205
HR46_acetic_acid2-,0,1,8,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-6234.30976862705,-6234.304987023499,-6234.30370299623
HR46_acetone,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,-5255.695571550357,-5255.693238201465,-5255.693055743038
HR46_acetone0+,0,1,10,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-5255.566418918209,-5255.565919609096,-5255.566252567116
HR46_acetone0-,0,1,10,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-5255.822731553773,-5255.841448318976,-5255.842534084753
HR46_acetone1+,0,1,10,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-5255.694071537706,-5255.704754983892,-5255.704283603924
HR46_acetone1-,0,1,10,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-5255.694074832943,-5255.704778375949,-5255.704318131336
HR46_acetone2+,0,1,10,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-5255.695108471007,-5255.700726874342,-5255.700849928562
