Molecule,charge,multiplicity,num_atoms,field_au_x,field_au_y,field_au_z,field_VA_x,field_VA_y,field_VA_z,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
OEEF_c2h2_0.0,0,1,4,0.0,0.0,-0.0,0.0,0.0,-0.0,-2104.0990806298482,-2104.1017293939376,-2104.103434149127
OEEF_c2h2_0.01,0,1,4,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2104.0877174518605,-2104.1637756005557,-2104.155014603946
OEEF_c2h2_0.02,0,1,4,0.0,0.0,-0.02,0.0,0.0,-1.028441349526,-2104.052905411818,-2104.338011314129,-2104.2838909160223
OEEF_c2h2_0.03,0,1,4,0.0,0.0,-0.03,0.0,0.0,-1.542662024289,-2103.993425674181,-2104.6179647835334,-2104.465331149482
OEEF_c2h2_0.04,0,1,4,0.0,0.0,-0.04,0.0,0.0,-2.056882699052,-2103.9065687229854,-2104.9950606810576,-2104.7333870514603
OEEF_c2h4_0.0,0,1,6,0.0,0.0,-0.0,0.0,0.0,-0.0,-2137.89629356275,-2137.898429021567,-2137.898470786286
OEEF_c2h4_0.01,0,1,6,-0.009999999999997247,-7.42018069577656e-09,-1.7238803636652623e-11,-0.5142206747628585,-3.8156103242456094e-07,-8.86454923814637e-10,-2137.889826816185,-2137.958515975238,-2137.952478604196
OEEF_c2h4_0.02,0,1,6,-0.019999999999994494,-1.484036139155312e-08,-3.4477607273305245e-11,-1.028441349525717,-7.631220648491219e-07,-1.772909847629274e-09,-2137.869989612312,-2138.115697862179,-2138.0659667133955
OEEF_c2h4_0.03,0,1,6,-0.02999999999999174,-2.226054208732968e-08,-5.171641090995787e-11,-1.5426620242885754,-1.1446830972736827e-06,-2.659364771443911e-09,-2137.8353122560816,-2138.346952023268,-2138.2160284869256
OEEF_c2h4_0.04,0,1,6,-0.03999999999998899,-2.968072278310624e-08,-6.895521454661049e-11,-2.056882699051434,-1.5262441296982438e-06,-3.545819695258548e-09,-2137.7826790585573,-2138.6408320474734,-2138.4711320506326
OEEF_c2h6_0.0,0,1,8,0.0,0.0,-0.0,0.0,0.0,-0.0,-2171.256394889405,-2171.256005468449,-2171.2547219821354
OEEF_c2h6_0.01,0,1,8,-1.4896212470012418e-08,6.269537924972242e-09,0.009999999999986941,-7.659940427742801e-07,3.223926022231445e-07,0.5142206747623285,-2171.252221448211,-2171.296922044953,-2171.29896886283
OEEF_c2h6_0.02,0,1,8,-2.9792424940024836e-08,1.2539075849944484e-08,0.019999999999973882,-1.5319880855485601e-06,6.44785204446289e-07,1.028441349524657,-2171.2392246760387,-2171.4120905535306,-2171.412925434142
OEEF_c2h6_0.03,0,1,8,-4.468863741003725e-08,1.8808613774916726e-08,0.029999999999960822,-2.29798212832284e-06,9.671778066694336e-07,1.5426620242869853,-2171.2162320208195,-2171.5982404461597,-2171.5837615890614
OEEF_c2h6_0.04,0,1,8,-5.958484988004967e-08,2.5078151699888968e-08,0.039999999999947765,-3.0639761710971202e-06,1.289570408892578e-06,2.056882699049314,-2171.1803830541257,-2171.8579368368164,-2171.829039874109
OEEF_cl2_0.0,0,1,2,0.0,0.0,-0.0,0.0,0.0,-0.0,-25043.957372075576,-25043.963416781506,-25043.954788680574
OEEF_cl2_0.01,0,1,2,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-25043.954033724316,-25044.02547425933,-25043.982870486856
OEEF_cl2_0.02,0,1,2,0.0,0.0,-0.02,0.0,0.0,-1.028441349526,-25043.943324570853,-25044.18831536787,-25044.06485069106
OEEF_cl2_0.03,0,1,2,0.0,0.0,-0.03,0.0,0.0,-1.542662024289,-25043.922704697205,-25044.42338615499,-25044.187065235074
OEEF_cl2_0.04,0,1,2,0.0,0.0,-0.04,0.0,0.0,-2.056882699052,-25043.88491636326,-25044.749201559596,-25044.33854441548
OEEF_cl2_0.05,0,1,2,0.0,0.0,-0.05,0.0,0.0,-2.571103373815,-25043.8158243119,-25045.224042740476,-25044.51759642725
OEEF_co_-0.01,0,1,2,0.0,0.0,0.01,0.0,0.0,0.514220674763,-3084.075341367858,-3084.1167608098244,-3084.153301494087
OEEF_co_-0.02,0,1,2,0.0,0.0,0.02,0.0,0.0,1.028441349526,-3084.0422102988314,-3084.138493468759,-3084.2175316042594
OEEF_co_-0.03,0,1,2,0.0,0.0,0.03,0.0,0.0,1.542662024289,-3084.0074325777705,-3084.1750059105175,-3084.309461465186
OEEF_co_-0.04,0,1,2,0.0,0.0,0.04,0.0,0.0,2.056882699052,-3083.970903086619,-3084.228264680125,-3084.43580788688
OEEF_co_-0.05,0,1,2,0.0,0.0,0.05,0.0,0.0,2.571103373815,-3083.932386456439,-3084.2989104697554,-3084.608176469888
OEEF_co_0.0,0,1,2,0.0,0.0,-0.0,0.0,0.0,-0.0,-3084.10681713584,-3084.1079835421783,-3084.1190065514556
OEEF_co_0.01,0,1,2,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-3084.1365110686943,-3084.1111675485054,-3084.121089019661
OEEF_co_0.02,0,1,2,0.0,0.0,-0.02,0.0,0.0,-1.028441349526,-3084.1641634417833,-3084.12345967053,-3084.161794068547
OEEF_co_0.03,0,1,2,0.0,0.0,-0.03,0.0,0.0,-1.542662024289,-3084.1893490789994,-3084.1387842201425,-3084.2456564278527
