Molecule,charge,multiplicity,num_atoms,fd_step,field_au_x,field_au_y,field_au_z,field_VA_x,field_VA_y,field_VA_z,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
Pol130_AlF,0,1,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-9315.703105914257,-9315.835157189402,-9315.715865365904
Pol130_AlF0+,0,1,2,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-9315.703105914257,-9315.835157189402,-9315.715865365904
Pol130_AlF0-,0,1,2,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-9315.703105914257,-9315.835157189402,-9315.715865365904
Pol130_AlF2+,0,1,2,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-9316.02552943597,-9315.912650341437,-9315.890967088906
Pol130_AlF2-,0,1,2,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-9315.374799934809,-9315.821437789333,-9315.571575756867
Pol130_Ar,0,1,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-14354.916226271584,-14354.290338220077,-14354.278956198292
Pol130_Ar0+,0,1,1,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-14354.916226271584,-14354.290338220077,-14354.278956198292
Pol130_Ar0-,0,1,1,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-14354.916226271584,-14354.290338220077,-14354.278956198292
Pol130_BF,0,1,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-3392.5326942998795,-3393.0018438996954,-3393.088093600516
Pol130_BF0+,0,1,2,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-3392.5326942998795,-3393.0018438996954,-3393.088093600516
Pol130_BF0-,0,1,2,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-3392.5326942998795,-3393.0018438996954,-3393.088093600516
Pol130_BF2+,0,1,2,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-3392.565756626168,-3392.8558434789293,-3392.9965456556956
Pol130_BF2-,0,1,2,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-3392.496113596241,-3393.1476817599782,-3393.195584881496
Pol130_BH2,0,2,3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-704.8131283190514,-704.9199812862175,-705.0558427542181
Pol130_BH20+,0,2,3,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-704.8131283190514,-704.9199812862175,-705.0558427542181
Pol130_BH20-,0,2,3,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-704.8131283190514,-704.9199812862175,-705.0558427542181
Pol130_BH21+,0,2,3,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-704.8074595194876,-704.9688790154141,-704.9890860226006
Pol130_BH21-,0,2,3,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-704.8182569928628,-704.8652946494441,-705.1310471349993
Pol130_BH22+,0,2,3,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-704.8093972581569,-704.9372404687673,-705.0560000724288
Pol130_BH22-,0,2,3,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-704.8093972581569,-704.9367127356279,-705.0542774779195
Pol130_BH2Cl,0,1,4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-13231.399719664758,-13231.384138745116,-13231.382468427186
Pol130_BH2Cl0+,0,1,4,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-13231.399719664758,-13231.384138745116,-13231.382468427186
Pol130_BH2Cl0-,0,1,4,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-13231.399719664758,-13231.384138745116,-13231.382468427186
Pol130_BH2Cl1+,0,1,4,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-13231.395722630008,-13231.408070237374,-13231.408688817923
Pol130_BH2Cl1-,0,1,4,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-13231.395722630008,-13231.408281943643,-13231.408721660298
Pol130_BH2Cl2+,0,1,4,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-13231.468395111773,-13231.482142300018,-13231.494481606525
Pol130_BH2Cl2-,0,1,4,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-13231.31645430248,-13231.382261027751,-13231.344519746734
Pol130_BH2F,0,1,4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-3426.870381121034,-3426.85725498447,-3426.854096993249
Pol130_BH2F0+,0,1,4,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-3426.870381121034,-3426.85725498447,-3426.854096993249
Pol130_BH2F0-,0,1,4,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-3426.870381121034,-3426.85725498447,-3426.854096993249
Pol130_BH2F1+,0,1,4,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-3426.866502248951,-3426.8842786936207,-3426.883229783688
Pol130_BH2F1-,0,1,4,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-3426.866502248951,-3426.8844432321034,-3426.8832696456393
Pol130_BH2F2+,0,1,4,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-3426.933757613386,-3426.9348757814214,-3426.947321263452
Pol130_BH2F2-,0,1,4,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-3426.800782264522,-3426.8291674171887,-3426.8050664775683
Pol130_BH3,0,1,4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-723.3424004579857,-723.3459736310379,-723.3606517264321
Pol130_BH30+,0,1,4,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-723.3387353798115,-723.3751560653836,-723.3849813921901
Pol130_BH30-,0,1,4,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-723.3387353798115,-723.3753783413189,-723.3850322712157
Pol130_BH32+,0,1,4,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-723.3424004579857,-723.3459736310379,-723.3606517264321
Pol130_BH32-,0,1,4,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-723.3424004579857,-723.3459736310379,-723.3606517264321
Pol130_BHF2,0,1,4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-6130.443413699993,-6130.463436459121,-6130.456532473641
Pol130_BHF20+,0,1,4,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-6130.443413699993,-6130.463436459121,-6130.456532473641
Pol130_BHF20-,0,1,4,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-6130.443413699993,-6130.463436459121,-6130.456532473641
Pol130_BHF21+,0,1,4,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-6130.440720620271,-6130.486411688928,-6130.477319151164
Pol130_BHF21-,0,1,4,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-6130.440720620271,-6130.486505543847,-6130.477343953363
Pol130_BHF22+,0,1,4,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-6130.363027893404,-6130.405166447759,-6130.4156659433365
Pol130_BHF22-,0,1,4,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-6130.516735862767,-6130.567472489855,-6130.547123293418
Pol130_BO,0,2,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-2721.5795043742105,-2721.717901212485,-2721.7121181387206
Pol130_BO0+,0,2,2,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-2721.5795043742105,-2721.717901212485,-2721.7121181387206
Pol130_BO0-,0,2,2,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-2721.5795043742105,-2721.717901212485,-2721.7121181387206
Pol130_BO2+,0,2,2,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-2721.6741817662787,-2721.939719175461,-2721.9539277160156
Pol130_BO2-,0,2,2,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2721.4835883111723,-2721.5398616269085,-2721.4759173436455
Pol130_BS,0,2,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-11508.402397391303,-11508.775216674323,-11508.715149827036
Pol130_BS0+,0,2,2,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-11508.402397391303,-11508.775216674323,-11508.715149827036
Pol130_BS0-,0,2,2,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-11508.402397391303,-11508.775216674323,-11508.715149827036
Pol130_BS2+,0,2,2,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-11508.440783228705,-11508.654415388863,-11508.766964729499
Pol130_BS2-,0,2,2,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-11508.36244743983,-11508.904962711757,-11508.76506397775
Pol130_Be,0,1,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-398.65055868721123,-398.72386904918955,-398.588073475541
Pol130_Be0+,0,1,1,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-398.65055868721123,-398.72386904918955,-398.588073475541
Pol130_Be0-,0,1,1,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-398.65055868721123,-398.72386904918955,-398.588073475541
Pol130_BeH,0,2,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-414.63924756095577,-414.6205524109667,-414.5501140440513
Pol130_BeH0+,0,2,2,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-414.63924756095577,-414.6205524109667,-414.5501140440513
Pol130_BeH0-,0,2,2,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-414.63924756095577,-414.6205524109667,-414.5501140440513
Pol130_BeH2,0,1,3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-431.6559949374315,-432.4789186847416,-432.2972552112584
Pol130_BeH2+,0,2,2,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-414.40665740482365,-414.5050344553672,-414.5749676204784
Pol130_BeH2-,0,2,2,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-414.8669902699572,-414.7608486608796,-414.6337797612272
Pol130_BeH21+,0,1,3,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-431.6559949374315,-432.4789186847416,-432.2972552112584
Pol130_BeH21-,0,1,3,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-431.6559949374315,-432.4789186847416,-432.2972552112584
Pol130_BeH22+,0,1,3,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-431.6460035670531,-432.54305889301713,-432.35048644725333
Pol130_BeH22-,0,1,3,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-431.6460035670531,-432.5462922646586,-432.35254211420045
Pol130_C2H,0,2,3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-2084.2099074321554,-2084.3711259732327,-2084.4245279157976
Pol130_C2H0+,0,2,3,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-2084.2099074321554,-2084.3711259732327,-2084.4245279157976
Pol130_C2H0-,0,2,3,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-2084.2099074321554,-2084.3711259732327,-2084.4245279157976
Pol130_C2H2,0,1,4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-2104.1033022452484,-2104.1058804463073,-2104.1075852081563
Pol130_C2H2+,0,2,3,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-2084.117168813983,-2084.2865197543374,-2084.5330622898655
Pol130_C2H2-,0,2,3,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2084.2866781929165,-2084.5204893312366,-2084.381103178971
Pol130_C2H20+,0,1,4,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-2104.1033022452484,-2104.1058804463073,-2104.1075852081563
Pol130_C2H20-,0,1,4,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-2104.1033022452484,-2104.1058804463073,-2104.1075852081563
Pol130_C2H22+,0,1,4,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-2104.092384994041,-2104.16758806009,-2104.1590024217357
Pol130_C2H22-,0,1,4,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2104.092384994041,-2104.1676901801247,-2104.15904198297
Pol130_C2H3,0,2,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-2119.205878937146,-2119.3279622222444,-2119.330554215703
Pol130_C2H30+,0,2,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-2119.245250650178,-2119.4094005940738,-2119.4490156795996
Pol130_C2H30-,0,2,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-2119.1591711556175,-2119.3004817429846,-2119.2511225632193
Pol130_C2H31+,0,2,5,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-2119.2109551431085,-2119.392106845126,-2119.3837535414527
Pol130_C2H31-,0,2,5,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-2119.181574347756,-2119.347644115475,-2119.3461058366397
Pol130_C2H32+,0,2,5,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-2119.205878937146,-2119.3279622222444,-2119.330554215703
Pol130_C2H32-,0,2,5,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2119.205878937146,-2119.3279622222444,-2119.330554215703
Pol130_C2H4,0,1,6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-2137.8915447679815,-2137.8936171957166,-2137.893647487361
Pol130_C2H40+,0,1,6,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-2137.8915447679815,-2137.8936171957166,-2137.893647487361
Pol130_C2H40-,0,1,6,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-2137.8915447679815,-2137.8936171957166,-2137.893647487361
Pol130_C2H41+,0,1,6,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-2137.887847102004,-2137.9338368147874,-2137.9347799957613
Pol130_C2H41-,0,1,6,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-2137.887847102004,-2137.933741763938,-2137.934721142393
Pol130_C2H42+,0,1,6,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-2137.8854097085336,-2137.954180303912,-2137.948076262003
Pol130_C2H42-,0,1,6,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-2137.8854097085336,-2137.9541447936326,-2137.9480717529973
Pol130_CH2-t,0,3,3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-1065.19549606496,-1065.0374767152357,-1064.9169016184205
Pol130_CH2-t0+,0,3,3,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-1065.19549606496,-1065.0374767152357,-1064.9169016184205
Pol130_CH2-t0-,0,3,3,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-1065.19549606496,-1065.0374767152357,-1064.9169016184205
Pol130_CH2-t1+,0,3,3,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-1065.1935915125,-1065.0532940809082,-1064.9511092635387
Pol130_CH2-t1-,0,3,3,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-1065.1935915125,-1065.0521059592145,-1064.9499627609184
Pol130_CH2-t2+,0,3,3,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-1065.2449698460598,-1065.0284286658907,-1064.9792290417402
Pol130_CH2-t2-,0,3,3,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-1065.1459035107418,-1065.0439526410892,-1064.8639875805334
Pol130_CH2BH,0,1,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-1759.585290616363,-1759.6380122184876,-1759.6615504307786
Pol130_CH2BH0+,0,1,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-1759.585290616363,-1759.6380122184876,-1759.6615504307786
Pol130_CH2BH0-,0,1,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-1759.585290616363,-1759.6380122184876,-1759.6615504307786
Pol130_CH2BH1+,0,1,5,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-1759.5821770058797,-1759.6590287636564,-1759.6830321452014
Pol130_CH2BH1-,0,1,5,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-1759.5821770058797,-1759.6588803718598,-1759.6829216718165
Pol130_CH2BH2+,0,1,5,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-1759.6752637700888,-1759.720127096209,-1759.7579624603666
Pol130_CH2BH2-,0,1,5,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-1759.467964914397,-1759.6772686225802,-1759.670645209916
Pol130_CH2F,0,2,4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-3784.558352589468,-3784.590279007903,-3784.581322860669
Pol130_CH2F0+,0,2,4,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-3784.5296660165127,-3784.5328047222747,-3784.526323997395
Pol130_CH2F0-,0,2,4,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-3784.58688355493,-3784.649513052841,-3784.636495990964
Pol130_CH2F1+,0,2,4,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-3784.439534764065,-3784.445945120219,-3784.4557201038365
Pol130_CH2F1-,0,2,4,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-3784.673239855159,-3784.755190691781,-3784.7462900935952
Pol130_CH2F2+,0,2,4,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-3784.5558188885116,-3784.6171471144544,-3784.595463634405
Pol130_CH2F2-,0,2,4,0.01,0.0,0.0,-0.01,0.0,0.0,-0.514220674763,-3784.5558188885116,-3784.6165707205464,-3784.594745104777
Pol130_CH2NH,0,1,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-2574.8196051572036,-2574.821808944652,-2574.8199276642267
Pol130_CH2NH0+,0,1,5,0.01,0.01,0.0,0.0,0.514220674763,0.0,0.0,-2574.9090466351745,-2575.009907307173,-2575.0085843731836
Pol130_CH2NH0-,0,1,5,0.01,-0.01,0.0,0.0,-0.514220674763,0.0,0.0,-2574.7249155860595,-2574.700755208165,-2574.7008277747937
Pol130_CH2NH1+,0,1,5,0.01,0.0,0.01,0.0,0.0,0.514220674763,0.0,-2574.8196051572036,-2574.821808944652,-2574.8199276642267
Pol130_CH2NH1-,0,1,5,0.01,0.0,-0.01,0.0,0.0,-0.514220674763,0.0,-2574.8196051572036,-2574.821808944652,-2574.8199276642267
Pol130_CH2NH2+,0,1,5,0.01,0.0,0.0,0.01,0.0,0.0,0.514220674763,-2574.6744627602047,-2574.697427408838,-2574.691393083464
