Molecule,charge,multiplicity,num_atoms,field_au_x,field_au_y,field_au_z,field_VA_x,field_VA_y,field_VA_z,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
T144_0056,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,-6590.317319886489,-6590.311839801658,-6590.305085396116
T144_00560+,0,1,8,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-6590.313498836859,-6590.298734569276,-6590.28645712435
T144_00560-,0,1,8,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-6590.304362855076,-6590.36644170474,-6590.360899732243
T144_00561+,0,1,8,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-6590.299793343985,-6590.283453968885,-6590.27663176715
T144_00561-,0,1,8,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-6590.33312537834,-6590.35603027796,-6590.349524482955
T144_00562+,0,1,8,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-6590.317319773592,-6590.31183966039,-6590.3050852378
T144_00562-,0,1,8,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-6590.317319996762,-6590.3118399393215,-6590.305085554971
T144_0093,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,-73638.38580646312,-73638.38339334686,-73638.38044695694
T144_00930+,0,1,6,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-73638.26629697993,-73638.25867743355,-73638.25282294572
T144_00930-,0,1,6,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-73638.50343247034,-73638.52336626936,-73638.52310019452
T144_00931+,0,1,6,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-73638.33255654856,-73638.3360287343,-73638.33250503286
T144_00931-,0,1,6,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-73638.43531570285,-73638.45756275086,-73638.45109326576
T144_00932+,0,1,6,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-73638.38559764101,-73638.3870969593,-73638.3842726093
T144_00932-,0,1,6,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-73638.38559764101,-73638.3871462207,-73638.38429831668
T144_0097,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,-83634.21597274026,-83634.22261741738,-83634.22300598252
T144_00970+,0,1,5,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-83634.24477225088,-83634.26889780203,-83634.26842276438
T144_00970-,0,1,5,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-83634.18588832159,-83634.19844970584,-83634.19515495609
T144_00971+,0,1,5,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-83634.16713623231,-83634.17306732322,-83634.1689639878
T144_00971-,0,1,5,0.0,-0.004,0.0,0.0,-0.2056882699052,0.0,-83634.26368359032,-83634.29137882635,-83634.29288717496
T144_00972+,0,1,5,0.0,0.0,0.004,0.0,0.0,0.2056882699052,-83634.21578045558,-83634.2263368591,-83634.22723800165
T144_00972-,0,1,5,0.0,0.0,-0.004,0.0,0.0,-0.2056882699052,-83634.21578045558,-83634.22634309641,-83634.22723492226
T144_0103,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,-72164.27263580546,-72164.27207507739,-72164.27628304393
T144_01030+,0,1,6,0.004,0.0,0.0,0.2056882699052,0.0,0.0,-72164.26177617295,-72164.27151884668,-72164.27454408535
T144_01030-,0,1,6,-0.004,0.0,0.0,-0.2056882699052,0.0,0.0,-72164.28190470721,-72164.2901064751,-72164.29460361938
T144_01031+,0,1,6,0.0,0.004,0.0,0.0,0.2056882699052,0.0,-72164.31386542555,-72164.35704143983,-72164.35657734999
