,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
V30_C2H2_Ar,-16458.4269217542,-16458.400135139495,-16458.39885357563
V30_C2H2_Ar_1+,-16458.4269450445,-16458.400174467362,-16458.398849816138
V30_C2H2_Ar_1-,-16458.4268943919,-16458.400092345695,-16458.398853215494
V30_C2H2_Ar_2+,-16458.426948269367,-16458.40011028195,-16458.398837803088
V30_C2H2_Ar_2-,-16458.4268795623,-16458.40014435974,-16458.398853600862
V30_C2H2_Ar_3+,-16458.42691407115,-16458.40012740137,-16458.398845768734
V30_C2H2_Ar_3-,-16458.42691407115,-16458.40012728658,-16458.39884570204
V30_C2H2_Ar_4+,-16458.426854905414,-16458.40007403081,-16458.39883723184
V30_C2H2_Ar_4-,-16458.426969637538,-16458.400177036772,-16458.398850518006
V30_C2H2_Ar_5+,-16458.426912277384,-16458.400125780056,-16458.398844269494
V30_C2H2_Ar_5-,-16458.426912277384,-16458.40012524682,-16458.398843475174
V30_C2H2_Ar_6+,-16458.426463706066,-16458.399677681424,-16458.398394899687
V30_C2H2_Ar_6-,-16458.427364674317,-16458.40057735419,-16458.399297057986
V30_C2H2_Ar_7+,-16458.426930235295,-16458.400109004404,-16458.398836757184
V30_C2H2_Ar_7-,-16458.426870821946,-16458.40011814169,-16458.398827372588
V30_C2H2_Ar_8+,-16458.426735971603,-16458.399900569584,-16458.398629577936
V30_C2H2_Ar_8-,-16458.427062744944,-16458.40032423252,-16458.399032214318
V30_C2H2_C2H2,-4208.273216046147,-4208.273204153204,-4208.273921246176
V30_C2H2_C2H2_1+,-4208.273209796594,-4208.273198471434,-4208.273915529156
V30_C2H2_C2H2_1-,-4208.273209796594,-4208.273198330684,-4208.2739155779145
V30_C2H2_C2H2_10+,-4208.273205760406,-4208.2731937849685,-4208.273910817095
V30_C2H2_C2H2_10-,-4208.273205760406,-4208.273194325059,-4208.273911427313
V30_C2H2_C2H2_11+,-4208.273205846096,-4208.27319396191,-4208.273911083609
V30_C2H2_C2H2_11-,-4208.273205846096,-4208.273193742609,-4208.2739107670295
V30_C2H2_C2H2_12+,-4208.272686388273,-4208.272662603431,-4208.273380278446
V30_C2H2_C2H2_12-,-4208.273730612503,-4208.273730622778,-4208.274447114353
V30_C2H2_C2H2_13+,-4208.272848547401,-4208.272859872837,-4208.273579928851
V30_C2H2_C2H2_13-,-4208.273568452841,-4208.2735332834745,-4208.2742473835615
V30_C2H2_C2H2_14+,-4208.273279699517,-4208.273238959231,-4208.273949948631
V30_C2H2_C2H2_14-,-4208.2731101268355,-4208.273126951418,-4208.273850040794
V30_C2H2_C2H2_15+,-4208.273194690246,-4208.27318275323,-4208.273899859903
V30_C2H2_C2H2_15-,-4208.273194690246,-4208.273182589728,-4208.273899714224
V30_C2H2_C2H2_16+,-4208.273433461918,-4208.273405757335,-4208.274123524019
V30_C2H2_C2H2_16-,-4208.27295375173,-4208.272957505305,-4208.273673932178
V30_C2H2_C2H2_17+,-4208.273378495572,-4208.273365235758,-4208.27408422902
V30_C2H2_C2H2_17-,-4208.273008294302,-4208.272997721656,-4208.27371298497
V30_C2H2_C2H2_2+,-4208.273311782995,-4208.273233026128,-4208.273925814221
V30_C2H2_C2H2_2-,-4208.27311820919,-4208.273172793888,-4208.273914374416
V30_C2H2_C2H2_3+,-4208.273215467219,-4208.2732034018,-4208.2739205425
V30_C2H2_C2H2_3-,-4208.273215467219,-4208.273203658034,-4208.273920719329
V30_C2H2_C2H2_4+,-4208.273208316121,-4208.273196278429,-4208.273913359958
V30_C2H2_C2H2_4-,-4208.273208316121,-4208.2731962799235,-4208.273913362834
V30_C2H2_C2H2_5+,-4208.273208300108,-4208.27319608434,-4208.273913227639
V30_C2H2_C2H2_5-,-4208.273208300108,-4208.273196142156,-4208.27391330834
V30_C2H2_C2H2_6+,-4208.273208050861,-4208.273196053793,-4208.273913175324
V30_C2H2_C2H2_6-,-4208.273208050861,-4208.273196069687,-4208.273913273858
V30_C2H2_C2H2_7+,-4208.273208072909,-4208.273195796614,-4208.273912949804
V30_C2H2_C2H2_7-,-4208.273208072909,-4208.273196076662,-4208.273913226515
V30_C2H2_C2H2_8+,-4208.273206211012,-4208.27319466284,-4208.273911641884
V30_C2H2_C2H2_8-,-4208.273206211012,-4208.273194234628,-4208.273911492916
V30_C2H2_C2H2_9+,-4208.273204716057,-4208.273168363275,-4208.2739087343125
V30_C2H2_C2H2_9-,-4208.273208058616,-4208.273220169352,-4208.2739140082285
V30_C2H4_Ar,-16492.210451543113,-16492.19578999512,-16492.215669166573
