Dataset,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
3B-69,0.102122025,0.309482727,0.123371838,0.132031822
3BHET,0.153766268,0.565216263,0.249674301,0.182209387
A19Rel6,0.054019961,0.313829801,0.087514876,0.066884219
A24,0.077762532,1.593937484,0.115827126,0.097714848
ADIM6,0.104227472,0.961093343,0.124687056,0.109366538
AHB21,0.227719492,1.10636831,0.61681753,0.308456336
Bauza30,0.450591659,3.939151261,0.922915355,0.800950758
BzDC215,0.136282073,2.174506802,0.186793312,1.725695946
CARBHB8,0.184756814,2.178750891,0.449715177,0.330374164
CHB6,0.785943735,0.461177789,0.399819251,0.712330395
CT20,0.07300328,1.105142005,0.270168267,0.280397959
DS14,0.132663524,0.345835282,0.126362609,0.1350176
FmH2O10,0.415417327,0.282924381,1.068326119,2.076262946
H2O16Rel4,0.038731532,0.258989183,0.421681755,0.249198524
H2O20Rel9,0.104297241,0.252957746,0.298030516,0.194441778
HB262,0.156321094,0.3797861,0.177634058,0.177641888
HB49,0.176143743,0.484832348,0.238429815,0.196904131
HCP32,0.502506894,4.834363985,1.028372702,0.719924643
HEAVY28,0.17873399,1.182637438,0.618388098,0.591841403
HSG,0.085927679,0.270370069,0.123741186,0.116823072
HW30,0.134561682,0.860558279,0.146485711,0.159655601
HW6Cl5,0.209292796,1.858332908,0.329341246,0.520351722
HW6F,0.122806859,1.006554537,0.767480581,0.519517449
He3,0.182981437,11.22548433,8.645616104,14.22764101
IHB100,0.245726195,1.035074875,0.389470741,0.356873672
IHB100x2,0.309272331,0.987924571,0.459416821,0.443139283
IL16,0.783233974,1.787751074,1.283370352,0.973083221
NBC10,0.101063068,0.376564993,0.219909376,0.1599081
NC11,0.045316578,4.770318732,0.68858352,1.147437829
O24,0.592965556,4.170335693,2.802298903,3.368664787
O24x4,0.407934962,4.168872887,2.71957907,3.126158103
PNICO23,0.228707939,3.78569721,1.066002826,0.728371564
RG10N,0.092796159,14.35437991,3.5698304,600.0576043
RG18,0.060528169,5.636895415,1.954124205,14.74223628
S22,0.217656795,0.607075022,0.223545299,0.22843188
S66,0.121962275,0.324137118,0.133978205,0.116704526
S66Rel7,0.06945999,0.178859954,0.095795851,0.08970232
SW49Bind22,0.27524992,0.794834965,0.363359895,0.530426556
SW49Rel28,0.127789799,0.877609204,0.351825137,0.451122537
Shields38,0.35539586,0.728577863,1.189066528,1.114493288
TA13,1.666261448,7.454918072,4.099200337,5.570548001
WATER27,0.39232637,0.909882725,1.568146695,1.54727883
X40,0.146214161,0.711435696,0.180836243,0.215850848
X40x5,0.21870793,1.076462484,0.337165721,0.33764103
XB25,0.444634054,5.298252448,0.962245787,0.643290944
