Reaction,Dataset,Reference,wB97M-V,MACE-MP-0b3
ACONF_1,ACONF,0.5980002135328545,0.6047431165816732,-0.5000177881428227
ACONF_2,ACONF,0.6140004501024363,0.6101243868401743,-0.5630290463603392
ACONF_3,ACONF,0.9610006390681352,0.915982921142278,-1.145281996572715
ACONF_4,ACONF,2.813001980354064,2.736278467752163,0.0330524805855704
ACONF_5,ACONF,0.5950007182468476,0.5789667216558161,-0.3957066046874576
ACONF_6,ACONF,0.6040004591238162,0.6013267667513926,-0.15494585450270937
ACONF_7,ACONF,0.9340007889277556,0.8844377061281788,-1.0160067716630328
ACONF_8,ACONF,1.178000945311772,1.1469891760894109,-1.0068138713312698
ACONF_9,ACONF,1.302001209952346,1.2859139378116289,-0.6853862814388701
ACONF_10,ACONF,1.2500007548559422,1.1769580245559417,-1.7215631012735864
ACONF_11,ACONF,2.6320018926372497,2.527373661223836,0.1709152052248787
ACONF_12,ACONF,2.7400019207082424,2.656237626286253,0.1532605044546406
ACONF_13,ACONF,3.283002183858686,3.172964632521394,-0.06559018239130056
ACONF_14,ACONF,3.0830023642862825,2.9685895031329377,-0.29077769222829275
ACONF_15,ACONF,4.925003714593592,4.795843125786611,0.537043234902222
Amino20x4_1,Amino20x4,1.169000576925329,1.4588851045657931,-2.335319080831868
Amino20x4_2,Amino20x4,3.0490020184532898,2.9305444194841046,4.105783568800046
Amino20x4_3,Amino20x4,3.319002402385508,3.23114078486472,2.8455357127645615
Amino20x4_4,Amino20x4,5.044003983744856,5.255134817351229,4.910967050020577
Amino20x4_5,Amino20x4,1.576001339272223,1.591181295455072,6.549117304186221
Amino20x4_6,Amino20x4,2.529001860055567,2.4734263579603137,8.747066818872794
Amino20x4_7,Amino20x4,2.800001866579964,2.5505731884584883,9.606186147317338
Amino20x4_8,Amino20x4,6.459004589748031,6.299084741521974,12.660354275294614
Amino20x4_9,Amino20x4,0.3880004029818311,0.0885664361852116,1.9440832345451668
Amino20x4_10,Amino20x4,4.109002944715449,4.013034469578761,0.991664588387894
Amino20x4_11,Amino20x4,4.760003863446359,4.585815830325219,0.1578442211008544
Amino20x4_12,Amino20x4,6.532004649393853,6.260259036138749,4.432437099966818
Amino20x4_13,Amino20x4,0.1570003603719157,0.16261029504127,-1.5644223987860002
Amino20x4_14,Amino20x4,1.9740017332326745,2.414026248401376,-3.5763027877850404
Amino20x4_15,Amino20x4,2.897002281080158,3.144835641833441,2.6045473897372124
Amino20x4_16,Amino20x4,3.113002337222143,3.3466097444395806,-0.2076284131704901
Amino20x4_17,Amino20x4,0.2770002521153576,0.4699766718640809,-3.281538841649606
Amino20x4_18,Amino20x4,0.9790007483315464,1.0041622466641278,-0.730430650572814
Amino20x4_19,Amino20x4,0.9920008621056472,1.0377394628803478,-2.6210109500156875
Amino20x4_20,Amino20x4,2.373001749785303,2.182435719380304,0.41887916087171984
Amino20x4_21,Amino20x4,0.4240006215086533,0.5822146479337824,0.7319792415226843
Amino20x4_22,Amino20x4,3.272002570287888,3.614182294213695,-1.0215345596999992
Amino20x4_23,Amino20x4,4.045003253456069,4.324505887855245,3.0411162761784585
Amino20x4_24,Amino20x4,4.15200303142541,4.290095966598369,1.6913248423019287
Amino20x4_25,Amino20x4,1.3350013056836876,1.3696141007606093,0.5704105570718283
Amino20x4_26,Amino20x4,1.5450011162347108,1.630842843535821,-0.6599221974464666
Amino20x4_27,Amino20x4,2.939002117688468,3.1495257731825137,-0.2854318761250705
Amino20x4_28,Amino20x4,5.216003703075228,4.959326537575642,4.368456158351737
Amino20x4_29,Amino20x4,1.0910005217901972,0.5526864993616457,4.864254156230863
Amino20x4_30,Amino20x4,2.62700189714794,2.3913212613539225,4.8739747550409565
Amino20x4_31,Amino20x4,2.743002043503723,1.9848737741251004,9.210478107645052
Amino20x4_32,Amino20x4,4.086002839962728,3.575817368994025,8.724543182005938
Amino20x4_33,Amino20x4,2.769002271051925,2.311057340328439,1.6656866744819667
Amino20x4_34,Amino20x4,2.992002195377049,2.9799163001443616,-2.450450198656011
Amino20x4_35,Amino20x4,7.318005446336135,6.819794424926791,6.971788107230695
Amino20x4_36,Amino20x4,7.3700052739230655,7.0196815438168185,3.3920947100076178
Amino20x4_37,Amino20x4,0.1870003333077762,0.2573678652011853,-0.018414805473923188
Amino20x4_38,Amino20x4,0.5950007182468476,0.6676972515987918,1.55429123139095
Amino20x4_39,Amino20x4,0.9630005117619644,0.7760908535760506,4.408770964329852
Amino20x4_40,Amino20x4,0.995000984901128,0.7534501235040582,4.159385528355988
Amino20x4_41,Amino20x4,0.3380004480887303,0.2961241680999476,-1.3343701948308277
Amino20x4_42,Amino20x4,1.524000884175819,1.381138625977968,1.36243706461409
Amino20x4_43,Amino20x4,1.6860012400370448,1.537687367807351,-0.2500866667584103
Amino20x4_44,Amino20x4,1.9520012510721307,1.8904467132269456,1.4260752565604833
Amino20x4_45,Amino20x4,0.057981875403144,0.0576433967446218,1.0561341554271098
Amino20x4_46,Amino20x4,0.1990001969802256,0.2024780427232742,-0.021399110799133515
Amino20x4_47,Amino20x4,0.4560004671383429,0.4571085233165739,1.7970996491869795
Amino20x4_48,Amino20x4,0.5400001403549627,0.4910192608581141,1.8216574159397956
Amino20x4_49,Amino20x4,1.8140012500652776,2.227681160461892,-0.9591525853888928
Amino20x4_50,Amino20x4,2.459001923205226,2.613916630291892,0.45945955595170523
Amino20x4_51,Amino20x4,2.4660017913883654,2.5234857379992714,1.7234436283398984
Amino20x4_52,Amino20x4,2.896002030978506,3.0782822379826267,0.30564654905129096
Amino20x4_53,Amino20x4,0.8720009703622054,1.1149131507996108,-3.7937620358806243
Amino20x4_54,Amino20x4,1.7190013357683862,2.018143071395743,-3.5524145872712634
Amino20x4_55,Amino20x4,1.84000147761348,2.028244907211983,1.8882147564602112
Amino20x4_56,Amino20x4,1.8890011824049289,1.7424217463693348,0.7005343467091911
Amino20x4_57,Amino20x4,1.396000874147586,1.4648096097596282,2.5101428254100386
Amino20x4_58,Amino20x4,3.2110023743145155,2.907318097607184,5.691717283354574
