Reaction,Dataset,Reference,wB97M-V,revDSD-PBEP86-D4,MACE-MP-0b3
V30_1,V30,1.679133776352932e-05,1.5248547247486928e-05,1.971126524742045e-05,-1.3729165364701135e-06
V30_2,V30,0.0003408913842357,0.0003711091448115,0.0003443169994279,0.0002254127316795077
V30_3,V30,0.0003422361370386,0.0003721130352089,0.0003454590032284,0.00022706580511825227
V30_4,V30,0.0001544294540566,0.0001575047817823,0.0001541986208547,0.00014931926676321433
V30_5,V30,0.0004837414059675,0.0004732676911824,0.0004809973333477,0.0004756223573431934
V30_6,V30,5.2592573036127095e-05,5.465609643310113e-05,5.295051004742412e-05,-7.367219362733687e-05
V30_7,V30,5.6510365686473296e-05,5.823288401097803e-05,5.7416509667473976e-05,4.843915421042407e-05
V30_8,V30,0.0007130578406585,0.0006416912078271,0.0006919139068226,9.130638689201046e-05
V30_9,V30,0.0001123442761599,0.0001113829664991,0.0001130188541271,8.846988872494963e-05
V30_10,V30,0.0002374539775506,0.0002339355334505,0.0002378329923854,0.00019980063622235624
V30_11,V30,0.0002374539775506,0.0002338727903007,0.0002378323503293,0.00019980065113316557
V30_12,V30,0.0010000304733357,0.000998116600749,0.0009943257587981,0.0009210669158165964
V30_13,V30,0.0010294732178586,0.001034135627476,0.0010339234992713,0.0010177190315203465
V30_14,V30,0.0011049939830617,0.0011010281362574,0.0011100416766235,0.0011048940691690743
V30_15,V30,3.0087071250860008e-05,6.902673895990288e-06,9.626133234270588e-06,-0.0008492609903796094
V30_16,V30,5.755341193425583e-05,5.647668220198507e-06,3.931380899359565e-06,-0.0018114480708103632
V30_17,V30,0.0002308255949761,0.0002269073375851,0.0002301705520929,0.00019707565550660733
V30_18,V30,0.001244978796535,0.0012537639392755,0.0012495998487062,0.0012621073245140204
V30_19,V30,0.0013167219547043,0.0013161384062222,0.001322597490686,0.0013676412590203505
V30_20,V30,6.998362160401556e-06,8.73493081815751e-05,2.029739113602353e-05,-0.00016956523066968493
V30_21,V30,1.84550536321046e-05,3.0873482054402994e-05,2.140686409361299e-05,-1.5860694067253324e-05
V30_22,V30,8.842173248032054e-06,1.4181735351409717e-05,1.0065870329858385e-05,1.1131613900065278e-06
V30_23,V30,0.0003386612155649,0.0003691010786586,0.0003431215622912,0.00023087246575374449
V30_24,V30,0.0003407307418103,0.0003704816419737,0.0003446960265513,0.0002251311140094854
V30_25,V30,0.0003417272268551,0.0003719876202488,0.0003451547399719,0.0002282302749308265
V30_26,V30,0.0003448905021139,0.0003748741618389,0.0003480600438684,0.00023080780986286799
V30_27,V30,0.0001543271700124,0.0001574421456418,0.0001541834968663,0.0001508393318503358
V30_28,V30,0.0004825999662342,0.0004719498353475,0.0004869830797795,0.0004863547556249692
V30_29,V30,0.000484795621884,0.0004746481831579,0.0004890099795783,0.00048623763498645533
V30_30,V30,1.6417342116989563e-05,0.0001414406270917,2.3244838882135072e-05,-0.00042506898293044257
V30_31,V30,1.646101677638414e-05,0.0001423818991834,2.3197148381096714e-05,-0.00042522667112930996
V30_32,V30,3.442121643724502e-05,1.9829296562256604e-05,3.753886271317736e-05,-1.830537467141632e-05
V30_33,V30,3.791387141891558e-05,0.0001582578957641,5.069145346027989e-05,-0.00046715008743168656
V30_34,V30,3.795208674588583e-05,0.0001582578957641,5.085460705171552e-05,-0.00046715174171224546
V30_35,V30,0.0001520882162089,0.0001490962544554,0.0001535484141993,0.00011766785866164042
V30_36,V30,0.0001530884663106,0.0001504767642658,0.0001544156536547,0.0001193372977786675
V30_37,V30,0.0001537410761636,0.0001511670280884,0.0001550124091389,0.00011868984651531415
V30_38,V30,0.0001542606540081,0.0001514180363575,0.000155504366798,0.00012251353873600165
V30_39,V30,0.0002077445415012,0.0002033130775001,0.0002089411986788,0.000148024980495341
V30_40,V30,0.0002097299814771,0.0002051956038487,0.0002109655302531,0.0001496069924578398
V30_41,V30,0.0007794044173509,0.0007799942850595,0.0007849239918699,0.0007681700728488648
V30_42,V30,0.0008427640489468,0.0008356543788993,0.0008473586694118,0.0008397424950119576
V30_43,V30,0.0008435860863578,0.0008364073680368,0.0008482371805188,0.0008572632176731538
V30_44,V30,3.7870824268995054e-05,4.141561533853525e-05,3.862887780366404e-05,-8.291149949291425e-06
V30_45,V30,4.561040062015628e-05,3.0622473785287864e-05,3.8741166283296615e-05,-0.0001936133147882834
V30_46,V30,5.3330900683306094e-05,5.79818757418629e-05,5.355290135747334e-05,-7.278658019952563e-05
V30_47,V30,0.0003820767135467,0.0003207200819441,0.0003613030218479,-0.0001045920443251305
V30_48,V30,0.0005263229438583,0.000466741547525,0.0005092101348835,7.995001285952691e-05
