Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
BH28_BHDIV_1,BH28,56.95506721802172,57.98350780627861,62.25310912519657,59.66948507546321,60.76208298535855,57.58449875359893,60.27681767266084,58.27992746859316,58.60179483637285,55.307907622177545,59.69747206076438,58.1293563820401,60.05193333736206,61.46902631095752,56.86413080407168,57.11421027225027,58.05775279076267,59.329114509897465,57.02080772027344,58.40579179404785
BH28_BHDIV_2,BH28,50.09560239717492,50.92630834957576,48.098203345691225,51.61811758992734,51.99157953966864,49.27810564470229,47.55127625375041,49.93677774124704,49.02772277570914,50.348344388031,44.06871319319841,48.70950475203893,51.40239188091308,46.39990975981174,50.716834266458974,52.64326500846944,49.119833017656255,50.78274937172852,50.28730791444336,50.67014904052735
BH28_BHDIV_3,BH28,65.55927318575337,65.52706450497077,64.78146910582869,65.31129060324274,67.35250989631704,65.56601765756434,65.72429656850271,64.99350675339461,65.42763851533819,63.29566346830638,61.31094387325509,61.5337928188293,65.38373851728078,63.95464298174449,63.82705380218044,66.13131979568483,66.06178492556535,68.37092110535157,65.75859342148438,64.36234931458985
BH28_BHPERI_4,BH28,35.014340274654955,36.72638723667293,33.08599023218187,40.4925217658105,36.689480517971575,36.28402223665696,35.05572326944744,36.65898431053062,36.30328106716831,36.52304674491065,36.83973910479408,35.6278469375567,39.01811904221069,37.36626046713759,36.69054973135369,39.40887960835991,40.663668832162806,43.22726714812988,37.77741111799317,36.51628740854004
BH28_BHPERI_5,BH28,30.99904394721036,30.46753018223464,31.232419615182494,31.866169984708883,32.54068029488329,30.81388409919536,29.77140800653124,30.54155998493082,30.025615357505792,30.642715014152994,28.43776833363946,30.149152896653423,31.95056768718898,29.4541882876734,30.477148647446292,31.309559103840392,32.78078851955002,34.15168045331543,30.67233021919922,30.51468975551758
BH28_BHPERI_6,BH28,39.86615693177946,39.65884712884798,38.87997985959159,40.54873707654756,40.678431989646256,39.37907466536819,39.24357861541057,39.289646972460005,39.23340129025743,38.52318154945915,35.82045990384913,38.28594274490414,40.632738506794325,37.03767027664991,39.48993939968487,40.40310668582707,39.60976326560543,47.641200131215825,39.207435324248046,38.498053237680665
BH28_BHPERI_7,BH28,28.48948358568012,26.981842940251987,27.182530321961355,27.622107862147168,27.74358353067937,26.08098801752252,25.95975456763613,25.375186445411316,25.443277561178306,25.204830236148712,24.398914045506856,25.28314705806556,26.41072767988633,24.836528673312763,26.576102969945712,27.26063554768833,27.955733205639937,32.361335187216795,26.832658925239258,26.776358759638672
BH28_BHPERI_8,BH28,37.11759076176924,37.65709636190194,35.78460482827207,39.055328283233344,40.34921058737654,38.08626082161796,34.253274445183735,35.9526454020714,35.34453463038974,36.9744771860588,35.336318962593,35.52387219451249,39.96600680403517,35.212266175414825,38.33297934906968,40.730984276572855,36.02840333195978,46.582757017924806,40.209578271938476,38.700733833842776
BH28_BHPERI_9,BH28,22.442638513665237,22.0161410319494,26.42092339105632,25.416355898747,27.110671451047367,22.210547232081577,19.32263593174757,20.775509495562765,19.710226257304825,22.05606098842397,19.87080925751335,22.844102446156537,25.53794269917501,19.350579179642587,22.574181442194345,23.551524498733876,24.86624034205793,28.03185245253174,22.643926604555666,22.514436223674316
BH28_CADBH_10,BH28,27.5573615601177,27.468751135547144,28.90950404010868,29.523241249979392,29.614124451120503,28.529793539267697,28.2838597751779,29.98037518748193,30.76947569297573,28.507737585286183,26.41416235299923,28.86618687284549,31.317709196895017,26.9848482714074,27.89880283090504,28.94521999684054,27.712710101567843,30.44149954023682,28.893244986220704,27.998072353171388
