Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
BHPERI_3,BHPERI11,28.10002108562373,28.115666026346755,28.287623890803083,29.131931675802743,30.229801606506864,28.45233376981908,29.058048773065416,29.895028063175968,29.365584702959914,27.838397325657144,26.016558293994397,26.838161531255658,29.156482230950967,27.69008464568076,28.90165584184576,29.97361521618323,28.943463550755947,36.79778823654297,31.70825326625,29.95168809951172
BHPERI_8,BHPERI11,18.000013881971043,17.431671899707535,24.215850455639533,22.01442316201376,24.4392158415068,18.174274517911464,15.852584908110495,17.720694229354702,16.50110703892189,17.92091838354314,17.296306057962067,19.50975555457793,22.43222185640689,16.221258458513187,18.764189020887432,19.848457181814396,17.30093127219499,27.277430233483887,19.918998589487305,19.586827612443848
BHPERI_9,BHPERI11,14.500010764359246,14.18265851552165,23.74761819732726,20.360673085182714,24.576722871071784,14.98717899954493,14.850120137272256,16.016324155485336,14.613505704639865,14.231740737811467,16.36750688333126,17.509811261952727,21.244349308555734,14.121812247591624,16.783522697770643,18.19272034717458,26.99197275981625,18.556534581953127,21.326502729501954,19.50237736404297
BHPERI_10,BHPERI11,26.400020109220407,27.99696721271477,21.875772684664103,22.07632822666108,29.56697389121613,29.851171614286343,27.566914199563463,30.627176875540755,28.476743825576637,31.31342732320119,27.957654999194936,27.115910339388847,31.420920825648142,28.357177354617825,30.357565986739488,35.731412356187256,26.1035541994762,43.8916091022168,37.293229693828124,32.15865459105469
BHPERI_20,BHPERI11,18.100013791757245,17.53281255896491,24.38911561057652,21.93376855355517,24.686107875276683,18.45918891952769,15.8768640026846,17.838363676409312,16.546836038819677,18.192788745697307,17.208126481414112,19.664426286067396,22.406674941680127,16.198076815287763,18.928402288942596,19.899127567808574,16.735456250158396,27.283060250043945,19.992188804768066,19.727578026445315
BHPERI_21,BHPERI11,16.600012634926326,16.0155122209955,23.161858309135543,20.16229625615293,23.741835007292053,16.774821714171157,14.30829990569541,16.216797242639192,14.591619240897714,16.325981883140507,15.119333624267314,17.553794781522477,21.012192640496057,14.2415511587701,17.370273423465985,18.72690203143563,14.904272238243188,29.208525913583987,19.147686320759277,16.40586825601074
BHPERI_22,BHPERI11,22.90001699160861,22.78863838977494,29.62973726331952,26.523457874397,29.190745503203757,24.2186465751123,21.259856448146117,23.068997951109274,22.309619808366957,23.977893592010854,21.92553374674352,25.18685635675661,26.489370116457195,21.108277895121542,23.67491865201167,23.94071578919428,22.141444258500314,35.48036436148926,25.475824934265138,24.895933228579104
BHPERI_23,BHPERI11,27.800020728755648,27.870195489751133,35.968441509804066,32.60076658605426,35.414391181321136,29.984849957543847,27.59336403769031,29.290946843575416,28.94083954145034,29.768756088723023,27.878596649341464,31.289046132895205,32.19353452370189,27.210658936136905,29.127508424207136,29.25627167406532,27.07789395429267,39.45515605289063,30.86938079880127,30.086808496953125
BHPERI_24,BHPERI11,21.300015924991488,20.790504650221187,29.02666438873725,25.915694491935422,29.061221335421443,22.4146195881048,20.038673563939216,21.93003750768089,20.03146573903721,22.39482925707177,21.40300867843833,23.639249444669268,26.722410066849843,20.93141566769997,22.25197722735462,23.59747256219269,19.95814102233213,31.59565293504883,25.160544006901855,22.171005213510742
BHPERI_25,BHPERI11,21.600016281859567,21.01142795737655,28.908512700650935,26.0697637555342,29.00725978775076,22.45870840377078,20.06319857945085,21.857713212986035,20.33966312665728,22.10470345209148,21.46356334271058,23.709020466057847,26.673627229331466,20.709858137234068,22.575324262467262,23.66809410995934,20.15003099358404,32.15865459105469,21.714973872145997,22.396205875913086
BHPERI_26,BHPERI11,31.30002384636745,31.20525002372075,39.47024514032794,35.47536659066925,39.17159606239242,33.33642825925233,30.79516084806332,32.44884535006307,30.86226150287477,32.787604833653305,31.834054677320527,34.53806899247382,36.77804042801313,31.574575180033055,32.560194898255126,33.31144171048099,30.21967179009938,42.5854452602832,33.42540831706787,33.02567714130371
