Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
DARC_1,DARC,-45.40003434407241,-47.552007929799736,-33.9799279297232,-45.90061822982662,-41.884900529773375,-45.42534180116805,-46.65974806707069,-45.79428160387488,-46.75748913100547,-44.35656810419924,-48.90788308713616,-41.41483970884062,-46.879330825809625,-49.97936693483287,-46.71474324837015,-50.981245611760464,-46.220343875114565,-47.39347940257324,-47.24709897201172,-47.19642882297119
DARC_2,DARC,-60.800046179035895,-62.31988366335529,-53.45188005459193,-62.752628001864,-59.92112152013053,-61.79458531697313,-63.49294121452291,-60.99138241455552,-62.52111936283719,-60.482151573754834,-67.84669456595603,-59.85561724941049,-65.56452945611076,-68.1216609343531,-62.87536232892539,-67.35334912748353,-61.67549328961344,-62.808464744013676,-63.38272643313965,-63.332056284099124
DARC_3,DARC,-29.900022599322728,-31.61338607621376,-15.41396846142996,-30.3208480856467,-22.905349818130983,-29.03053982446986,-28.96660577073748,-28.097975781233647,-29.35654304442428,-29.349746865842658,-30.531026297127912,-25.09727435927048,-28.980248265919663,-31.685066797263616,-30.09632143076435,-33.634211938899774,-30.36450031724764,-29.647667205268554,-30.616030053598635,-30.520319772077638
DARC_4,DARC,-33.60002553650693,-34.55582864010706,-21.87592516953019,-35.0502335028532,-27.926765092346493,-33.164496938465675,-32.99566783626065,-30.86980755526637,-32.869309453753786,-33.86483453455617,-36.69350492449018,-31.37902264557461,-34.67690809916692,-36.62114072019393,-34.150929908997746,-37.651938045770216,-33.944666590450666,-35.424064195888675,-34.73720217556153,-34.79913235772217
DARC_5,DARC,-37.60002820304973,-39.53793201451849,-22.73541121643005,-36.58708496525555,-30.709729700201738,-36.72070607966212,-37.86449621243332,-36.149720588270895,-37.63875815055263,-36.57522058090567,-38.20653004043138,-32.23524018389298,-36.08665224654234,-39.8534341145203,-38.21414944873227,-41.87352077098025,-38.01139092055152,-35.76186518949219,-38.62191360200195,-38.58250348608154
DARC_6,DARC,-49.00003674396094,-50.44549440081125,-37.172170155311946,-49.11174234099124,-43.68749183783559,-48.81512915474333,-50.48665381396777,-47.06285174457489,-49.32041848307059,-49.08143281762423,-52.60470787708308,-46.63353266654734,-49.72677592267909,-53.452276577815695,-50.09299986437149,-53.63353890175701,-49.44460380523658,-45.56935403711426,-50.276047881323244,-50.23663776540283
DARC_7,DARC,-14.000010587918764,-14.958816826366167,3.9667668155306255,-9.801252766781884,-4.553183204132691,-11.80960279996075,-11.944483890556157,-10.254893108166367,-10.90312934566002,-11.00295173292305,-10.292893638614332,-5.296461273568089,-9.980402078073595,-12.392343677296076,-14.267837341752678,-17.67675714549433,-13.244433600110003,-13.41069944605957,-14.773163453593751,-14.728123321113282
DARC_8,DARC,-15.900012011403964,-16.78980908768916,1.576244812945133,-12.253197718433624,-6.951266382135066,-13.651518808963417,-13.843921685026418,-12.183200291723995,-12.616973432050392,-12.66855766003684,-12.491870445018712,-7.20825705135684,-12.38218718545474,-14.52593794977942,-16.024867885168632,-19.542340364569103,-15.077121462990092,-13.500779711020508,-16.21444769296875,-16.349568090410155
DARC_9,DARC,-16.800012454498727,-17.780368623321873,1.3120828399002846,-12.542315241281454,-7.116404599039798,-14.62833143175748,-14.749886480219084,-12.990471651737518,-13.630481491036024,-13.626831519477216,-13.05946393390022,-8.033531219028522,-12.912545077980388,-15.310077115089523,-16.962112521653708,-20.346619508546848,-16.098673928653177,-16.29326792480957,-16.98012994513672,-17.160290475058595
DARC_10,DARC,-18.900014325065808,-19.8046090160193,-1.353421344300043,-15.184164200885094,-9.742437370588108,-16.639643623258028,-16.89612186835471,-15.101574666951398,-15.53619783156799,-15.502902367193586,-15.49946581144733,-10.201163425148492,-15.480796588926726,-17.688409118564113,-18.898781080722244,-22.380267335043587,-18.11444750239159,-16.45090838849121,-18.759215178115234,-18.961895774277345
DARC_11,DARC,-31.70002411302173,-33.761474939050125,-13.172744328727598,-30.19226882156816,-22.4030842069314,-29.74188456423039,-30.83984535839413,-29.36326724773128,-30.19708269774671,-29.823875893416567,-28.884649331094323,-23.81341149895056,-27.62831644092905,-31.18675857455188,-32.72347148288656,-36.0993438139293,-31.66319865933664,-31.629433034409182,-32.890556743862305,-32.91307681010254
DARC_12,DARC,-32.20002428946221,-34.14365851747327,-13.997382264523214,-31.02310360171418,-23.153116600131035,-30.17111986977301,-31.30222100798308,-29.924092482228467,-30.72220979681379,-30.32963654411201,-29.63344603259336,-24.5619098196399,-28.384167227422665,-31.811604521914983,-33.07817742543392,-36.507896281721465,-32.00646951679487,-31.56187283568848,-33.29591793618653,-33.273397869946294
DARC_13,DARC,-34.20002562273361,-36.2431833553351,-15.47853328770664,-32.59743394601927,-24.56952784748449,-32.228692059729994,-33.268991259352795,-31.758978126143457,-32.582921785408445,-32.13723813870287,-31.3333876465793,-26.237445958688937,-30.20423254070164,-33.7857293731408,-35.06098474806944,-38.38811760249647,-34.18414258615798,-33.72379919475098,-34.8498025067627,-35.0524831029248
DARC_14,DARC,-34.600025889387894,-36.51409274947029,-16.242089890519402,-33.35373528425891,-25.259128505473395,-32.56336168756365,-33.627484347106,-32.21146485399754,-33.02424455491402,-32.541947989496144,-32.02500348848382,-26.89938041420176,-30.901953924366232,-34.32652331237627,-35.32422020340061,-38.71060582813651,-34.41948006018177,-33.566158731069336,-35.187603500366215,-35.27768376532715
