Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
Pol130_1,Pol130,2.52850612757106,2.576900160195624,2.604487359165534,2.555735144156609,2.586454744979894,2.554678920265158,2.453351200421434,2.517462964833732,2.6593742324657144,2.6610631114099834,2.6448632013029214,2.5904459562345354,2.6684541689954866,2.657999735653512,2.572937061367747,2.663370714715658,2.635464612967953,0.0,0.0,0.0
Pol130_2,Pol130,2.1732190484909246,2.2516569797255617,2.289869608415602,2.1916602341048623,2.248581242034772,2.281856626175684,2.147354488510563,2.176975382943823,2.346830274938636,2.298664781218347,2.273868995307239,2.253402648390056,2.2612455755060754,2.23017218485886,2.263762766971134,2.25859008094595,2.251620699703026,-0.13565269796570775,1.4706576574786296,0.7105442278149046
Pol130_3,Pol130,0.6919408918375326,0.7061501537364905,0.7310495412507455,0.7059023501834376,0.7245849386714361,0.7203432256586108,0.7135782969109284,0.7062632935825245,0.7073349542863423,0.7014412597244026,0.7162695597035309,0.7161360255872279,0.7025444214131128,0.7016890004986359,0.7308894008999723,0.7169097448617433,0.7082786938710472,0.0,0.0,0.0
Pol130_4,Pol130,2.380716978768871,2.62991492162727,2.728058156382696,2.579211403114513,2.724319956944407,2.841475850249773,2.7765328867483423,2.6144849656684577,2.617866237717351,2.805271565642692,2.712255585298568,2.6299180591771294,2.65190737166928,2.7770790709951685,2.689449255470472,2.731553509654495,2.6485983617269,0.0,0.0,0.0
Pol130_5,Pol130,2.284590057456568,2.237218363244553,2.3413472853692534,2.3463600820541632,2.322901393376363,2.4130876824981145,2.362186247494239,2.2651178109657377,2.3066468899672934,2.3815583434716783,2.3776504654709405,2.324418209275489,2.3889629552651725,2.382820516027456,2.4239812469684714,2.380106286546716,2.3323746240357703,0.0,0.0,0.0
Pol130_6,Pol130,1.6197512998036865,1.6327012755696155,1.7514113843418555,1.6851073527922715,1.7151027449061778,1.8766235580288264,1.8067345021017545,1.7437777943390516,1.7506794572909448,1.8646365582997373,1.743991524067995,1.761724502545268,1.7519240595799943,1.7043782314887437,1.8491525110264737,1.723378465352298,1.670310894627279,-0.1117847864086163,0.5714010411617765,2.5025143606064137
Pol130_7,Pol130,1.233551849012407,1.2233834344899903,1.2810912137543355,1.231225671391233,1.2681982785995018,1.2881639985417022,1.2462058285597215,1.2279875970027925,1.2461696840132548,1.2795649852145492,1.2936043801797157,1.2758693309176627,1.2382127383818091,1.271849254222597,1.2883604090032696,1.2747573841268,1.243000626884529,0.0,0.0,0.0
Pol130_8,Pol130,1.2593832765120874,1.278075779727878,1.3158534815910987,1.2696985282493716,1.3058763319589144,1.352119764137117,1.3545892649205589,1.30655454419886,1.334586396418879,1.3353081578176984,1.3070939513428057,1.3141090052537818,1.293642407250302,1.2777693041021416,1.3404677917138528,1.2941944900866724,1.2756244541305697,-0.4608129489954187,3.032780002919759,2.5024877333773237
Pol130_9,Pol130,1.2492201330702115,1.3093606410608267,1.3484456961634657,1.306362526295057,1.3359452054416572,1.349496774528079,1.3134176153227082,1.3074351909962814,1.3149876440274082,1.353646620190888,1.3375102140701491,1.3174525012314402,1.3136750197012836,1.326743030007178,1.3469788300203782,1.3349121993513922,1.317418979678136,0.0,0.0,0.0
Pol130_10,Pol130,1.1374255552095782,1.1703818507628487,1.1953163162279228,1.135350569629082,1.1743901302944315,1.188779048038817,1.1320628592538569,1.143077093791569,1.1379435642894662,1.1747117916484673,1.176969570740137,1.1733275057456227,1.1483555152398766,1.138377989084142,1.1945607320779148,1.1646244513725026,1.1613282162577945,-0.08113570915886684,-0.003748733787713676,0.367662066077768
Pol130_11,Pol130,1.1992509261413398,1.2219785662813816,1.263252499931967,1.2309272278851997,1.2545721613747056,1.3048306501695366,1.2502082094883842,1.2288161605140162,1.2627143478026146,1.285096104721102,1.2599888231570957,1.2584195474638271,1.2717735765782223,1.225732578957496,1.3228807091891086,1.2768468651747489,1.2286520140719814,0.0,0.0,0.0
Pol130_12,Pol130,1.278438856710867,1.318944342255891,1.4099475232139125,1.3215798192989228,1.3562045370565086,1.4982290700743288,1.3429815319177616,1.3556861514805687,1.3654788760797876,1.4841313167321637,1.3844511230184833,1.394576427644178,1.3785303828773456,1.321025038170476,1.4437016970807892,1.3571222696680298,1.3151637357316392,-0.012455595753201362,-0.13349538006218487,0.1948074175882489
Pol130_13,Pol130,1.233975417907398,1.253622614040249,1.3007765624626213,1.2500646353177574,1.279784739030483,1.3425565197503702,1.2719578133616742,1.2822691745406434,1.2960164010950366,1.341120150568016,1.2855443974907923,1.2943320401658498,1.2800961092327516,1.2529259530202397,1.3230953174291589,1.2736739262706462,1.2528484053985924,-0.17208061643090755,0.7838425940860408,-0.03246828483248486
Pol130_14,Pol130,1.5024515813271244,1.517502145015128,1.5514866776323364,1.5096995667738906,1.5401523505511876,1.553638156648204,1.531863954347991,1.5202495070322797,1.534742465885054,1.5266620263766666,1.5337763522857355,1.529353037982651,1.5138669826945097,1.5125390471493274,1.5625854377511297,1.5321198527304565,1.5251893927862246,0.0,0.0,0.0
Pol130_15,Pol130,1.7124896699560654,1.7364511192175376,1.7781216388930017,1.7253218622182682,1.7592021027366531,1.7819135531489436,1.7443867294872004,1.738667984728242,1.7496782659481378,1.7653264696532052,1.755405168386668,1.7570912863469863,1.732054160319003,1.7292933696983168,1.7830441996902402,1.743411203273974,1.7390508639743174,-0.1843476220506185,1.1086287062632412,1.2100705126353173
Pol130_16,Pol130,2.323972552048573,2.339352934785508,2.4059226538527865,2.321756439566599,2.3605776896511395,2.380670543041138,2.33073421762134,2.3350918944569887,2.3400299547027346,2.362184615982848,2.379718297425752,2.382369399394673,2.3243907243738566,2.3299049011388133,2.3797504886923018,2.328925798031,2.3465154835314697,-0.336451438759421,2.2167144741864395,1.707967919095795
Pol130_17,Pol130,0.8820762624777128,0.8960491414516703,0.9157603435457384,0.8837484497272642,0.9130779915466896,0.9184856171740708,0.8841471692287968,0.8901407632270155,0.8986072465690338,0.9095973219977986,0.9116719938030992,0.9054538769210076,0.894648665800826,0.8942444241887124,0.9298518217703504,0.9161483953920174,0.8951039006862761,0.0,0.0,0.0
Pol130_18,Pol130,1.1213337022567835,1.1449693486099928,1.1734113410272111,1.1263950681747747,1.1617844689805277,1.1831942137123814,1.13091476790538,1.1405843123902224,1.157325888675523,1.1868143158757156,1.1631489255689749,1.162549905035667,1.1439177682288413,1.1409765058194372,1.1803961489701178,1.156154830480625,1.139383555444097,-0.17889783039654494,1.2501574223858536,1.3445554531050878
Pol130_19,Pol130,1.1094769107444198,1.1362117008835897,1.1510369887278185,1.1031092583546618,1.1403174326367542,1.1458574000109032,1.0951779778438795,1.10404619275099,1.1136466484671184,1.1399576814466887,1.13987246565529,1.136432772466184,1.1112711486017508,1.1080524642342549,1.152971223903434,1.1365469791954537,1.1234162832215835,-0.14349112632365296,1.1422634119906485,1.0191321899414996
Pol130_20,Pol130,1.1560575665133677,1.171346709347574,1.207128805576786,1.164294506874889,1.19804598244746,1.222965764182938,1.1820741093088276,1.181804656738436,1.1955112206800045,1.2237742473893305,1.2010405831598845,1.200201853996569,1.185074483108891,1.180976595234833,1.2135016662968374,1.1893357744412207,1.171868223689689,-0.16903742107403671,1.3510516508923684,1.123284140000659
Pol130_21,Pol130,0.8888514822691385,0.8954523799303621,0.9184356674247202,0.8910827804605364,0.9186886792477604,0.927069946785004,0.9007842024292986,0.9025170070894322,0.9133666458974294,0.921195454092587,0.9190068265484508,0.9134128305940828,0.9023416809434788,0.903698607426532,0.9358612290175412,0.920176629710921,0.898670336990965,0.0,0.0,0.0
Pol130_22,Pol130,0.8672551162098895,0.8885701070551475,0.9034983063992152,0.8662290127271913,0.898384229681271,0.9029108320501026,0.8613305482600804,0.868540632129502,0.8763039910510034,0.8900219129517765,0.8950880479463945,0.8893992980513741,0.8763922816491116,0.8743599039702566,0.9151711121209072,0.9025349538551872,0.882152895172343,0.0,0.0,0.0
Pol130_23,Pol130,1.1022774945485294,1.1370656157841217,1.145724619008582,1.0922070970116016,1.1339659699926534,1.1326546006722047,1.0789218429189598,1.0875930198482886,1.096619367129194,1.1194844318556096,1.1308414748105804,1.1280018689488438,1.0972657018651557,1.09163392984847,1.145887896980554,1.1310863290075537,1.115115833895223,-0.12420778744201043,1.0618071175876227,0.9592762947686372
Pol130_24,Pol130,1.060354841605529,1.0941213774221898,1.1110257296272548,1.057839093386603,1.0977786908569425,1.106681983554358,1.0492383857536338,1.0628495682873815,1.0755108269163058,1.102568658970484,1.094641143494564,1.0934209513494837,1.067076346575718,1.0636891759662626,1.1144792279858036,1.094725041537137,1.0788236433262313,-0.16289149602764832,1.0553894787474247,1.1466693556532193
Pol130_25,Pol130,0.9511010496053646,0.9764540638843616,1.0071447992382403,0.9613802822945964,0.9924925785279648,0.99979829483577,0.976448918321854,0.9532867906059036,0.990561731874808,0.9897439615229724,0.9844352313701334,0.9869915794831178,0.991508392672133,0.9630524695456674,1.0159075925449863,1.0008562758029396,0.9911895362828916,0.0,0.0,0.0
Pol130_26,Pol130,1.1844297798735166,1.2224386562301606,1.2267574901693024,1.1781002172992685,1.202297672905221,1.2150026689670557,1.181726155306768,1.1732354501126523,1.1846439488532123,1.2085573308889508,1.2028954384150186,1.2118752872433929,1.1973422933207596,1.1707675808450604,1.2331636089098363,1.2127840464519724,1.1824237211978543,-0.0285644311597292,1.00955336596369,0.1293415906617327
Pol130_27,Pol130,1.838258883804015,1.870049768722886,1.93556150680516,1.8823869815262275,1.9079090468980533,1.94785215848416,1.9331412028198305,1.8757447937889649,1.9249967573085816,1.9150321579181924,1.888311424012582,1.8957854383864017,1.8907982440121245,1.865762875077695,1.9439772874399013,1.894922236251252,1.9034167347485336,0.0,0.0,0.0
Pol130_28,Pol130,2.6593562856304733,2.725941504157782,2.7667517082396857,2.713544426970185,2.721912014873331,2.7578162871972194,2.7258284897267075,2.6915419368404114,2.7393884046508115,2.724341605986269,2.7165522054473064,2.7411327556021496,2.713219753606094,2.670418524681854,2.77222842281413,2.717848012433419,2.6662871634934158,-0.036069327340994016,0.20627088066130128,2.34592769643105
Pol130_29,Pol130,1.2788624256058578,1.3270103490518692,1.6551358060403525,2.3738132450339107,1.48544444306145,1.4648706664420794,1.6514070192404944,1.3445261464855445,1.408776465036849,1.3887655644020902,1.4091047779851722,1.51148483121702,1.5228959654909011,1.3221509156750448,1.5484437587109343,1.46417990399155,1.416767985178013,0.0,0.0,0.0
Pol130_30,Pol130,1.6392304488974567,-4.333528470065618,1.7355170713627994,2.039447520067037,1.7182036457166978,1.7525335595413358,1.7024286850650887,1.7158271418539237,1.7120033501185203,1.7395525847922044,1.7107145084067743,1.720495435840281,1.7167620682197688,1.689410624530839,1.7462408317799494,1.7139291766954694,1.7199098057081692,-0.3682275395886234,1.4933351037601317,1.501463903795131
Pol130_31,Pol130,1.1679149855352056,1.1996581797923058,1.2463532932715748,1.2014249954665182,1.2271393296946824,1.255307602481191,1.216446819254156,1.2030034327877197,1.212055131457933,1.231040054091283,1.223614357988863,1.2225562514997237,1.2226569040321498,1.21314611942394,1.2510589868301396,1.2189445579707257,1.202378045560375,0.0,0.0,0.0
Pol130_32,Pol130,1.9060129642466956,1.947566641625316,1.999492046564447,1.9662578898094245,1.983905589752149,2.0120087270520903,1.957145824738417,1.9712130811287665,1.9646724243815323,2.0028970384934865,1.9742636556953672,1.9837275025776573,1.9768723380872129,1.958284503437316,2.004654441518121,1.969352013543816,1.9362027406015136,-0.5035155872854492,2.848377702159292,2.372330529803904
Pol130_33,Pol130,1.4546002188732052,1.4839831617542585,1.5235825236153449,1.4784765778378457,1.497011576192343,1.5482980510146074,1.4698738622100629,1.4952613895216835,1.4974390356413123,1.53403407041573,1.4959234747679262,1.5057386014449612,1.4829398644854737,1.462844563845108,1.5344339194366388,1.4870145972524496,1.485809440848686,-0.1691737584463742,1.2442985623954455,0.9000488328749231
Pol130_34,Pol130,2.1164752492801013,2.1810073823288,2.239838089795139,2.18228762714109,2.211433496932293,2.249665390177042,2.1665218908917745,2.1925955997976003,2.184505433888216,2.2371937648711357,2.203901688983521,2.2156713821849414,2.2028112657772017,2.169646511560147,2.243024143640532,2.1983199922069443,2.2345323647859217,-0.4434170557261364,1.9330853842210238,1.5854344944131176
