Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
V30_1,V30,1.679133776352932e-05,1.7193834580791286e-05,2.202566350424384e-05,-6.984172218183588e-05,1.7444807180122544e-05,1.8825227816012206e-05,7.718227834465256e-06,1.1169636122028146e-05,1.2362005657338733e-05,2.710832234789216e-05,2.22766361035751e-05,7.097145557666527e-05,9.78907280700299e-06,1.769506638377634e-05,1.5248547247486928e-05,2.11470453878812e-05,1.971126524742045e-05,-5.315510172327049e-06,1.556212919738515e-05,1.8930967999152274e-05
V30_2,V30,0.0003408913842357,0.0003507151599008,0.0003586845030137,0.0003869851948969,0.0003879263064746,0.0003702305266952,0.0004033004113614,0.000397213434083,0.0003999117818934,0.0003726149804075,0.0003793922393434,0.0003898089576675,0.0003974017705418,0.0004121469457993,0.0003711091448115,0.000373619013484,0.0003443169994279,0.0003457823260883031,0.00036944121219464703,0.0003712665731531302
V30_3,V30,0.0003422361370386,0.000351907386757,0.0003604414538882,0.0004032376325417,0.0003896834000282,0.0003639554983162,0.0004056220862541,0.0003977155219608,0.0004009785937895,0.0003724895654474,0.0003807728026585,0.0003864204708786,0.0003994726155144,0.0004131509788758,0.0003721130352089,0.0003743720739611,0.0003454590032284,0.00034284839266427185,0.00036740477447490163,0.00036927325683850753
V30_4,V30,0.0001544294540566,0.0001538025435746,0.000154806576651,0.0001619602231463,0.0001558106097275,0.0001631524500025,0.0001575675606019,0.0001588853450973,0.0001575677032811,0.0001597011843941,0.0001566892278438,0.0001546183828713,0.000160014935813,0.0001556843386926,0.0001575047817823,0.0001592618753359,0.0001541986208547,0.00015747601575683454,0.00015832686651705773,0.00015863039422860253
V30_5,V30,0.0004837414059675,0.0004755267299347,0.0004742717242589,0.0004877003991332,0.0004697536467544,0.0004894573500076,0.0004666159898858,0.0004716361552681,0.0004648590390113,0.0004887042895305,0.000481299813115,0.0004718871278674,0.0004823038461914,0.0004740206089804,0.0004732676911824,0.0004816762006744,0.0004809973333477,0.00047501029795081023,0.0004766796164705224,0.000477687516394928
V30_6,V30,5.2592573036127095e-05,7.649338780871104e-05,4.511796055564552e-05,5.340105508752548e-05,5.766812432291495e-05,-6.275099718526651e-06,7.435983535612436e-05,5.164403287350344e-05,5.453057446365163e-05,3.570527530807167e-05,5.948788968676981e-05,8.95456037839946e-05,7.818766687290026e-05,0.0001044803282729,5.465609643310113e-05,4.4553200867582447e-05,5.295051004742412e-05,2.8379044038489175e-05,3.591698445032247e-05,3.0744764861554994e-05
V30_7,V30,5.6510365686473296e-05,5.66641269162383e-05,5.7730867472747766e-05,5.992716307516726e-05,5.628763234745754e-05,6.275096151548264e-05,4.9887010659481393e-05,5.176951917316906e-05,4.919676467175269e-05,5.854663542992597e-05,5.358932020680779e-05,5.616207470822417e-05,5.716610778468469e-05,5.101653003560754e-05,5.823288401097803e-05,5.660138376640549e-05,5.7416509667473976e-05,4.844073246224094e-05,6.052626129194429e-05,5.313878438222697e-05
V30_8,V30,0.0007130578406585,0.0006905114065905,0.0006341610667629,0.00069935933215,0.0006554336697901,0.0006086841733201,0.0006538021338757,0.0006667915353616,0.0006960335171714,0.0006306470223349,0.0006807850412635,0.000692644959043,0.0007388296601552,0.0007529485810172,0.0006416912078271,0.0006550571752213,0.0006919139068226,0.0005933465495339961,0.0006338177919580394,0.0005676123409388905
V30_9,V30,0.0001123442761599,0.0001154617706152,0.0001122614776061,0.0001148970109272,0.0001143322155693,0.000100401488487,0.00011709323519,0.000112700679655,0.0001147087458079,0.0001065511019059,0.000111445709649,0.0001163402460525,0.0001172187928293,0.000118473798505,0.0001113829664991,0.0001120732124869,0.0001130188541271,0.000112744521126099,0.00010864035330506977,0.00010804206478243798
V30_10,V30,0.0002374539775506,0.0002397086166308,0.0002350650528267,0.0002383280889856,0.0002359435639337,0.000225903411518,0.0002395830946614,0.0002338100471509,0.000234939566527,0.0002256524032489,0.0002346885582579,0.0002392066000926,0.0002437246775971,0.0002448541969732,0.0002339355334505,0.0002356925913343,0.0002378329923854,0.00022627617568325635,0.00023244090068701303,0.00023076247969170587
V30_11,V30,0.0002374539775506,0.0002397086166308,0.0002351278316463,0.0002383908678052,0.0002359435639337,0.0002196283117995,0.0002397713597807,0.00023406105542,0.0002351905747961,0.0002255268812794,0.0002346258151081,0.0002391438569428,0.0002437246775971,0.0002449796832729,0.0002338727903007,0.0002356298125147,0.0002378323503293,0.00022662869736482389,0.0002324422429875616,0.00023077233721135941
V30_12,V30,0.0010000304733357,0.0009952300234891,0.0009915904927614,0.0010026973857336,0.0010010031423392,0.0010416657328703,0.0009695021217771,0.0009831190974404,0.0009268315007627,0.0010488820868457,0.0009895197191284,0.000979730539312,0.0009941632472628,0.0009686236463398,0.000998116600749,0.0010037641619599,0.0009943257587981,0.0009784319390470596,0.0010519025498384375,0.0010081644834543182
V30_13,V30,0.0010294732178586,0.0010339473623567,0.0010247857210481,0.0010630010790473,0.0010358299065402,0.0010667660960747,0.0010385909261609,0.0010403479483749,0.0010463093323443,0.0010579809493348,0.0010389046775799,0.0010210206683509,0.0010486938573962,0.0010324413127421,0.001034135627476,0.0010490703876348,0.0010339234992713,0.0010449510269787596,0.0010417018207133835,0.0010352629308225819
V30_14,V30,0.0011049939830617,0.0011061737165998,0.0010904859673035,0.0011327800937491,0.0011004006334196,0.0011546174207945,0.0011034126613094,0.0011114447832419,0.0011214849356576,0.0011320271046115,0.0011118212778107,0.0010898584644656,0.0011228654633028,0.0011064246891992,0.0011010281362574,0.0011184729077678,0.0011100416766235,0.0011020025335662764,0.0011026426431403743,0.0010996793468918433
V30_15,V30,3.0087071250860008e-05,0.0001016566011722,-7.442257850595717e-05,8.301942445678507e-05,-2.886541590148195e-06,-0.0002384536466248,0.0001549321342902,5.697777132583463e-05,0.0001886921579348,-0.0001353538459971,8.370970611429764e-05,0.0002226403753591,0.0002516312062206,0.0003815257204564,6.902673895990288e-06,-1.7130913082039106e-05,9.626133234270588e-06,-0.00015112257168532772,-0.00013682119827818453,-0.00013358038139123704
V30_16,V30,5.755341193425583e-05,0.0002346886295975,-0.0001908882751883,0.0002099018394632,-3.5391559558907605e-05,-0.0005396581477558,0.0001267568573671,-0.0001041666125238,0.0001923943961426,-0.0003773841731905,0.0001757026494396,0.0004806723102771,0.0005941259077301,0.0008422432122019,5.647668220198507e-06,-7.20379821144715e-05,3.931380899359565e-06,-0.0003941063203497108,-0.0003600882297597977,-0.00035819021678412335
V30_17,V30,0.0002308255949761,0.0002324294481661,0.0002262171986067,0.0002320530606066,0.0002268445587655,0.0002196282761297,0.0002262171986067,0.0002264681712061,0.0002316765303681,0.0002152357562644,0.0002289781825576,0.0002324922269857,0.0002405243489182,0.0002397085096215,0.0002269073375851,0.0002279741494812,0.0002301705520929,0.0002226383314621779,0.00022509188907739058,0.0002220379875418311
V30_18,V30,0.001244978796535,0.0012510657341442,0.0012441632029274,0.0012784250290915,0.0012569642322846,0.0012989445716415,0.001257215204884,0.0012695144317217,0.0012625491216852,0.0012956187209931,0.0012563367294467,0.0012380134468294,0.0012634902332629,0.0012486817084693,0.0012537639392755,0.0012683222048655,0.0012495998487062,0.0012554110850327065,0.0012591733856827725,0.0012559119309248907
V30_19,V30,0.0013167219547043,0.0013209074563261,0.001306537527195,0.0013419917228943,0.0013168913240202,0.0013742456255846,0.0013150715943262,0.0013328929317449,0.0013192759204117,0.0013632015471018,0.001322287876962,0.0013015801406323,0.001329629717237,0.0013143186765282,0.0013161384062222,0.0013313241746501,0.001322597490686,0.0013173629534010136,0.0013230068238450341,0.001317838295582775
V30_20,V30,6.998362160401556e-06,2.836339936325169e-05,7.191256715437361e-05,0.0001222388512022,0.0001332830010246,5.020072640864546e-05,0.0001470882061374,0.0001351655808778,0.0001542418526327,8.30822746159695e-05,0.0001115712316184,0.0001365460728533,0.0001194777959117,0.0001863703403629,8.73493081815751e-05,7.492466638375519e-05,2.029739113602353e-05,7.265998710071963e-05,7.217516492133393e-05,7.235159354968626e-05
V30_21,V30,1.84550536321046e-05,2.102155908821557e-05,3.319522828670424e-05,2.227656476400735e-05,3.915657658628295e-05,2.5100398874106603e-05,4.016053832317573e-05,3.2128487730194774e-05,3.583079727752118e-05,2.9869520317510216e-05,3.6207327516085806e-05,3.564253215823886e-05,3.212855906976252e-05,4.386291921006987e-05,3.0873482054402994e-05,3.055973063545505e-05,2.140686409361299e-05,4.2349666201086915e-05,2.9128173585266234e-05,2.7805839757358735e-05
V30_22,V30,8.842173248032054e-06,9.851922966187425e-06,1.330318857461482e-05,1.1169636122028146e-05,1.60014650454807e-05,1.25501994370533e-05,2.102155908821557e-05,1.2173740538056415e-05,1.6880011822275595e-05,1.324048109456588e-05,1.4872017008922292e-05,5.082801522783811e-06,1.4683751889639978e-05,1.932731569381021e-05,1.4181735351409717e-05,1.3052215975283564e-05,1.0065870329858385e-05,1.2734153622906416e-05,1.355891341621682e-05,1.277828175344057e-05
