Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BH28,Barrier Height,0.49857241401894303,3.0497515717397663,1.9058879154541724,2.3027075225768865,0.7105964072846832,2.6112205990203874,2.044938200168906,1.8535647894766552,1.2997621264239878,2.403046190155933,1.4560291679263209,2.075681758020027,2.1015281874735106,0.8384106060722647,1.9552302697184716,1.7087197462006318
BH46,Barrier Height,0.5221185506694862,3.4212080192105025,1.0598236910925651,2.3047330638190577,1.071284012565039,1.1084112492773395,0.9799654371368083,0.6987775464054549,0.9433624259721236,3.086863035251439,2.4509563756034236,1.224138010304623,2.46206027964749,1.0803362811026826,1.4345822599771243,0.8143785105405227
BH876,Barrier Height,0.8225829850120343,2.8467409740647707,1.5055462494004268,1.7605278092604697,0.9715505950831059,0.9783425319054774,0.961141330643474,0.9993183970795891,1.2195270251922588,1.6609073883917653,1.7737722032525942,1.7083038424787917,1.3841037851617957,0.848268800659164,1.3512607229933769,1.9684468547134593
BHDIV7,Barrier Height,0.6783669240714751,2.3509157956364635,0.9629661650737606,1.458756488948767,1.1863265017583,1.1471821683303258,0.9764817513734362,0.9099340348702262,1.5823125302458134,3.5989290922475012,1.9485508518105312,1.0532803895906582,2.4675416495548586,1.2740121364530268,0.7247929743752153,0.6611858748190715
BHPERI11,Barrier Height,0.41435828940910097,5.865996902065131,3.6543374735751852,5.977819539906395,1.031854703797854,1.1782475654327618,1.002749187796939,1.0897566327047337,0.9915157820228632,0.8586177001992965,1.8537072687697878,4.117645666687216,1.0472615912388423,1.2119100569926402,2.4366317619885094,1.87568759533231
BHROT27,Barrier Height,0.5013898007252675,1.37482287285945,1.9075994209562903,1.3875157661001911,0.8056228294372194,1.580984640017629,1.1776864512193097,1.4016487773375592,1.5817584308601733,1.9378758645455199,1.858700619229625,1.2672510159407262,2.6336818169273775,0.7354679730594978,1.013639977224516,0.337628041603531
CRBH14,Barrier Height,1.6458923893414463,10.227322440902244,3.3045097768161953,1.830166526057467,2.635292825509909,2.804647216034432,1.4108946655082935,1.0098643938661904,0.9521081967063877,1.1555061315276327,5.086055999557649,1.390688426432548,0.868417123591766,1.3216114838153898,3.2707637552416267,0.5832429290317643
DBH22,Barrier Height,0.4192689237362768,3.272886184965232,1.0951984046391603,2.064309698996269,1.1748068409769936,1.1710022329205816,0.7376298612770712,0.8731758598348955,1.151299516081487,2.873417452279204,2.118257089260532,1.0584496399458074,2.635788379791445,0.9736130445095043,1.153283108917928,0.8170871979443505
INV23,Barrier Height,0.5962844887829729,1.6794842981138605,1.3311138566199,1.445382512719489,1.0919446495277776,1.2667998472021416,1.1769525970899315,1.3283609813953823,2.188973179900715,1.3871920226956025,1.3740645306113939,1.2899052337485235,1.175284888615684,0.9405961158171395,1.1087084316225313,1.8214264647113663
ORBH35,Barrier Height,1.0318060942367093,1.2619985869579577,1.02135298883618,0.999581854797538,0.9524864633803864,1.1155603288270306,1.3037999169169767,1.4350949586387065,1.1658075444242548,1.3132904469160405,1.152514323245595,1.040923449367623,1.0148105264445961,0.9694827994126672,1.0980943810257788,2.113185975597496
PX9,Barrier Height,0.4137351997842058,3.058163004143388,0.7939848213164019,3.8040657436379086,0.8543208237503614,6.194539853449533,4.397133131529443,2.304107344649905,1.8667033349472248,5.33169238612632,1.154295062189007,1.080525913680795,4.085568027664477,1.5839662390173554,2.10370169197927,1.149628009412969
WCPT26,Barrier Height,0.47438575221146245,1.105572231869897,1.036463733594254,1.8037965549075714,0.9184738380344669,2.6051643668078257,2.291981222392465,1.1423826467719786,1.4713686267227752,3.558643346748379,1.0446974179727437,1.1552240470346715,3.034431167486238,0.9612580015019109,1.1648066415768883,0.7479776774014846
Dip146,Electric field,0.7463368442022478,1.1987825296278767,1.2390920710358317,1.0481084879825264,1.1181677151854692,1.3045308593651246,1.04935393498075,1.0819511066585565,1.3269085298544465,1.0486634286461174,0.9512518240274743,0.9271196251611495,1.205539746034708,1.0503602273993005,1.0006396879899992,0.8910494521073509
HR46,Electric field,1.2672264498513706,2.7495023795072284,0.8969153509593311,1.6372510454665927,2.6830047872824645,0.9853987730670876,1.052745243781235,1.1521948636295165,1.8693081168469583,1.7908584735266198,1.8156130842095557,1.0186086497795952,0.9959925582139939,2.5593817292663745,1.108144576358908,1.2235134135808343
OEEF,Electric field,0.5268034585671838,1.7742293895147239,1.0443659154678293,0.9747501611625091,1.717320604662226,0.9813726939099616,1.043737569953217,1.5311530040913666,1.621177764882515,1.9788689863969147,1.5248410153791832,1.4997932072691142,1.5717348150585169,1.1343278864269963,0.8748788691588728,1.3600509040640363
Pol130,Electric field,1.424348416077898,1.9470789487318765,1.0894401976700958,1.374627156689838,1.9855400533248773,1.0792215340348281,0.9917286342446935,1.1102516769593755,1.298968894792157,1.277510532230261,1.2940873607460968,0.9290498317200578,0.7302304851959338,2.0229118344112877,1.1450602738992979,3.153184909110916
T144,Electric field,1.2298139621867226,2.674844031033581,0.9554764532435989,1.4589020017654126,2.404084302623032,0.9611228529154566,0.9670186288628992,1.1541257091472767,1.5695554044871156,1.7467853498954484,1.7765529948943533,1.0718585182216587,1.0771970940238795,2.2692151543226418,1.0757420814321592,2.8092168221800615
V30,Frequency,0.8761390189108855,1.0608306486768087,1.0997132772211318,1.0621306778387134,2.8605313815236433,1.3228522173473678,1.0135706487174443,1.2513330033502676,1.7628506980672671,0.7235033584737633,1.4556338226884624,1.3628244421169182,1.6660205353769828,0.9247261666417657,1.1907053288404932,0.3264042308091426
ACONF,Intramolecular Noncovalent,1.4301666807509474,19.93385223592767,4.139524644947636,14.525982825297591,0.7617233545979875,1.7262437456265256,5.18290411682968,8.438493495735253,11.036742151848962,13.323550128006195,4.2793265443319,9.389740512462797,8.919466627622324,1.21539252681123,0.3703988927287928,0.6691017742178809
Amino20x4,Intramolecular Noncovalent,0.439624615705147,3.407116957108588,1.625978410481669,2.6757106799302566,1.4826219285300044,1.4883657021433587,1.5611476563966311,2.0080252548263946,2.6987110205718707,2.497595385179377,1.967179620380065,2.0189183618804614,1.6086773075847443,0.9786336448968752,0.9603931033904063,0.6438717768953922
BUT14DIOL,Intramolecular Noncovalent,0.6093947749520886,4.7323968937493595,1.3580984162021053,2.1483547987829255,2.8716823786525287,3.1231258922198695,1.4628975329367628,3.2608724876599755,4.564234456386424,2.9812269902712325,6.2682903096670035,2.1362690088906695,1.281769364270943,0.3372936167269974,0.36917639436756045,0.505736151106167
ICONF,Intramolecular Noncovalent,0.5347980852991181,2.5273162120873987,1.6536222422552582,2.29512472202088,1.14021365918075,1.2039138925737671,1.2857347189260637,2.2106497585390312,2.336853617131337,1.7536619608230075,1.1186273190375358,1.8563579580090679,1.630592675225201,0.60864288486409,1.1213500144864803,0.5134387901418491
IDISP,Intramolecular Noncovalent,0.9248681126376985,10.545455274321684,4.353060839592395,7.171729320656563,1.1046805405560043,1.3221546136357654,1.28283754425956,1.905778855893677,2.3469958080746878,6.176750729781137,4.634301106802986,6.224752668426354,3.9160070523854733,1.0724253763237868,1.6917877775945576,4.192351884148201
MCONF,Intramolecular Noncovalent,1.5475212019636768,10.88918901277009,3.995707336061187,7.756732865972096,0.8586200390737183,0.78855165128182,1.5502216316148718,2.1474116490309934,2.377254957227896,7.316761994239082,4.3260753209583624,6.462628590867011,3.277173616363162,1.5739308733711141,1.0080778837309365,0.6404005578839863
PCONF21,Intramolecular Noncovalent,1.347831413884843,13.404345534692682,4.562462752098448,10.109345710950064,0.9536854280225959,1.834244469386993,3.1279982420242827,2.91052372200403,4.011380364106787,10.86386234564281,4.628597911450193,7.0183751535275745,4.6521650959937695,2.0304351428149006,1.0235179769112914,0.548065892838318
Pentane13,Intramolecular Noncovalent,1.6616882286881656,5.100348404783663,1.6579972929106281,4.419986814941899,1.3567945990966337,2.2035571600831445,1.3454602842620813,3.090339573754124,3.457000553676469,3.7388247931572236,1.7801314843712057,2.7924436497433196,5.829619108758672,1.1017862113802164,0.5645557211493449,0.751247036123108
