Dataset,Datatype,wB97M-V,MACE-MP-0b3
ACONF,Intramolecular Noncovalent,1.2153925268112324,48.125216271953285
Amino20x4,Intramolecular Noncovalent,0.9786336448968753,12.446336061704885
BUT14DIOL,Intramolecular Noncovalent,0.33729361672699815,7.804986387882672
ICONF,Intramolecular Noncovalent,0.6086428848640902,13.799447418606693
IDISP,Intramolecular Noncovalent,1.0724253763237865,5.254576911322454
MCONF,Intramolecular Noncovalent,1.5739308733711144,6.870482016168053
PCONF21,Intramolecular Noncovalent,2.0304351428149006,15.699546333193158
Pentane13,Intramolecular Noncovalent,1.1017862113802175,37.10927858390193
SCONF,Intramolecular Noncovalent,0.846433368426664,38.48455540862563
UPU23,Intramolecular Noncovalent,0.9426322967259867,20.908178029736643
