Dataset,Datatype,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
ACONF,Intramolecular Noncovalent,1.2153925268112324,2.049451609071541,1.4642785637820563
Amino20x4,Intramolecular Noncovalent,0.9786336448968753,1.1779563201475598,0.9981254320814823
BUT14DIOL,Intramolecular Noncovalent,0.33729361672699815,0.7556102506063458,1.0681009820456224
ICONF,Intramolecular Noncovalent,0.6086428848640902,1.6134368686439584,2.0136966479866807
IDISP,Intramolecular Noncovalent,1.0724253763237865,1.0693652864219456,1.1695280736145492
MCONF,Intramolecular Noncovalent,1.5739308733711144,1.7487514630316254,1.8703948065780929
PCONF21,Intramolecular Noncovalent,2.0304351428149006,1.9405259235499661,2.3829929424725953
Pentane13,Intramolecular Noncovalent,1.1017862113802175,1.425407665379737,1.4018183104807886
SCONF,Intramolecular Noncovalent,0.846433368426664,1.4205384875152005,1.9630481218222489
UPU23,Intramolecular Noncovalent,0.9426322967259867,1.1122407423453065,1.271270630292331
