Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
AlkIsomer11,Isomerization,1.2991933746302013,1.67022137154537,0.48938798290396285,0.5153766452986861
C20C246,Isomerization,0.7322319620929384,2.211005115010779,4.479950536089582,1.425798229512308
C60ISO7,Isomerization,5.751657163363962,5.022811208809556,6.021031499101623,7.406132735037855
DIE60,Isomerization,1.0839148881460552,1.7820989601972106,1.3595658078077764,1.3093980833484993
EIE22,Isomerization,0.6217270336836167,1.782491690789632,0.9857547070096154,0.7012165579170643
ISO34,Isomerization,0.706048960438124,0.8102055961729703,0.7920949341585333,0.7719792685907343
ISOL23,Isomerization,0.7977113986246873,2.017836563770117,0.9614509002952042,0.7460474274898374
ISOMERIZATION20,Isomerization,1.1658823073474402,1.2693614691403476,1.0860431366600654,1.0891726122481953
PArel,Isomerization,0.8733111998623366,2.430134796962463,1.0192569798474143,0.656678823923908
Styrene42,Isomerization,0.7584361327049371,1.3526014134137025,0.9469808312433771,0.8215749074379108
TAUT15,Isomerization,0.5387674269273356,0.8215504153565151,0.7039434307319218,0.6451422331556164
