Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
3B-69_1,3B-69,-1.386000255659492,-0.011268564100481049,-0.15713471011978375,-0.21986871479072967,-0.1031902307082071,-0.037210056781509016,-0.08247488797544511,0.041327585709663106,-0.02706253835203487,-0.06753595814379976,-0.06708013525979717,0.020155290520017966,-0.08620066269390869,-0.0803124275529048,-0.05257920708174457,-0.060690833823605184,-0.033004496450090404
3B-69_2,3B-69,1.0840000260975835,0.016262033528962716,0.0338006095974448,-0.15332704539943431,0.06385912915405934,0.16468735142402058,0.12025001698291615,0.18846757596286867,0.09546941682240151,0.1615934160082524,0.15304171683916556,0.18623088119127162,-0.03308010316861609,0.13174046851438592,0.057940459733050176,0.059978108567721344,0.03297148441196951
3B-69_3,3B-69,-2.415999953966842,-0.00859757007476869,-0.15876780359167864,-0.8202997117714541,-0.006810799582024796,-0.25185029988759355,-0.18750654519350807,-0.3287865382468125,-0.350205883857694,-0.3774980906473706,-0.04540740133206267,-0.14814256217233757,-0.44605130439808693,-0.10839686570063689,-0.16499363879077888,-0.07865404550770272,0.00757418553301914
3B-69_4,3B-69,-0.1779999649213336,-0.004152732220625899,-0.010545924231484288,-0.0293835703757426,-0.020385147309986584,-0.012568387262058195,-0.03612797952737021,-0.016843985820497592,-0.011782808194607391,-0.019749668458728192,-0.0072892755320931035,-0.007933664980721289,-0.0130380153868431,-0.013678451499819999,-0.013300816247020786,-0.016853900468778688,-0.004639845298932799
3B-69_5,3B-69,0.1810000877168145,-0.036179749084657514,-0.023345548665400312,-0.5551237462454627,0.018328422204332312,-0.0692720259035302,-0.0711385527489025,-0.1298494686500762,-0.0871641406985,-0.2054173598283462,0.0768266751394128,0.03263268889917201,-0.2649200044817292,-0.026673858959346514,-0.058700248193251606,-0.0411651863118766,0.016506914674728396
3B-69_6,3B-69,-0.0930000416030623,-0.0253945554285607,-0.0275508034766975,-0.4724734066291626,-0.0170989429070586,-0.0749842446352533,-0.1226966764198214,-0.10832790179475679,-0.07744966654546889,-0.1449041111986794,0.0507495148693909,0.0586662372215925,-0.2374618841426669,-0.1032761995794291,-0.0694346135319179,-0.055537977025155005,0.010399113991331907
3B-69_7,3B-69,-1.3080002005243598,-0.024108286505722942,-0.16248993874323703,-0.2728524772810217,-0.09153813277659761,-0.06128194770369366,-0.09527313189735453,0.03053316771295167,0.01467393254203575,-0.10928002192258024,-0.0504318068880758,0.04278867875148751,-0.06629957619746274,-0.07518887546031627,-0.06126406365879511,-0.07079737587570767,-0.020164034307531997
3B-69_8,3B-69,0.0470000203504621,-0.0262079332216224,-0.0254775121422987,-0.1741911078801513,-0.013063115776500697,-0.050005790690091,-0.0952824190229872,-0.0254885562921211,0.043263828917489304,-0.1395668921034339,0.034501600406101306,0.048125584076215804,-0.0359796361814961,-0.0352391122957813,-0.0304191492291273,-0.0446069502807894,0.0016463878601018014
3B-69_9,3B-69,0.0229999792508263,-0.0414235319670141,-0.0540559251443671,-0.4097342563550971,-0.0287400594273012,-0.0490792729568786,-0.09570146990725639,-0.050307622763696005,-0.0457749963569197,-0.1391684863872865,0.030928561492359397,0.027463893372844196,-0.1825164016194784,-0.048401751094453105,-0.050430363577931805,-0.0563066761471807,-0.0078294890296289
3B-69_10,3B-69,0.2540001473626365,-0.12141266656700309,-0.035935835985174,-0.9414325091740097,-0.004344059757559082,-0.1646867239090375,-0.1905433145679204,-0.3735814275239646,-0.44410527207860095,-0.5959146229084108,0.07825607894556141,-0.17848189218675678,-0.5513761968220063,-0.09525687950881179,-0.16057936063779318,-0.1338979087950688,-0.00865808391170389
