Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
OEEF_1,OEEF,-0.9681153414850274,-0.006630829864037735,-0.03251471715497489,-0.01225086745816062,-0.020499542253743397,-0.05026350886784425,-0.007108176314749137,-0.019187796447643346,-0.015158495356972224,-0.03440144988957039,-0.021795035559776355,-0.01931122756137138,-0.022419846746863814,-0.005988009101164815,-0.03378015275582835,-0.019367954413602617,-0.009381240283341197,1.2301564509719323,-0.4627041739018738,-0.22135820395192107
OEEF_2,OEEF,-3.889082836889011,-0.017714153194070992,-0.1250199675340018,-0.03991713265640984,-0.07133891656569746,-0.20310724648185063,-0.01622243767821363,-0.06755377941709462,-0.05524794213018103,-0.1312324995801979,-0.08251115799090503,-0.06681382024648075,-0.08210459460580699,-0.010643125382101992,-0.12778904134731173,-0.0717887153582506,-0.03718324393703165,4.953908660839376,-1.559707685045129,-0.27234906734206676
OEEF_3,OEEF,-8.817564836497317,-0.03184133673712175,-0.29151737003933853,-0.08533281708988838,-0.1602896395341169,-0.46768030097892677,-0.02970316095441561,-0.14952998558545616,-0.12722051775544507,-0.295672549520857,-0.19112413732374378,-0.1534970377311513,-0.17841286616218888,-0.01901328606504471,-0.2905354432222591,-0.1600089545487826,-0.0872321219786727,11.254025995142676,-3.0871060568141484,0.472021750278941
OEEF_4,OEEF,-15.85692030831079,-0.03758097764279533,-3.46660122756057,-0.1462651792893368,-0.2941251739137485,-0.8617016573595535,-0.043081537441004514,-0.26531665321695996,-0.2907360579991227,-0.5340929544155557,-2.2431799542495092,-1.6595477623968584,-0.300242512777114,-0.03245905700561558,-0.5313251983778216,-0.2842238274300719,-0.16810473476881072,20.296350344365337,-4.743788566354585,1.329861273410648
OEEF_6,OEEF,-1.0755499835198918,-0.025991442416754884,-0.05485537220803138,-0.032414629389643235,-0.04375316083254721,-0.06933477680154021,-0.024178944049051188,-0.027333183175967557,-0.02849162841936126,-0.053227110610403194,-0.043168008247501666,-0.03459384429311907,-0.043687648842493765,-0.028959373973210578,-0.05361679400151398,-0.045385501225374325,-0.02348215501910489,1.224676701984507,-0.31008808556075995,-0.16989988459065786
OEEF_7,OEEF,-4.324756389634128,-0.10251892106590343,-0.2248074026168858,-0.13020514106799475,-0.17740922750483623,-0.2816086816891099,-0.0963350662061595,-0.11053886865152762,-0.11637796981559667,-0.2151170248024048,-0.17624143237284962,-0.1416479645829698,-0.17486116253097173,-0.11690401100552439,-0.21651919473231285,-0.18239278224137667,-0.09536801512466386,4.931339896827061,-0.6855821012611596,0.46220855119565796
OEEF_8,OEEF,-9.819340413680395,-0.22349277026611603,-0.5220873176628427,-0.2924142065843842,-0.4035714858220132,-0.6469152045450848,-0.21452478136443887,-0.2501105926362186,-0.2666552564300364,-0.4895779343367561,-0.4066545653709106,-0.3275309545178189,-0.3886547698654841,-0.2640358436308734,-0.49255916909962316,-0.4100041481876264,-0.21982558858947243,11.22560275284545,-0.5238457198955668,2.4962858692971324
OEEF_9,OEEF,-17.698004239767023,-0.3682374313546575,-1.5181290897803663,-0.5157109428898785,-0.7222100035914565,-1.1780392233856674,-0.37036901828622604,-0.44267624472197653,-0.48176117432046794,-0.8838111379178244,-0.7482778766531162,-0.5947428746045667,-0.6709767415769932,-0.4684665076050045,-0.8843243151658164,-0.7189682268912385,-0.4040062268966338,20.31801694788706,0.5777837517194016,4.49212176291382
OEEF_11,OEEF,-0.969563005841684,-0.0024188607709272336,-0.035516973478552316,-0.012923306618779273,-0.014049748878577462,-0.04422875026418005,-0.0014139670985088282,-0.01483476322201005,-0.02527583061442562,-0.027091152762734994,-0.02501899098662097,-0.01901579610045767,-0.01340353961108065,-0.004819586521468633,-0.02774244484958943,-0.012086334482136807,-0.010138634177128014,1.0658048461086276,0.026004336329959243,-0.05079430274381136
OEEF_12,OEEF,-3.90311206620057,-0.004602656494034019,-0.1486201595969363,-0.051639448897938145,-0.055588240521998955,-0.18606597170419148,-0.0008662140846467103,-0.05761114280812585,-0.10325856648982734,-0.10834233448540553,-0.10367573478702985,-0.07553852372094294,-0.05316373215707859,-0.015904855132039764,-0.11106829839539545,-0.04887263412337983,-0.042095462774641934,4.299066592782464,0.30370449612934536,0.2548537943325
