Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
V30_1,V30,44.497735744623526,45.027894078832105,50.96356073111029,-90.75127464914036,45.3553320173338,47.1156713798919,30.168523871825027,36.29232374274951,38.1803348329409,56.53879970426137,51.25309180548651,91.48230949246523,33.97551457492697,45.67950213629982,-2.093474777317425,49.936731419189066,3.7139719509947966,-69.53389702299299,-1.6596779922231661,2.7500733023727335
V30_2,V30,668.3162506489289,677.87759268496,685.5360782665988,712.0675326256987,712.9328474700847,696.482360074443,726.9228849471519,721.416337232563,723.8625503341061,698.7215927158347,705.0472621708492,714.6607263550306,721.5873446621456,734.8522900949472,28.992053459661975,699.6623327261416,3.3495588307491744,4.777261941506936,27.423279072085393,29.13994047873132
V30_3,V30,669.633144556975,679.0288092420419,687.2130142014616,726.8663053658858,714.5456208158835,690.5548047735174,729.0122167075602,721.8721375365483,724.8274017089418,698.6039947659787,706.3288889473295,711.5477860644703,723.4649833799411,735.7468341530405,28.617669795997244,700.3670918544833,3.1456072726800812,0.5987144756015823,24.18620403505156,25.94821864037533
V30_4,V30,1349.4609814113094,1346.7191095073783,1351.1076941854285,1381.97264608752,1355.482070210803,1387.049830604842,1363.102987013885,1368.7911372287842,1363.1036041662956,1372.3008496904338,1359.2984883454997,1350.286193596078,1373.648209999591,1354.9327083433116,13.370431550183184,1370.4120742254129,-1.0089295848792972,13.245974905661114,16.922402409799815,18.231518952236
V30_5,V30,2388.371581471836,2368.005631234924,2364.878757666442,2398.125014923269,2353.587473096057,2402.440779237637,2345.714066821669,2358.2986855278086,2341.2937390982497,2400.591915776536,2382.3365307206154,2358.926064946637,2384.8201162730606,2364.25260204035,-25.99737379726139,2383.2678697426563,-6.783775178902033,-21.652151387051163,-17.497142939962032,-14.991956790780023
V30_6,V30,262.504177022033,316.58180937161256,243.13570417467585,264.5141613605974,274.87922775207375,-90.6743236554136,312.1355386887717,260.1261920805075,267.2969759731544,216.29187329461317,279.18256330119766,342.52805114315555,320.0686484664554,369.991096466486,5.1002627688214375,241.60919838133037,0.891766913077845,-69.67493683235452,-45.57201613154132,-61.798527664350445
V30_7,V30,272.105968473021,272.4759088008836,275.02872194996684,280.2114441948477,271.5691916511529,286.73730655077736,255.66292271721767,260.4420317499012,253.8880620560016,276.96505686922666,264.98002271782644,271.2661355329932,273.68016368634704,258.54102548029573,4.11596358818025,272.3250132268641,2.1729341353445193,-20.1762741526004,9.502644285710687,-8.24216603855956
V30_8,V30,966.576848874574,951.1728328209688,911.535940449031,957.247401764992,926.6983350200524,893.0381536228678,925.5442261019168,934.6931243709575,954.9685863007924,909.0069082368776,944.4500877239504,952.6411734798296,983.889146740712,993.245642907116,-49.645009348717394,926.432139504079,-14.4385407480288,-84.86186836594868,-55.28765148070079,-104.194371347696
V30_9,V30,1150.987849369158,1166.8482261090749,1150.5636279565322,1163.9910178589096,1161.1265977128096,1088.0913040130251,1175.0630402052805,1152.812113482608,1163.0369950018164,1120.9190148004104,1146.3756184231866,1171.2787191982443,1175.6928742493806,1181.969908947739,-4.934977079380587,1149.5984621007074,3.450416098811047,2.0484689046472795,-19.13270684676945,-22.25360441345174
V30_10,V30,1673.343064850044,1681.268540078409,1664.9043858580785,1676.4201762318348,1668.0126168414652,1632.1371815178638,1680.8282893786363,1660.4539990469864,1664.4599331878362,1631.2301704386773,1663.570545196078,1679.5070953020784,1695.2939651037857,1699.217765430271,-12.443541154598506,1667.1252503092549,1.334930190521618,-39.859840182480184,-17.757852846253172,-23.746049056517222
V30_11,V30,1673.343064850044,1681.268540078409,1665.1266940089038,1676.6409574887325,1668.0126168414652,1609.30894565341,1681.4885596663682,1661.3450554580193,1665.3488461974976,1630.7764112429224,1663.348155502528,1679.2868161037022,1695.2939651037857,1699.6531290871235,-12.66628853821635,1666.9032086978352,1.3326697010556927,-38.58791186848407,-17.75307251343861,-23.710816376200682
