Reaction,Dataset,Reference,wB97M-V,revDSD-PBEP86-D4,MACE-MP-0b3
V30_1,V30,44.497735744623526,42.4042609673061,48.21170769561832,-12.723814583024819
V30_2,V30,668.3162506489289,697.3083041085908,671.665809479678,543.4545510905876
V30_3,V30,669.633144556975,698.2508143529723,672.7787518296551,545.4436340274328
V30_4,V30,1349.4609814113094,1362.8314129614926,1348.45205182643,1326.9458118652865
V30_5,V30,2388.371581471836,2362.374207674575,2381.587806292934,2368.24371970003
V30_6,V30,262.504177022033,267.6044397908544,263.39594393511084,-310.68895168114193
V30_7,V30,272.105968473021,276.22193206120124,274.2789026083655,251.92559021509163
V30_8,V30,966.576848874574,916.9318395258566,952.1383081265452,345.87931307826796
V30_9,V30,1150.987849369158,1146.0528722897775,1154.4382654679691,1021.3932989380054
V30_10,V30,1673.343064850044,1660.8995236954454,1674.6779950405655,1534.9481054409641
V30_11,V30,1673.343064850044,1660.6767763118276,1674.6757345510996,1534.9481627163525
V30_12,V30,3434.012572364415,3430.724967518853,3424.2038315235804,3295.6482704735436
V30_13,V30,3484.1977031174038,3492.078629643268,3491.720453045188,3464.249889005491
V30_14,V30,3609.734168347805,3603.250639553668,3617.9695393400334,3609.570968026896
V30_15,V30,59.564187353552335,28.53014257316709,33.691566021330175,-316.457834313061
V30_16,V30,82.38170978060852,25.806544213878176,21.531179689432907,-462.1768709781556
V30_17,V30,1649.8225890038132,1635.759810854041,1647.4799710885688,1524.4449769063415
V30_18,V30,3831.565385815782,3845.060264569502,3838.669709228169,3857.832854003704
V30_19,V30,3940.418071958252,3939.544812497754,3949.1998417146247,4015.8858605253913
V30_20,V30,28.72721139979999,101.4904080362466,48.92325837691312,-141.40464187885556
V30_21,V30,46.65013657595984,60.33760543631018,50.24256345241129,-43.24703699990095
V30_22,V30,107.63500095134688,136.31344614166653,114.8417163982466,38.19030055270104
V30_23,V30,666.126544855997,695.4191826244542,670.4988145382695,549.9966948676092
V30_24,V30,668.1587626637225,696.7185206588258,672.0353955555433,543.1149646017889
V30_25,V30,669.1350821502862,698.1331371022434,672.482411388811,546.8404546720992
V30_26,V30,672.2249481214277,700.8365820062795,675.3067555927136,549.9196761200468
V30_27,V30,1349.0140097169042,1362.56040217924,1348.3859212956647,1333.6828413472986
V30_28,V30,2385.552107815761,2359.082794582436,2396.360761204832,2394.81432417195
V30_29,V30,2390.9726499424423,2365.8171470014795,2401.342597071173,2394.5259553758083
V30_30,V30,43.999393283664425,129.14641360367622,52.35504459846525,-223.88498673959947
V30_31,V30,44.05787967455632,129.57542873951704,52.30130965320343,-223.92651029006606
V30_32,V30,63.71011232873809,48.35583842249886,66.53280280838885,-46.46057441824452
V30_33,V30,66.86430428404442,136.6085737696856,77.31479979596497,-234.70561573762728
V30_34,V30,66.89799377010868,136.6085737696856,77.43912108498324,-234.70603130920037
V30_35,V30,1339.1926184539725,1325.9545271171162,1345.6060512740328,1177.9427643691197
V30_36,V30,1343.5891863008817,1332.0790120158565,1349.4006835876785,1186.2694975283189
V30_37,V30,1346.4499734857775,1335.130758593796,1352.0056194665417,1183.0471341955042
V30_38,V30,1348.7232615213334,1336.2387709114432,1354.149327297105,1201.9525022947746
V30_39,V30,1565.164808195393,1548.3813113982324,1569.6661930416226,1321.182370653783
V30_40,V30,1572.626258780742,1555.533218046286,1577.2517375256325,1328.223653192473
V30_41,V30,3031.633484171184,3032.7804654027536,3042.349234262479,3009.705178168623
V30_42,V30,3152.450414704348,3139.125005132031,3161.0320724504554,3146.7941150275074
V30_43,V30,3153.987500062697,3140.538983718396,3162.6702703496094,3179.4526287186677
V30_44,V30,222.75444955626224,232.94643487637504,224.97282141420123,-104.22727750919167
V30_45,V30,244.45895586316487,200.3060859548391,225.29956562756087,-503.6648222423376
V30_46,V30,264.3403545694487,275.6259726958392,264.8899683226207,-308.8159097839456
V30_47,V30,707.5372247510969,648.2418810419078,688.0338511443134,-370.18885092475705
V30_48,V30,830.4245126164377,782.0098798316046,816.8127880529843,323.65571346634675
V30_49,V30,1651.3132162966124,1637.3427768567094,1648.9971011037053,1480.4794408901937
V30_50,V30,3779.914050677802,3771.9086806787896,3772.0655777730703,3700.7426170096523
V30_51,V30,3829.6143441995514,3841.016793831127,3834.584673012026,3847.0887495436696
V30_52,V30,3931.770321219704,3930.8950931069458,3939.656491233653,3970.9412588689866
V30_53,V30,161.9103602516118,182.25302212278865,165.54710829774422,-220.54917410620794
V30_54,V30,172.85977450574438,198.24316916515735,178.10979631911252,-230.2725095029502
V30_55,V30,197.71174442419172,207.36485630616744,199.3824540770632,159.06818090213855
V30_56,V30,444.8366331845265,440.96053737422295,442.6753960064691,-123.71657893072755
V30_57,V30,690.7756247528603,676.2381183808359,684.6382876894788,421.77089958034134
V30_58,V30,1110.0266156954751,1106.635051690974,1114.0921905636783,1027.1889113670932
V30_59,V30,1665.3021062147195,1652.1891048080963,1665.3887521488082,1579.0726390961363
V30_60,V30,1674.3929776156397,1662.680681460002,1676.0119052004998,1616.4011438284133
V30_61,V30,1691.553564926964,1674.4328397339696,1688.8018679886202,1522.412670943964
V30_62,V30,3477.1609097696864,3486.7771519334724,3485.5312106843617,3459.6661151021394
V30_63,V30,3604.2259472616074,3598.112966970049,3612.78620302146,3594.900421032758
V30_64,V30,3608.083610396734,3601.8128346085764,3616.658308577612,3598.3836616981084
V30_65,V30,3640.2717080917423,3636.773791897281,3634.267203060488,3603.2049088095428
V30_66,V30,3905.532199013372,3910.417333960521,3913.4476426756382,3924.5963320306205
