Reaction,Dataset,Reference,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
V30_1,V30,44.497735744623526,42.4042609673061,32.332868028936765,36.87906637472218
V30_2,V30,668.3162506489289,697.3083041085908,695.9985860089195,685.1862982242604
V30_3,V30,669.633144556975,698.2508143529723,699.6410683824897,689.0097621810537
V30_4,V30,1349.4609814113094,1362.8314129614926,1365.177366134461,1362.8448833866664
V30_5,V30,2388.371581471836,2362.374207674575,2364.7908405145176,2375.7314330613935
V30_6,V30,262.504177022033,267.6044397908544,212.92022742756248,156.22519950803922
V30_7,V30,272.105968473021,276.22193206120124,265.74824057038865,275.08109967273356
V30_8,V30,966.576848874574,916.9318395258566,865.0399314556602,821.1002160757697
V30_9,V30,1150.987849369158,1146.0528722897775,1134.7403735813893,1141.3443272083664
V30_10,V30,1673.343064850044,1660.8995236954454,1649.683372021862,1659.039735566606
V30_11,V30,1673.343064850044,1660.6767763118276,1649.683372021862,1659.039735566606
V30_12,V30,3434.012572364415,3430.724967518853,3447.580725206088,3445.2240621898572
V30_13,V30,3484.1977031174038,3492.078629643268,3490.390610810009,3514.5559084654856
V30_14,V30,3609.734168347805,3603.250639553668,3596.188213664285,3622.2716471747676
V30_15,V30,59.564187353552335,28.53014257316709,-136.82435609469002,-167.41598922646298
V30_16,V30,82.38170978060852,25.806544213878176,-214.80986991848076,-257.0921537503822
V30_17,V30,1649.8225890038132,1635.759810854041,1617.8484664407115,1607.6498498574665
V30_18,V30,3831.565385815782,3845.060264569502,3849.778283747456,3834.053446488669
V30_19,V30,3940.418071958252,3939.544812497754,3946.291592902077,3925.3349519131834
V30_20,V30,28.72721139979999,101.4904080362466,92.6463763257444,91.18704637548767
V30_21,V30,46.65013657595984,60.33760543631018,58.24905125826487,56.74099619071727
V30_22,V30,107.63500095134688,136.31344614166653,130.89454938640066,127.0161744184307
V30_23,V30,666.126544855997,695.4191826244542,693.4836380834648,690.4970848735848
V30_24,V30,668.1587626637225,696.7185206588258,694.8360270545886,690.829871101129
V30_25,V30,669.1350821502862,698.1331371022434,695.9466245237452,694.5902261053495
V30_26,V30,672.2249481214277,700.8365820062795,698.7071359229698,695.5920299105885
V30_27,V30,1349.0140097169042,1362.56040217924,1366.519129960814,1349.1528670784453
V30_28,V30,2385.552107815761,2359.082794582436,2367.4307547179037,2346.5345797126524
V30_29,V30,2390.9726499424423,2365.8171470014795,2375.0130141795403,2352.2286619560823
V30_30,V30,43.999393283664425,129.14641360367622,79.15820342158518,74.68178678297106
V30_31,V30,44.05787967455632,129.57542873951704,79.16670128967866,74.69167143115943
V30_32,V30,63.71011232873809,48.35583842249886,62.60569330252232,60.15379203892586
V30_33,V30,66.86430428404442,136.6085737696856,88.79522037160133,85.97356358971145
V30_34,V30,66.89799377010868,136.6085737696856,88.79524822451698,85.97363550731703
V30_35,V30,1339.1926184539725,1325.9545271171162,1319.965322912939,1320.723949464787
V30_36,V30,1343.5891863008817,1332.0790120158565,1324.4406338276583,1325.277786408244
V30_37,V30,1346.4499734857775,1335.130758593796,1327.6540085249223,1328.3327468406262
V30_38,V30,1348.7232615213334,1336.2387709114432,1330.7205195709662,1330.922899912281
V30_39,V30,1565.164808195393,1548.3813113982324,1542.0318869323273,1543.3552268940293
V30_40,V30,1572.626258780742,1555.533218046286,1550.4084000975467,1551.2664581727781
V30_41,V30,3031.633484171184,3032.7804654027536,3048.635059510597,3050.0714859900872
V30_42,V30,3152.450414704348,3139.125005132031,3155.8879410909994,3156.244456156259
V30_43,V30,3153.987500062697,3140.538983718396,3157.1739721807926,3159.122920527685
V30_44,V30,222.75444955626224,232.94643487637504,189.83031425551783,197.95877589363215
V30_45,V30,244.45895586316487,200.3060859548391,-101.97714107118674,-143.34171498180285
V30_46,V30,264.3403545694487,275.6259726958392,202.32120607877238,213.74399014836385
V30_47,V30,707.5372247510969,648.2418810419078,586.9044500465571,516.0885357388973
V30_48,V30,830.4245126164377,782.0098798316046,725.3578425449349,684.3045623858535
V30_49,V30,1651.3132162966124,1637.3427768567094,1617.4099756418593,1621.954848628946
V30_50,V30,3779.914050677802,3771.9086806787896,3801.3337622233735,3758.937726383778
V30_51,V30,3829.6143441995514,3841.016793831127,3844.5232319484526,3867.062815793618
V30_52,V30,3931.770321219704,3930.8950931069458,3931.647197807308,3957.2261218417407
V30_53,V30,161.9103602516118,182.25302212278865,111.87169033871076,111.10871250651267
V30_54,V30,172.85977450574438,198.24316916515735,122.81448377694825,122.63479080333397
V30_55,V30,197.71174442419172,207.36485630616744,195.18007528506985,194.61679280211348
V30_56,V30,444.8366331845265,440.96053737422295,395.42360996554464,394.9006597705422
V30_57,V30,690.7756247528603,676.2381183808359,641.4182988324105,645.1700690809604
V30_58,V30,1110.0266156954751,1106.635051690974,1094.7682133360022,1095.428466207696
V30_59,V30,1665.3021062147195,1652.1891048080963,1639.9531248542803,1645.9679922469286
V30_60,V30,1674.3929776156397,1662.680681460002,1652.7649490085478,1660.287914538884
V30_61,V30,1691.553564926964,1674.4328397339696,1660.2203586766163,1663.7051723363288
V30_62,V30,3477.1609097696864,3486.7771519334724,3478.9532087269918,3499.3132128123293
V30_63,V30,3604.2259472616074,3598.112966970049,3590.984557433381,3605.7551531031236
V30_64,V30,3608.083610396734,3601.8128346085764,3589.427319129415,3611.880536547844
V30_65,V30,3640.2717080917423,3636.773791897281,3646.2745415191143,3660.7421384133936
V30_66,V30,3905.532199013372,3910.417333960521,3917.528749427514,3925.5594052449346
V30_67,V30,61.49690359806732,83.84308548385492,31.28255451692509,30.01853873554456
V30_68,V30,69.95331188168124,43.182286495119,-189.55614116898934,-190.9570517676777
V30_69,V30,80.0257791251948,116.43087915525392,-96.71381420446278,-100.38711659578149
V30_70,V30,163.53051851848733,172.28115797742169,159.45442478718573,160.4940258512034
V30_71,V30,181.37532232288785,172.04240566263192,-85.66278436319642,-89.09454327210005
V30_72,V30,233.66343461448312,261.2301391735649,178.37944481574084,181.65838840424522
V30_73,V30,658.4770268180451,650.457678790139,615.745353930613,615.2918460490913
V30_74,V30,1080.3281070481637,1080.5851334027586,1079.7032385130074,1078.823963786996
V30_75,V30,1117.27575393508,1113.9660830619898,1104.878393075656,1106.145520008163
V30_76,V30,1181.0523504195976,1176.322013490098,1169.2378466767702,1170.5272141162513
V30_77,V30,1436.4635995298015,1422.344106370302,1407.4610591605851,1409.8663830156268
V30_78,V30,1482.8240482053548,1475.708312266044,1469.5987079617637,1469.9596483881978
V30_79,V30,1509.449940463873,1494.888741884285,1489.0534842327108,1489.954595577272
V30_80,V30,1522.7425857849394,1508.19445341877,1502.0959151732975,1502.5906080127445
V30_81,V30,1651.3490644369813,1638.0204474355512,1621.0964468922512,1624.2275410158018
V30_82,V30,3002.669145229543,2996.329105647841,3012.6084094027933,3010.495277328219
V30_83,V30,3057.106167025521,3041.3080970372894,3059.7927784495487,3055.8479527214818
V30_84,V30,3119.2495316251398,3105.471902740438,3123.273615140889,3124.216661304392
V30_85,V30,3769.7108560894326,3764.54485072772,3777.875466818681,3780.7314339317168
V30_86,V30,3826.560224389631,3839.668024009354,3849.03935614884,3853.7054358783994
V30_87,V30,3932.2502053104577,3931.648007350052,3940.574617303352,3943.3411619771514
V30_88,V30,61.16081863842,67.07443326972012,55.64419154981564,59.682746577651514
V30_89,V30,84.38081688776946,207.27355548034487,200.2148539777542,195.32378652963868
V30_90,V30,667.4071074801614,697.0724103821854,695.2332622871435,689.5974729665738
V30_91,V30,670.8451245968457,699.4273665761588,697.6112933523552,691.2175613959521
V30_92,V30,1349.968101273202,1363.3745069707486,1366.6193924397637,1352.321055081145
V30_93,V30,2356.498438601334,2388.850215619062,2395.5784141652507,2368.456198881119
V30_94,V30,2389.5857657603574,2363.939639964172,2371.320556981837,2353.4386529864914
V30_95,V30,103.91645237997348,162.7091359039679,121.88259849781875,129.2363277993407
V30_96,V30,113.00613918734678,111.42242818842968,121.3744720616657,126.83582604962582
V30_97,V30,230.24663896548356,-71.39715166916281,-267.34572128722,-229.49640882015967
V30_98,V30,1349.249853725673,1337.622377710345,1328.817400842405,1331.7337851450618
V30_99,V30,1352.6950579061445,1340.1094427206874,1326.694206167045,1327.8011646805624
V30_100,V30,1577.9694355276406,1561.4680612548386,1551.996721344774,1550.1780365981563
V30_101,V30,1577.9694355276406,1561.7049589308665,1551.99759780475,1550.1789140864034
V30_102,V30,3021.9401726353803,3022.882714058185,3034.3464058050413,3032.5447281838624
V30_103,V30,3141.151546840545,3127.434885530294,3139.6762015231348,3137.4805520338414
V30_104,V30,3157.867947134628,3145.130157613823,3153.84461775823,3167.195073769464
V30_105,V30,4096.306662611444,4098.166817086799,4127.32554418895,4118.266250802399
V30_106,V30,49.68950138104414,181.8692033304017,167.72037237717382,166.64551263873477
V30_107,V30,105.153638716392,106.13154397448588,107.00908636315663,124.90302108422438
V30_108,V30,306.8597952569722,192.34916592223027,75.35533428220752,-86.77766523952329
V30_109,V30,2150.5691267385328,2162.7100898544068,2184.9259168341305,2155.0837304611928
V30_110,V30,4110.921612024065,4114.205264392761,4147.359217573538,4033.504157437027
V30_111,V30,2354.307199161796,2386.370648085924,2387.444122387492,2428.445642694474
V30_112,V30,86.965245598784,151.01557303836256,-137.75861228046827,-173.6146931855133
V30_113,V30,114.59307278320264,112.52348604313896,115.49121486966345,110.94040337779805
V30_114,V30,151.89472393891697,109.56217654124384,-176.59862637029696,-183.45659943265903
V30_115,V30,174.24144391876536,186.268880591962,110.35428028888724,95.34420064278332
V30_116,V30,660.5483387125007,686.6743873555135,684.2619537842463,677.6459523086602
V30_117,V30,674.0540170476388,701.7744868450817,696.2097876788916,689.6829048597781
V30_118,V30,1350.4202366980685,1363.103295590125,1365.8690551725683,1345.6058158103097
V30_119,V30,1646.6440658385716,1634.628770477431,1617.7642328363845,1606.8504530717032
V30_120,V30,2390.2034620095897,2364.5657005798885,2372.724494790497,2341.309969459781
V30_121,V30,3831.092204622318,3845.9262280901057,3857.585634745811,3845.902747883206
V30_122,V30,3941.5352539259065,3941.6103569021257,3953.9106885865544,3942.655463234716
V30_123,V30,59.68432060007306,188.3451417914901,174.72181796875083,174.40041373345437
V30_124,V30,73.61699615802586,73.44619127972254,76.89481583993644,74.42394296994736
V30_125,V30,101.15569240542531,205.9724103479456,191.54809590427055,194.54088250774134
