Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
BH28_BHDIV_1,BH28,56.95506721802172,57.98350780627861,62.25310912519657,59.66948507546321,60.76208298535855,57.58449875359893,60.27681767266084,58.27992746859316,58.60179483637285,55.307907622177545,59.69747206076438,58.1293563820401,60.05193333736206,61.46902631095752,56.86413080407168,57.11421027225027,58.05775279076267,59.335344709532514,57.014707573118365,58.404543829479984
BH28_BHDIV_2,BH28,50.09560239717492,50.92630834957576,48.098203345691225,51.61811758992734,51.99157953966864,49.27810564470229,47.55127625375041,49.93677774124704,49.02772277570914,50.348344388031,44.06871319319841,48.70950475203893,51.40239188091308,46.39990975981174,50.716834266458974,52.64326500846944,49.119833017656255,50.771234094139714,50.30182625880029,50.68204422604271
BH28_BHDIV_3,BH28,65.55927318575337,65.52706450497077,64.78146910582869,65.31129060324274,67.35250989631704,65.56601765756434,65.72429656850271,64.99350675339461,65.42763851533819,63.29566346830638,61.31094387325509,61.5337928188293,65.38373851728078,63.95464298174449,63.82705380218044,66.13131979568483,66.06178492556535,68.38178406776447,65.77021468349609,64.35556569087747
BH28_BHPERI_4,BH28,35.014340274654955,36.72638723667293,33.08599023218187,40.4925217658105,36.689480517971575,36.28402223665696,35.05572326944744,36.65898431053062,36.30328106716831,36.52304674491065,36.83973910479408,35.6278469375567,39.01811904221069,37.36626046713759,36.69054973135369,39.40887960835991,40.663668832162806,43.239003681145014,37.783153567933276,36.52250282875392
BH28_BHPERI_5,BH28,30.99904394721036,30.46753018223464,31.232419615182494,31.866169984708883,32.54068029488329,30.81388409919536,29.77140800653124,30.54155998493082,30.025615357505792,30.642715014152994,28.43776833363946,30.149152896653423,31.95056768718898,29.4541882876734,30.47714864744629,31.309559103840392,32.78078851955002,34.177541235776694,30.6940184459965,30.528116922743184
BH28_BHPERI_6,BH28,39.86615693177946,39.65884712884798,38.87997985959159,40.54873707654756,40.678431989646256,39.37907466536819,39.24357861541057,39.289646972460005,39.23340129025743,38.52318154945915,35.82045990384913,38.28594274490414,40.632738506794325,37.03767027664991,39.48993939968487,40.40310668582707,39.60976326560543,47.65293873785459,39.19982949170066,38.505488335345
BH28_BHPERI_7,BH28,28.48948358568012,26.981842940251987,27.182530321961355,27.622107862147168,27.74358353067937,26.08098801752252,25.95975456763613,25.37518644541132,25.443277561178306,25.204830236148712,24.398914045506856,25.28314705806556,26.41072767988633,24.836528673312763,26.576102969945712,27.26063554768833,27.955733205639937,32.35880133249065,26.834425632928106,26.77638564768043
BH28_BHPERI_8,BH28,37.11759076176924,37.65709636190194,35.78460482827207,39.055328283233344,40.34921058737654,38.08626082161796,34.253274445183735,35.9526454020714,35.34453463038974,36.9744771860588,35.336318962593,35.52387219451249,39.96600680403517,35.212266175414825,38.33297934906968,40.730984276572855,36.02840333195978,46.58286644182508,40.20037141741692,38.684513270005176
BH28_BHPERI_9,BH28,22.44263851366524,22.0161410319494,26.42092339105632,25.416355898747,27.110671451047367,22.210547232081577,19.32263593174757,20.775509495562765,19.710226257304825,22.05606098842397,19.87080925751335,22.844102446156537,25.53794269917501,19.350579179642587,22.574181442194345,23.55152449873388,24.86624034205793,28.091387760045208,22.681095523417245,22.55086431267461
BH28_CADBH_10,BH28,27.5573615601177,27.468751135547144,28.90950404010868,29.523241249979392,29.614124451120503,28.529793539267697,28.2838597751779,29.98037518748193,30.76947569297573,28.507737585286183,26.41416235299923,28.86618687284549,31.317709196895017,26.9848482714074,27.89880283090504,28.94521999684054,27.712710101567843,30.463473894021245,28.918531745838695,28.046633872024156
BH28_CADBH_11,BH28,20.100382218070973,19.91123875166059,22.499721983771423,23.230745608908844,23.0069126030097,21.382184525564902,20.641153065558303,22.284854017453547,23.02611112987232,21.57405445788893,19.113626644917723,21.903886175903548,23.863653044968128,19.513603630962084,20.83236794076061,21.56676618634372,19.7029928802818,21.150199384058226,21.7364505069798,20.763691475829706
BH28_CADBH_12,BH28,13.8862330801201,14.366494632293952,18.26073396554744,19.18826695157934,18.57339263177574,15.969802360094786,14.636201969292644,16.08827690180658,16.563143629539105,16.763107869328696,14.324817084547467,17.003005682506096,17.826797798284094,14.395742597888376,15.532499165234295,15.95588238018461,19.578669170911382,15.72402829282309,14.745496928630594,14.89891388132545
BH28_CADBH_13,BH28,11.63957910791783,12.60842185838544,15.4917861623122,17.598344753873334,16.822629025458475,14.60527045857266,14.78378836979048,16.181878599504355,16.723261958982654,15.413073068153103,12.90753761514317,14.968793097462724,16.545752267207646,12.811237563963465,14.350360485203048,15.126192553872878,23.376470371390543,16.645005130785016,15.05944154746447,14.214305651762071
BH28_CADBH_14,BH28,6.668260174062819,6.3962697065884,10.35755503859257,11.380268661624314,10.362239083062455,7.613779526903769,7.101527604481968,8.300277527064397,8.758146340891438,8.281192767675496,7.01972082586187,9.064863747418212,10.231932473691217,6.800760995792592,7.666197715052473,8.259236022928858,12.593227570523966,9.16361118850235,8.128364422963326,7.565476838426579
BH28_CADBH_15,BH28,4.947418980516489,4.960456807604535,9.69239763162518,10.590650209823504,9.569855134226998,6.227924853445567,5.027498602038047,6.215789510475682,6.716578717324961,6.910139097412771,5.725198462082427,7.867432849783597,9.155141401944784,5.511135339440211,6.534567523606747,7.076312516783627,5.378836140259453,7.229291016301921,6.6117992599085,6.362174913440899
BH28_CADBH_16,BH28,13.264818605581643,12.512989213542124,16.60047686643517,15.924074050451903,15.953359415591784,13.0513122720885,11.755668925363183,12.966666954365056,13.577983358198232,12.6713712870421,12.047980408665287,14.4959419929192,15.99946987852038,11.45702850704352,13.051730632666064,13.350926710643115,11.418019220581105,17.188512009985228,13.547453506564624,12.675901292486381
BH28_CADBH_17,BH28,6.21414913795087,5.178037120856741,10.537374278969503,9.291217772649606,9.610236435660475,6.04009244258143,4.061879305007096,5.442005130703765,5.593934524285359,5.945306195235063,5.306854775749582,7.843358762566058,9.012963882115676,4.498023615359721,6.04798437820592,6.271531804547661,4.987112821460633,9.847456591547825,6.209076547832311,6.015859398623827
BH28_CADBH_18,BH28,0.7170174254399184,-0.3643165011590565,4.8642626800506505,3.778850318367715,3.86591242606773,-0.0323920390469552,-1.42745158624286,-0.325589628462636,-0.1500147366496837,0.3152734982068108,0.3983932776386847,2.3557224606539053,3.1041270942278647,-0.5060225103548653,0.1653372629932537,0.5431493593934733,-0.4258490253490634,3.606734440349405,1.0624075766836485,-0.4587815281685422
BH28_CRBH_19,BH28,46.15200781227431,45.64239544570966,39.27329740135664,46.886226966659855,46.16644912708638,44.95806059620864,51.61354492837936,49.92452524227206,49.183242213739966,49.10281313216266,48.05778050313828,44.32025318967722,47.738936287780085,48.26910021711682,46.343961140616535,49.60429674102886,46.80301832502158,43.2327194310728,46.07173398907873,46.148050358431014
BH28_CRBH_20,BH28,49.88049716954295,49.55775041001696,43.09747875313649,49.47150400185056,50.58551121725787,49.228639072875744,54.687398267276514,53.22681474555923,52.654596637309794,52.638936322607336,52.5415701328344,47.83621713623965,51.59502461375892,52.46314588130453,50.2376782605027,53.80404138345779,50.54144600600003,46.52474954971916,48.51602092944012,50.395142192778756
BH28_CRBH_21,BH28,42.94933060615216,42.023416720053255,36.86954900510102,43.54819345695721,43.33697163445579,41.751449533198176,46.50590589912812,46.48773441705206,45.89269046339594,45.12928515307973,45.75269416649187,41.31342627120679,44.76492949532625,45.13044014699509,43.13554630161521,46.401162143223374,43.69765420880637,41.96614131750632,41.91881853574409,43.503582767856685
BH28_CRBH_22,BH28,44.88527702733047,46.34961418523625,39.72993284535416,46.96540059005449,47.30038416078249,45.015126307783966,50.87325581205059,48.67219454480377,49.18569998012983,47.363898850037984,48.80820182664179,44.13040979917005,49.36465413589877,48.52526182090001,47.43116447710047,52.158425335384,47.77818370464063,45.028516783005905,48.989713387165786,47.44466884725921
BH28_CRBH_23,BH28,50.88432093764936,51.3409124559672,45.03747091615635,50.070514631157806,52.5607856024609,50.75968688840781,54.49098598212688,52.28728697873586,52.92694045534892,52.006311391316586,54.752927324644,49.032091684924055,53.88598351584363,54.015087817096855,51.74303646565741,56.49795882014573,52.28158620955046,48.71292238733724,50.90309961373938,52.15074657132171
