Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
AE11_1,AE11,-425190.8871266355,-425134.6900309351,-425197.1013944983,-425060.82895079337,-425202.4269086448,-425230.29397487023,-425181.93933701696,-425187.0605058408,-425185.1517533583,-425257.2299949352,-425069.7566173127,-425473.8498002671,-425193.2532944934,-425152.9137847633,-425164.2323875041,-425121.9539341165,-425101.9688539638,-425162.5238997832,-425164.5542079234,-425162.53831564484
AE11_2,AE11,-1116632.606472724,-1116567.318987634,-1116654.301147806,-1116096.8818064237,-1116689.1820319386,-1116754.601976372,-1116574.8445191858,-1116610.3875924172,-1116600.434770761,-1116961.2105155722,-1116458.4257102432,-1117185.535485326,-1116620.6413665505,-1116576.7878982057,-1116553.4070830783,-1116506.1477251735,-1116468.3535772471,-1116525.2943630782,-1116523.3540949407,-1116520.442682167
AE11_3,AE11,-1728100.7144821745,-1728023.7813549172,-1728067.3416739907,-1727178.4086014964,-1728134.0494815945,-1728176.5556913656,-1728035.9909910534,-1728094.9037631445,-1728108.138917871,-1728462.2568676092,-1727854.4627335067,-1728789.140917155,-1728048.0229112983,-1728039.3741163271,-1727951.8351884594,-1727894.2055689509,-1727861.5065599207,-1727922.6779111212,-1727916.9529795402,-1727917.312681075
AE11_4,AE11,-1966290.4989744185,-1966027.206899068,-1966246.2081661068,-1965229.200725343,-1966318.59723396,-1966349.601374664,-1966222.702083648,-1966299.5647791792,-1966313.081127992,-1966675.1885290444,-1966020.962141712,-1967029.799654417,-1966221.765108025,-1966213.6948188697,-1966121.3817306503,-1966052.554993984,-1966033.013510496,-19225.883702630803,-19232.099897065877,-19229.873987785013
AE11_5,AE11,-3100187.2201435994,-3099883.267313892,-3100095.2179461634,-3098455.2158888383,-3100199.4565710644,-3100227.0428737374,-3100104.1540446533,-3100249.481784971,-3100278.368996925,-3100748.0996398674,-3099847.4700946794,-3101154.976540128,-3100036.070243562,-3100074.525230456,-3099933.517556899,-3099856.761771287,-3099827.0475561065,-80202.79872513936,-80188.94825283253,-80186.2941694368
AE11_6,AE11,-3431084.901673144,-3430771.22947758,-3430974.259435484,-3429160.717632104,-3431086.7193716792,-3431119.4715905003,-3430997.29552188,-3431158.2668894627,-3431177.6739609987,-3431687.9984057355,-3430717.838707912,-3432104.9109213143,-3430914.3372458164,-3430960.203549318,-3430795.1578805665,-3430718.3859126144,-3430693.280624764,-105242.74847564386,-105241.98615404357,-105239.53119128659
AE11_7,AE11,-4540116.408075404,-4539797.133551436,-4539946.282652827,-4537533.7078081565,-4540101.005380526,-4540174.405964849,-4540026.19398504,-4540210.75685004,-4540256.825428962,-4540859.629474568,-4539673.842416176,-4541296.639562566,-4539860.6715064775,-4539946.504233198,-4539737.962121948,-4539668.725429891,-4539640.610981973,-206694.7905532337,-206673.14524625483,-206673.34885939697
AE11_8,AE11,-4948957.679555076,-4948450.172283625,-4948778.032532905,-4946152.551591589,-4948940.1420415295,-4949038.386692357,-4948873.574918851,-4949077.100344304,-4949123.477315079,-4949784.144664284,-4948493.492004084,-4950199.360629874,-4948675.4485904975,-4948758.617372961,-4948549.307587515,-4948478.8076206185,-4948459.405823927,-15944.37685340226,-15951.666040286773,-15950.39136080211
AE11_9,AE11,-8406207.024868235,-8405527.121798119,-8406042.747265996,-8401229.4437573,-8406273.95012952,-8406291.106807943,-8406163.595570505,-8406539.844747515,-8406564.073767513,-8407563.161244022,-8405701.750076761,-8408022.501905687,-8405766.173466623,-8405922.006119652,-8405668.779655827,-8405665.276031854,-8405435.937216222,-727024.3790178751,-727016.8965537118,-727024.5388617401
AE11_10,AE11,-11555060.522016732,-11554145.406190185,-11554673.810169188,-11548194.345821856,-11554960.003202043,-11554711.788985455,-11555078.309558166,-11555558.007585188,-11555632.75958188,-11556245.334498068,-11554340.150305852,-11557108.56129876,-11554423.181315536,-11554638.112952774,-11554248.91823542,-11554233.686224502,-11554018.763443427,-96277.79000627212,-96274.64936887987,-96273.05752173797
AE11_11,AE11,-13725071.127116976,-13724061.194957858,-13724558.909823546,-13716975.779040022,-13724894.168144654,-13724501.190783748,-13725092.167452917,-13725623.023049816,-13725726.642349783,-13726178.006881343,-13724224.119710036,-13727263.404950358,-13724292.540751224,-13724544.25441709,-13724117.639694711,-13724101.928915652,-13723829.410048047,,,
AE18_1,AE18,-313.75473703,-313.46317102797275,-315.28439284130326,-313.0735527800649,-313.1833789234564,-311.08996157255154,-313.5895450354518,-312.99342113799736,-315.68386568624453,-313.43502936159337,-314.5650869515623,-314.7593663947692,-316.7612946841336,-313.8106463043613,-310.40030694873184,-314.2493463980507,-313.1612656433303,-234.36802674174783,-312.87627485576394,-311.066196299616
AE18_2,AE18,-1822.111810017503,-1823.407217357902,-1829.2938787139835,-1824.3738046510668,-1820.6441693359968,-1822.850589471504,-1825.114590127354,-1822.8251330436656,-1828.3157895486647,-1833.1318838484567,-1816.719721320169,-1830.6830470767245,-1824.5451575963823,-1821.935308356953,-1819.0062447343148,-1821.955492387439,-1819.691107365093,-1829.2957564406017,-1817.613582073099,-1817.8388146768118
AE18_3,AE18,-4692.553497589124,-4689.099233762578,-4701.861337397481,-4694.967804271526,-4688.388520987574,-4687.861025667766,-4695.920005345239,-4695.134916068559,-4704.890774674548,-4701.074446729354,-4685.680399371941,-4710.463298638322,-4696.564038085015,-4693.27321186203,-4689.739407946599,-4693.202914611191,-4681.899025110073,-4694.959700887962,-4696.807154421441,-4690.570776396269
AE18_4,AE18,-9203.907359448682,-9202.535382460994,-9207.596748439615,-9196.17084314747,-9193.205720383166,-9189.070161488513,-9206.821211363156,-9203.36462945386,-9213.691819246238,-9201.951135937365,-9184.558078460645,-9222.756727358594,-9201.761528176688,-9193.336916675453,-9200.730463720303,-9201.121381101077,-9186.602746154222,-9193.100276062656,-9194.790853171493,-9191.659332850268
AE18_5,AE18,-15470.562097622576,-15476.232632604855,-15477.887450138089,-15463.249890740284,-15463.328919722704,-15458.40302852146,-15474.837005475352,-15469.835596834706,-15480.441850255853,-15472.17142912756,-15449.14659366171,-15499.028360031914,-15469.951481205562,-15461.994737316883,-15468.986042882249,-15471.381424067164,-15457.947653488623,-15424.156474824478,-15453.394286620824,-15466.237653365353
AE18_6,AE18,-23748.0960458007,-23764.57969307876,-23758.572199878872,-23741.79452073756,-23744.490049744072,-23741.62572031253,-23755.71928302489,-23748.76004852748,-23754.330691406107,-23749.004942947617,-23724.495151554835,-23788.26646237265,-23747.952792666885,-23742.36162903619,-23750.240549639155,-23750.32754127754,-23732.110822334416,-23748.09862600116,-23747.704103907487,-23758.004469165036
AE18_7,AE18,-34255.24018135615,-34280.73658092012,-34266.375118411794,-34248.20092434058,-34252.99147059615,-34255.28666725799,-34265.62252508974,-34256.88839334816,-34257.14505382193,-34254.20890781361,-34228.451366479705,-34308.333931839246,-34253.67270849814,-34251.86952889996,-34259.01049403161,-34255.118152851785,-34234.20024536471,-34246.03627056688,-34249.66640047425,-34256.4020726768
AE18_8,AE18,-47105.44194210424,-47137.59536421436,-47126.47191942997,-47104.28964281747,-47112.05413418129,-47113.85838154959,-47120.37006330065,-47108.79161139664,-47107.33313605575,-47109.716839163855,-47077.52012824991,-47176.9874691767,-47107.83195733013,-47101.11293201613,-47114.20437508786,-47108.81004743672,-47083.625200546005,-47102.901245813846,-47113.392310753545,-47126.0722789716
