Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
3d4dIPSS_1,3d4dIPSS,150.50999976125843,152.2724970416833,148.8968950418023,147.55653442871105,147.6043493329004,151.07251682407806,158.94880985657548,155.93447070851593,151.36665712098215,151.64838622174216,143.62793587700605,146.46459057192217,152.95943881655396,143.85226110133723,146.82750276965237,142.90799281410193,149.60140229715748,193.99756259842468,144.77019896219488,152.1023820234959
3d4dIPSS_2,3d4dIPSS,156.50000000503718,156.90443312409909,151.40778729215688,153.8755885924736,149.79082050291345,149.57487133784505,163.33803456155178,162.70419150888958,153.59792173706,144.56847362034796,143.5360679880193,148.30265649659938,155.13370172709497,123.03014120606116,147.7718686345064,143.60572417510446,155.0641437626809,183.75895538244976,144.8679783715715,147.3163388171001
3d4dIPSS_3,3d4dIPSS,149.55999999078003,152.6010978999511,150.71409979043926,154.52558700211335,147.79930090141335,144.0817499755386,153.66029090775717,156.7782254066216,144.45604965053946,138.33936854711968,140.76842138839447,145.06008637961096,152.25437814493003,151.69274160341018,145.49711403508428,140.8756407318838,160.07387534518475,161.83070718626198,149.54105209423244,149.64754117340513
3d4dIPSS_4,3d4dIPSS,153.72000000294287,154.7354967650483,161.7387711322736,155.50415282360595,157.09875548896753,155.5514598216764,144.9392946965557,149.8037757498679,148.87479033020466,151.3812956620628,159.72706662187537,159.05678892586914,154.25560889481326,197.3708311684533,153.07105047544937,150.6473396222632,150.4110489783486,145.97186850270015,158.50005000245622,142.61293669954654
3d4dIPSS_5,3d4dIPSS,169.89999983906822,168.68335547981314,172.8584407569532,169.49819692591225,172.11328285737684,167.35966955049838,188.40808486158272,184.93765218667644,172.08085385799538,168.95705678909502,161.99245012038332,168.36825166012866,178.75498984257158,121.50976538133789,171.87175326860196,167.0564254716713,168.35298117953107,166.9425109126723,144.78231410662107,151.15915370142696
3d4dIPSS_6,3d4dIPSS,180.20999995066768,179.16501852641326,183.57440460871723,181.7593077899284,181.99588996855104,179.81632246947578,194.35168680376864,162.7853723467497,181.1251307139956,181.8209209999096,173.77577094090285,179.2645294807933,189.97790360095087,162.69134814706086,183.1113592810513,177.42341718592908,169.2915228905637,182.85372616892457,170.3768810162332,166.1621552789869
3d4dIPSS_7,3d4dIPSS,171.1199999934788,169.50501086308816,177.4535501281712,170.62971046339618,174.0715172228844,169.92965970187768,184.66419642190888,179.71929802148654,168.73835091217438,169.17805182076643,172.35801977281417,171.68274484224554,168.5513149990412,171.8362613954806,163.67527722924513,164.42114377513855,167.39094423986123,179.93526232011882,183.0975237770629,181.23259748221184
3d4dIPSS_8,3d4dIPSS,162.92999985187518,174.6503335931731,181.6997875122205,175.3126677724167,178.58664178920708,173.400232625095,165.8889964922274,172.47109390511878,161.5938294332835,172.59278073060312,176.19339802709118,175.60992296358816,173.57000336807465,175.29173167185274,168.99246049706892,168.88752980624247,171.48601740931193,185.7495314603021,183.9726961591201,183.73334797024907
3d4dIPSS_9,3d4dIPSS,173.1500000446671,177.5285573395713,185.1525743697282,178.6990648804688,182.2583373347499,176.33001788374852,168.86461962355548,175.03463972248872,163.73775728089228,175.35512970693244,178.64642467942082,178.78030727709924,175.9517097410223,178.07660874028187,171.5295367725731,172.4278037207897,174.46383356075756,173.39474645142388,174.0603999754306,169.21958085466784
3d4dIPSS_10,3d4dIPSS,212.2799998845384,212.69821474325468,216.9433443849016,217.1922847351079,214.97191550323905,212.11400919596483,217.2082525922257,209.6156550240981,207.9305759092813,213.6745421128108,209.1523305173092,212.5841475770081,221.5562080070929,207.2279777102472,212.7332717522009,208.4360187890725,210.5948659505395,243.4300686403083,218.93212056505445,221.82996849725816
3d4dIPSS_11,3d4dIPSS,141.42999979504816,104.39352856350776,143.6399605900075,142.17644145348214,141.11157255972296,141.8253740618581,144.2953710178123,140.61232357487256,143.61349531518866,142.4125663032158,142.24799196624403,142.4551554339693,145.21523201026508,140.6870690521218,139.66486427650338,138.70816916818467,141.85684539830248,188.37479993932504,144.25886163079676,152.5455007663481
3d4dIPSS_12,3d4dIPSS,153.23999980845963,148.3467962659809,151.9716019190965,149.78248780462468,150.10955151558883,155.28990132261964,163.8992779056673,159.9743930177369,151.7657970093813,157.7747574519191,144.83393911880293,148.8381626650687,157.18301972018594,147.50224387778363,149.25943782468013,151.24906849712775,151.16384525887685,165.433372367985,124.47106704683743,122.27136415251351
3d4dIPSS_13,3d4dIPSS,156.9600002175632,155.00470811855334,160.1464029654772,141.83705515071892,155.44657763709665,160.0115147839517,150.6854427505755,156.15465744509893,154.0476796772101,157.24139341250128,159.84168580814153,158.56209904835202,156.78458170111247,161.4909690843162,153.01333058523667,148.65104592875315,152.33157042781082,105.09401085958426,103.8573666631241,130.97657624239557
3d4dIPSS_14,3d4dIPSS,162.72000004132417,162.42713565944902,167.74926181949016,163.0761705909871,162.42513158243528,167.24028587303886,156.0600138934344,161.18609981868929,160.95844528009349,165.98571452741874,167.02718120835968,165.77242964202154,163.8589138607536,169.04495743774228,160.46022679130417,156.0958715418016,158.94049460934502,131.9109741475507,142.0202831116745,104.75676067535098
3d4dIPSS_15,3d4dIPSS,164.2899998799865,161.27949500300764,167.10093484413912,167.20412607885382,165.7891079653377,165.25861722904875,183.82848865416244,178.456682569047,164.37625055518623,167.15364871474972,156.2505639850872,162.5732413885808,171.52695005305702,146.92612084080258,164.61297097416085,161.38566395844077,164.11861993168782,151.85613094632373,169.48881767844557,120.89751774513002
