Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
HR46_1,HR46,8.975778042156858,9.125416642396056,9.182330610203657,9.216953941220256,9.145060336508095,9.196887902066456,9.062564169738012,9.149574408158864,9.113234017960318,9.14453985984016,9.08103166575968,9.130971717922591,9.083721213568696,8.942392247708346,9.235254706133896,9.099958535718276,9.07165723995582,-0.6045171357205431,8.697793463077035,4.436555323454542
HR46_2,HR46,5.241129531970096,5.298228739493237,5.488155013631039,5.317379737032031,5.383119941267389,5.461711480113501,5.259923038156809,5.309892706697199,5.394165266483974,5.334065314342009,5.386848639822751,5.384423988441204,5.302581656270871,5.280359534728573,5.435375360715878,5.3259485063966405,5.349733978458696,0.0,0.0,0.0
HR46_3,HR46,6.167607024986796,6.280103165949457,6.333632978289361,6.215109429620801,6.295921864056922,6.322478385823441,6.274273957829951,6.281427565959474,6.268052058951085,6.213401602392701,6.244700027543199,6.268913382976991,6.2073149229983855,6.171561701068657,6.343164947469814,6.234508636998955,6.241483971972313,-0.27807719081991755,7.094789108539973,3.201423679732007
HR46_4,HR46,3.658064890556079,3.7167015113077695,3.808590740467375,3.666250235489056,3.7580635179298194,3.762405326460069,3.7217268192493127,3.691393444938254,3.6793423358340513,3.645830404447112,3.737010200912668,3.734140979571278,3.669262084621024,3.672279493141256,3.806603217046384,3.717064562525532,3.728007906660732,0.0,0.0,0.0
HR46_5,HR46,2.2187299858754663,2.2435953506584068,2.294502295208117,2.2466201674846658,2.291327441758793,2.315753809681455,2.2710483880102927,2.2632094260239097,2.266828833376131,2.292290641048182,2.273549001904397,2.27384166631804,2.280489595175992,2.2469054228025938,2.31776726691166,2.296008220563787,2.222973259226664,0.035722906985058964,0.1630370317525174,1.441208311125874
HR46_6,HR46,1.5175578157219376,1.5335395176235496,1.558277073357209,1.5081703256221324,1.5556931057543768,1.5677923727961869,1.525437528396066,1.5209123429701144,1.5237408154696075,1.5489933124367437,1.5368088390832422,1.5345119786116153,1.5268656567989851,1.5105542442187283,1.576661217249523,1.5554189642116325,1.5237512437974885,0.0,0.0,0.0
HR46_7,HR46,2.296147143511559,2.3149258285604746,2.3490582834929032,2.313206888346877,2.3569379966902377,2.384844849117243,2.3520164176680547,2.343027173237738,2.3655030624282896,2.3444349261667963,2.3481080503184337,2.336662647621207,2.363267328115022,2.350282658736573,2.3815199585183984,2.354502212844276,2.3129130841533483,0.0249734484413505,-2.920930354994474,1.9532488960964691
HR46_8,HR46,1.2148260736892813,1.2371723010672944,1.2468524558472196,1.1953842631500151,1.2417641699340396,1.2569753121903071,1.1990184884304358,1.2074409269043656,1.2176619554108363,1.2251915819259582,1.2287924661440517,1.224050561180701,1.2160022879629473,1.1984109320527816,1.2624933340781876,1.2428440642577083,1.2236848044992743,0.0,0.0,0.0
HR46_9,HR46,2.298147634724551,2.3094448532040763,2.314105256798436,2.2484345017468867,2.30069270404825,2.317883962472399,2.2600382769908296,2.2645986563452998,2.258061866028878,2.2951015164518025,2.289220442556473,2.2864012320188865,2.27065847747152,2.2455689832423684,2.328279107755266,2.302654296818775,2.3154341385387824,-0.10581011494473579,0.6058196968785302,1.9481532711308713
HR46_10,HR46,1.7547734705291222,1.7836583408847178,1.802344410889352,1.7350297334092784,1.7955371834464295,1.8050728583592688,1.7501315899902086,1.746232484602494,1.745732361823672,1.7879019754089835,1.7800945029348767,1.7701605820860704,1.7608360704811092,1.7478662187676284,1.817685214558049,1.795150051548875,1.777739137535402,0.0,0.0,0.0
HR46_11,HR46,1.48426260317238,1.5028190116781646,1.562007618987734,1.4727301420005356,1.5344119538452692,1.5826108261356944,1.466913898943036,1.4907938363831748,1.5111488347446895,1.5293570095208706,1.5353288459574126,1.526033970998533,1.502856057946417,1.473700769074869,1.5871600914517512,1.5403967569231871,1.4333155006425862,0.0,0.0,0.0
HR46_12,HR46,2.182804497842159,2.208478394661245,2.2739546569360787,2.190848139353406,2.2501201006349314,2.287320902509018,2.199638261342196,2.210019513418975,2.230762570242755,2.234842275727556,2.246457164483454,2.240686303091403,2.2256779884825884,2.1984194433809616,2.2911097951302257,2.251258343265427,2.22498772620182,-0.08993145256629366,-0.6238610097968376,2.536689635006272
HR46_13,HR46,4.404516697470327,4.466885716391385,4.491103699384158,4.379748578615919,4.470524571863072,4.530927366416152,4.411021998101288,4.429269071748687,4.432469857954307,4.47313076780596,4.455310650965587,4.447372591040797,4.436296723934936,4.413643938273856,4.515169793150903,4.449257313160053,4.360484228519747,-0.14753446781449353,0.22796598295549853,2.411136472055317
HR46_14,HR46,2.9326923336453885,2.9928663690990347,3.055720691727758,2.9410314173458545,3.002340917590289,3.074829086242319,2.9247125964595693,2.9654559337184674,2.949238989675035,2.998764112472613,3.0071680280756463,2.9953354934808663,2.9466550218089744,2.946590190707916,3.081119519322344,2.98508112391207,2.9798972396848646,0.0,0.0,0.0
HR46_15,HR46,3.9767172084921274,3.998398458544616,3.896343769491233,3.80531400964874,3.8881880632011048,3.890584948175849,3.8016668182534006,3.822507120675853,3.849022890441733,3.8840870556777314,3.844816301922493,3.855254050229592,3.795561614935272,3.75404771803428,3.909743356126498,3.879428504686337,3.998009427715862,-0.5116086568157632,4.841242232832467,2.8029217902782015
HR46_16,HR46,1.895650654977336,1.9316057803214524,1.9314575952484383,1.867441876400598,1.919654697036512,1.9336229417046704,1.879270707368821,1.880374681845824,1.909354019764014,1.8910402634655072,1.9049344155971584,1.899401576044308,1.895882193195206,1.8707371300901288,1.9538408695580416,1.923568621142111,1.9211714861001865,0.0,0.0,0.0
HR46_17,HR46,4.642149121280218,4.69352655177494,4.640667275363697,4.483903781971562,4.599040389160809,4.621227318090733,4.4879677432266805,4.520354399677416,4.533135315370158,4.57480110465592,4.575236394227856,4.5834004359151805,4.534280039741972,4.490743425754698,4.640219018097471,4.58621964803214,4.680090864388592,-0.6596878120491062,3.2998530972685214,2.759927913405103
HR46_18,HR46,3.33506891345849,3.3880921168517206,3.373797868286967,3.2526116274451997,3.345225110122568,3.373698767979501,3.2731666758658657,3.286709817382878,3.3052041732520125,3.3162466998220044,3.3296842571844047,3.322541763619752,3.297745857999895,3.272155315743354,3.389964801000138,3.341879845102776,3.376076558350805,-0.1492018934925864,0.8374238804701734,0.5624457162828519
HR46_19,HR46,3.63003949050741,3.688009278941415,3.6626141554998415,3.527555992182622,3.6267090422382577,3.652007847172325,3.545289048792198,3.5613559609506797,3.576859763935391,3.592874809528365,3.61274913402021,3.607900719916909,3.573961831722944,3.5463263421974647,3.6713903848090026,3.620338960392206,3.673790680173631,-0.2546563871141668,1.4279477595195629,0.9579459180781895
HR46_20,HR46,4.978981829267667,5.178178889468688,5.279564895722832,5.18047019265788,5.255827585546814,5.295003871818141,5.177526877727068,5.175782004493944,5.15948170568887,5.272596517881662,5.2252663773967125,5.228515323645771,5.233568416156891,5.203110937452608,5.292292094616157,5.224614365655092,5.114829973178119,-0.6529917247455734,6.867859368136367,6.193437895195386
HR46_21,HR46,3.564940172284645,3.63599650862788,3.712125387197162,3.63199182171784,3.670153970015124,3.737121339717428,3.6105745258653,3.645032986800152,3.6434816797790335,3.714911256409196,3.6627336294385695,3.6754376747432738,3.636119687246077,3.6230738914460416,3.7179462609723872,3.637434824767732,3.635473231997207,-0.3287836912135097,3.9154584438667186,4.034719961694866
HR46_22,HR46,3.272979593588605,3.3697264976729056,3.4537526854824807,3.3382085732908746,3.4072153327164525,3.4732602530241774,3.366207114823802,3.348990850208068,3.3361136144284504,3.424933571924286,3.396206147472015,3.393817598157693,3.393928736699225,3.3637407685567333,3.4587270550025977,3.3794325846826707,3.3775916788083142,-0.06355668191490445,0.7659733504884834,0.7849008968585965
HR46_23,HR46,6.192872488084207,6.285320188289728,6.432459095514633,6.28625838138753,6.3249345451432655,6.43741401586237,6.266308112545898,6.337929402521875,6.3323002426189205,6.408711597601685,6.385885622518604,6.395527804992021,6.295085549118117,6.30604009047197,6.400171537791991,6.266952715191806,6.269946598707846,-0.7987837722375671,7.051478701389951,7.42651397326018
