Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
OEEF_1,OEEF,-0.9681153414850274,-0.9747461713490652,-1.0006300586400023,-0.980366208943188,-0.9886148837387708,-1.0183788503528717,-0.9752235177997766,-0.9873031379326708,-0.9832738368419996,-1.0025167913745978,-0.9899103770448038,-0.9874265690463988,-0.9905351882318912,-0.9741033505861922,-1.0018954942408558,-0.98748329589863,-0.9774965817683686,0.26204110948690484,-1.4308195153869012,-1.1894735454369485
OEEF_2,OEEF,-3.889082836889011,-3.906796990083082,-4.014102804423013,-3.928999969545421,-3.9604217534547086,-4.092190083370862,-3.9053052745672248,-3.9566366163061057,-3.944330779019192,-4.020315336469209,-3.971593994879916,-3.955896657135492,-3.971187431494818,-3.899725962271113,-4.016871878236323,-3.9608715522472617,-3.926266080826043,1.0648258239503652,-5.44879052193414,-4.161431904231078
OEEF_3,OEEF,-8.817564836497317,-8.849406173234438,-9.109082206536655,-8.902897653587205,-8.977854476031434,-9.285245137476243,-8.847267997451732,-8.967094822082773,-8.944785354252762,-9.113237386018174,-9.00868897382106,-8.971061874228468,-8.995977702659506,-8.836578122562361,-9.108100279719576,-8.9775737910461,-8.90479695847599,2.4364611586453604,-11.904670893311465,-8.345543086218376
OEEF_4,OEEF,-15.85692030831079,-15.894501285953586,-19.32352153587136,-16.003185487600128,-16.15104548222454,-16.718621965670344,-15.900001845751795,-16.12223696152775,-16.147656366309914,-16.391013262726347,-18.1001002625603,-17.51646807070765,-16.157162821087905,-15.889379365316406,-16.388245506688612,-16.141144135740863,-16.0250250430796,4.439430036054547,-20.600708874665376,-14.527059034900143
OEEF_6,OEEF,-1.0755499835198918,-1.1015414259366467,-1.1304053557279232,-1.107964612909535,-1.119303144352439,-1.144884760321432,-1.099728927568943,-1.1028831666958594,-1.104041611939253,-1.128777094130295,-1.1187179917673935,-1.110143827813011,-1.1192376323623856,-1.1045093574931024,-1.1291667775214058,-1.1209354847452662,-1.0990321385389967,0.14912671846461517,-1.3856380690806518,-1.2454498681105497
OEEF_7,OEEF,-4.324756389634128,-4.427275310700032,-4.549563792251014,-4.454961530702123,-4.502165617138965,-4.606365071323238,-4.421091455840288,-4.435295258285656,-4.441134359449725,-4.539873414436533,-4.500997822006978,-4.466404354217098,-4.4996175521651,-4.441660400639653,-4.541275584366441,-4.507149171875505,-4.420124404758792,0.6065835071929323,-5.010338490895288,-3.8625478384384704
OEEF_8,OEEF,-9.819340413680395,-10.042833183946511,-10.341427731343238,-10.11175462026478,-10.222911899502408,-10.46625561822548,-10.033865195044834,-10.069451006316614,-10.085995670110432,-10.308918348017151,-10.225994979051306,-10.146871368198214,-10.20799518354588,-10.083376257311269,-10.311899582780018,-10.229344561868022,-10.039166002269868,1.4062623391650546,-10.343186133575962,-7.323054544383263
OEEF_9,OEEF,-17.698004239767023,-18.06624167112168,-19.21613332954739,-18.2137151826569,-18.42021424335848,-18.87604346315269,-18.06837325805325,-18.140680484489,-18.17976541408749,-18.581815377684848,-18.44628211642014,-18.29274711437159,-18.368980981344016,-18.166470747372028,-18.58232855493284,-18.41697246665826,-18.102010466663657,2.620012708120037,-17.12022048804762,-13.205882476853203
OEEF_11,OEEF,-0.969563005841684,-0.9719818666126112,-1.0050799793202363,-0.9824863124604633,-0.9836127547202614,-1.013791756105864,-0.9709769729401928,-0.984397769063694,-0.9948388364561096,-0.996654158604419,-0.994581996828305,-0.9885788019421416,-0.9829665454527646,-0.9743825923631526,-0.9973054506912734,-0.9816493403238208,-0.979701640018812,0.09624184026694368,-0.9435586695117247,-1.0203573085854953
OEEF_12,OEEF,-3.90311206620057,-3.907714722694604,-4.051732225797506,-3.954751515098508,-3.958700306722569,-4.0891780379047615,-3.9039782802852168,-3.960723209008696,-4.006370632690397,-4.011454400685976,-4.0067878009876,-3.978650589921513,-3.9562757983576486,-3.91901692133261,-4.0141803645959655,-3.95198470032395,-3.945207528975212,0.39595452658189356,-3.5994075700712247,-3.64825827186807
OEEF_13,OEEF,-8.88517396225149,-8.893652054506903,-9.256603220539654,-9.004316550552792,-9.021316786222345,-9.319149474360426,-8.888550025971858,-9.021235963004315,-9.127093234465942,-9.142427432480009,-9.142068246058546,-9.083497139266385,-9.005971544031704,-8.933188351663974,-9.1468132844499,-8.992310098028398,-8.988366345938411,0.9261777520038995,-7.892126072595012,-7.587833593481811
OEEF_14,OEEF,-16.117125896862404,-16.085543533286412,-16.967736136017574,-16.349761103664115,-16.398184252753413,-16.964511553089515,-16.119093829329476,-16.382384442702282,-16.611357253203252,-16.614236831427366,-16.684347084445626,-16.601377593539652,-16.347960527975175,-16.2446193184949,-16.62443166410408,-16.29515566849,-16.337061114489586,1.7528745631005132,-13.880867110612202,-13.244085217486719
OEEF_15,OEEF,-1.323201617533463,-1.3190440534760968,-1.3587740001509117,-1.320826180369367,-1.3336017712495305,-1.338553009268891,-1.3298244152591785,-1.3242307958216726,-1.314279248575919,-1.3027830239791038,-1.3110031471458738,-1.3202283521520897,-1.294548342689423,-1.290728818023255,-1.3395286610397568,-1.3075126884350017,-1.3259101542152676,0.07698420890518612,-1.4310794356127372,-0.6475818369186013
OEEF_16,OEEF,-5.318686215863036,-5.304766737905548,-5.462636198997477,-5.3070441580821655,-5.36126856951669,-5.3832531756729045,-5.345905882599127,-5.32352412564497,-5.28043016350791,-5.24114662717453,-5.269619806860891,-5.3074300763938265,-5.202870682834625,-5.187903452328931,-5.384971422120953,-5.25600366701192,-5.329570746700592,0.3239431545531848,-5.186284607712788,-2.5380902570414294
OEEF_17,OEEF,-12.068843906404371,-12.042988633506027,-12.401910624014665,-12.034664971372251,-12.167370110127091,-12.225032896966228,-12.131392230992656,-12.079692039183383,-11.970376374719796,-11.906629381502432,-11.954065521026632,-12.043987503095916,-11.799689028799609,-11.76644470633453,-12.220158591679404,-11.924184649371124,-12.09285808022125,0.799448737077219,-10.607145737594381,-5.356424594824453
OEEF_18,OEEF,-21.730040009941643,-21.68501720915121,-22.35620899830066,-21.64436287838652,-21.909045433236024,-22.03475045288241,-21.83858496721708,-21.739040252813403,-21.512417026055555,-21.46400335232332,-21.50141822829454,-21.680256106560577,-21.216116088565613,-21.152972382968628,-21.99943635325544,-21.449579043037208,-21.76795799907007,1.670868419456862,-18.120627459244247,-8.849617479860289
OEEF_19,OEEF,-34.5809583865091,-34.529018799835384,-35.63063207564062,-34.390138779472146,-34.87291915471449,-35.132523526422155,-34.73538031044887,-34.5719264544109,-34.1495260447531,-34.24039293066883,-34.176613997300194,-34.50175840778202,-33.72906143918853,-33.5989578291077,-35.011131065686534,-34.10165152722342,-34.62909110658305,3.2641689744914424,-29.0707252225718,-12.97865496130234
OEEF_20,OEEF,-0.7618975305341636,-0.8833715047828747,-0.7468913944735581,-0.7022130964190649,-0.7076001397607463,-0.6206947211726486,-0.558042230001389,-0.6024647551953863,-0.6014207049285465,-0.592392851624779,-0.7895170462792457,-0.7061767600244653,-0.604447183120432,-0.7117984291366675,-0.6859350614150325,-0.7131209681110731,-0.9205245655124734,0.7258484530372317,-0.20240860036983063,-0.7908601648756712
OEEF_21,OEEF,-2.5373860141384834,-2.773283391690988,-2.505952244803652,-2.378397013492692,-2.41534533608342,-2.263156843862022,-2.1030011775983315,-2.194862477760677,-2.182782230124945,-2.19632106078248,-2.5778644540295788,-2.4060424453822824,-2.1918632962365154,-2.397022686943597,-2.3888802495163364,-2.435038214903788,-2.8549392705834404,1.4898690549863542,-0.7035756212025168,-2.2720416926348337
OEEF_22,OEEF,-5.355284450918637,-5.699302903120995,-5.312260016842994,-5.0571806159325785,-5.155089350394866,-4.960933024553705,-4.664445779466548,-4.8068139994305685,-4.773061833598634,-4.845765018507375,-5.398061520762162,-5.132840939247306,-4.790938699997953,-5.085535886535536,-5.142353104356408,-5.19659232500237,-5.835263480130029,2.291862354929431,-1.545572530765235,-4.391994647535272
OEEF_23,OEEF,-9.26674615818105,-9.709650063340897,-9.229790995734009,-8.789564171491827,-8.98310497330026,-8.773630388184765,-8.29380263329765,-8.490457639127474,-8.421394448421777,-8.600850925580756,-9.309523290778255,-8.946672965507382,-8.450587632424552,-8.829829320908704,-9.005189855485416,-9.051872293287866,-9.91749634294926,3.1342524328380437,-2.773748934666164,-7.305612348160308
