Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
Pol130_1,Pol130,5.970993562115288,6.0852746603871966,6.150421027109416,6.035294091571084,6.107837534019765,6.032799849620377,5.793517390996518,5.944915455010475,6.280034779493255,6.284023017921259,6.245767402124499,6.117262663129259,6.301476785099849,6.276788945311832,6.07591591795456,6.289472355904606,6.223572909562609,0.0,0.0,0.0
Pol130_2,Pol130,5.131993474768016,5.317222364396047,5.407460373871987,5.1755417973834605,5.309959099438842,5.388537949739341,5.070915069837259,5.140863949152411,5.541971328539734,5.4282299182326845,5.369675392131916,5.321344710094016,5.339865554005466,5.266486647193858,5.345809828321668,5.333594680959186,5.317136690179705,-0.3203398945348402,3.4729152162727606,1.6779294950558667
Pol130_3,Pol130,1.6339982590807884,1.6675530171238666,1.72635219539244,1.6669678362521203,1.7110862247223313,1.7010695430082745,1.6850943608403823,1.6678201935743888,1.6703508891078085,1.6564331010895443,1.69144969952569,1.6911343626000348,1.6590381852811291,1.6570181337109369,1.7259740286191525,1.692961478127516,1.6725795026449248,0.0,0.0,0.0
Pol130_4,Pol130,5.621993792478159,6.210467475130153,6.442229864985524,6.090732593211123,6.433402215909835,6.710062445071389,6.556701528622185,6.17403008362488,6.182014859068195,6.624567081642102,6.404912553716503,6.210474884362746,6.262402005240281,6.5579913268101215,6.351056070200738,6.4504840399134205,6.2545878746564245,0.0,0.0,0.0
Pol130_5,Pol130,5.394992868081312,5.283125992188805,5.5290234083971095,5.540860981740284,5.485463971804869,5.698436266340829,5.578234010393548,5.349009725241014,5.4470794355157794,5.623980650713966,5.614752310655977,5.489045888364152,5.641466425759878,5.626961234435971,5.724161101496153,5.620551660585671,5.507834730041509,0.0,0.0,0.0
Pol130_6,Pol130,3.8249955093628216,3.855576499887132,4.1359069635977175,3.979331924602195,4.050165169280668,4.43159186419219,4.266550894564904,4.117880463180906,4.1341785391888255,4.403284913526333,4.118385179709625,4.160261091802683,4.137117631237793,4.02483954326218,4.366719786957722,4.06970804203341,3.944390519682544,-0.2639765166910881,1.3493469131674292,5.909614761596821
Pol130_7,Pol130,2.912996756730816,2.888984342053144,3.0252595816952885,2.9075035560425078,2.9948132909124245,3.0419617569327126,2.9428787608075613,2.8998569377028467,2.9427934065140096,3.021655437459286,3.054809059686625,3.0129282574956333,2.924003311199864,3.0034349634894584,3.042425574516053,3.0103024275412347,2.935309770422618,0.0,0.0,0.0
Pol130_8,Pol130,2.9739969202736285,3.018138722084694,3.107349664528994,2.9983560867566816,3.083788916317851,3.1929914342850148,3.198823088445859,3.08539049476542,3.1515868971845378,3.1532913157021527,3.0866642890223286,3.10323013447692,3.054898859506045,3.0174149888224866,3.165475640842153,3.0562025870413576,3.0123499880964406,-1.088196355068425,7.161821628702755,5.909551882171005
Pol130_9,Pol130,2.949996953099102,3.092017010760289,3.1843152297948483,3.0849370500792794,3.1547956851082386,3.1867973207338225,3.101597437295633,3.087470116523328,3.105305014345132,3.1965970603770115,3.1584914073940125,3.1111257028284727,3.1022052902371686,3.133065015889132,3.1808512681293597,3.152356271318673,3.111046542656864,0.0,0.0,0.0
Pol130_10,Pol130,2.6859973141793114,2.7638226460754933,2.8227046599030667,2.6810972961775645,2.773288081423768,2.807267091512252,2.673333463901063,2.6993432579051944,2.6872205775312965,2.774047675340977,2.779379354894385,2.770778724507169,2.711808096389193,2.688246459028655,2.820920369943814,2.75022671513452,2.7424427519340644,-0.19159961360688346,-0.008852525634978261,0.8682232586453017
Pol130_11,Pol130,2.831996126594119,2.8856667867038595,2.983133978664972,2.9067987903969947,2.9626356120297377,3.081319569234087,2.9523302667768725,2.901813566297642,2.981863148088466,3.034717015046461,2.9754269010355814,2.9717211022006413,3.00325625293684,2.894531778280016,3.1239442577908827,3.015236676167102,2.9014259392565416,0.0,0.0,0.0
Pol130_12,Pol130,3.018996117803194,3.114648641948756,3.329550002759117,3.1208722442115517,3.202637506540264,3.5380243039321564,3.1714117651056872,3.201413354103819,3.224538587972117,3.5047328700975786,3.269340996435582,3.293251608347984,3.255359341069909,3.1195621447381043,3.409259501049813,3.2048047053678186,3.10572084977493,-0.029413526526083426,-0.3152454511506965,0.4600320416819116
