Reaction,Dataset,Reference,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
V30_1,V30,44.497735744623526,45.027894078832105,50.96356073111029,-90.75127464914036,45.3553320173338,47.1156713798919,30.168523871825027,36.29232374274951,38.1803348329409,56.53879970426137,51.25309180548651,91.48230949246523,33.97551457492697,45.67950213629982,42.4042609673061,49.936731419189066,48.21170769561832,-25.036161278369466,42.83805775240036,47.24780904699626
V30_2,V30,668.3162506489289,677.87759268496,685.5360782665988,712.0675326256987,712.9328474700847,696.482360074443,726.9228849471519,721.416337232563,723.8625503341061,698.7215927158347,705.0472621708492,714.6607263550306,721.5873446621456,734.8522900949472,697.3083041085908,699.6623327261416,671.665809479678,673.0935125904358,695.7395297210143,697.4561911276602
V30_3,V30,669.633144556975,679.0288092420419,687.2130142014616,726.8663053658858,714.5456208158835,690.5548047735174,729.0122167075602,721.8721375365483,724.8274017089418,698.6039947659787,706.3288889473295,711.5477860644703,723.4649833799411,735.7468341530405,698.2508143529723,700.3670918544833,672.7787518296551,670.2318590325766,693.8193485920266,695.5813631973504
V30_4,V30,1349.4609814113094,1346.7191095073783,1351.1076941854285,1381.97264608752,1355.482070210803,1387.049830604842,1363.102987013885,1368.7911372287842,1363.1036041662956,1372.3008496904338,1359.2984883454997,1350.286193596078,1373.648209999591,1354.9327083433116,1362.8314129614926,1370.4120742254129,1348.45205182643,1362.7069563169705,1366.3833838211092,1367.6925003635454
V30_5,V30,2388.371581471836,2368.005631234924,2364.878757666442,2398.125014923269,2353.587473096057,2402.440779237637,2345.714066821669,2358.2986855278086,2341.2937390982497,2400.591915776536,2382.3365307206154,2358.926064946637,2384.8201162730606,2364.25260204035,2362.374207674575,2383.2678697426563,2381.587806292934,2366.719430084785,2370.874438531874,2373.379624681056
V30_6,V30,262.504177022033,316.58180937161256,243.13570417467585,264.5141613605974,274.87922775207375,-90.6743236554136,312.1355386887717,260.1261920805075,267.2969759731544,216.29187329461317,279.18256330119766,342.52805114315555,320.0686484664554,369.991096466486,267.6044397908544,241.60919838133037,263.39594393511084,192.82924018967847,216.93216089049167,200.70564935768255
V30_7,V30,272.105968473021,272.4759088008836,275.02872194996684,280.2114441948477,271.5691916511529,286.73730655077736,255.66292271721767,260.4420317499012,253.8880620560016,276.96505686922666,264.98002271782644,271.2661355329932,273.68016368634704,258.54102548029573,276.22193206120124,272.3250132268641,274.2789026083655,251.9296943204206,281.6086127587317,263.86380243446143
V30_8,V30,966.576848874574,951.1728328209688,911.535940449031,957.247401764992,926.6983350200524,893.0381536228678,925.5442261019168,934.6931243709575,954.9685863007924,909.0069082368776,944.4500877239504,952.6411734798296,983.889146740712,993.245642907116,916.9318395258566,926.432139504079,952.1383081265452,881.7149805086253,911.2891973938732,862.382477526878
V30_9,V30,1150.987849369158,1166.8482261090749,1150.5636279565322,1163.9910178589096,1161.1265977128096,1088.0913040130251,1175.0630402052805,1152.812113482608,1163.0369950018164,1120.9190148004104,1146.3756184231866,1171.2787191982443,1175.6928742493806,1181.969908947739,1146.0528722897775,1149.5984621007074,1154.4382654679691,1153.0363182738054,1131.8551425223886,1128.7342449557063
V30_10,V30,1673.343064850044,1681.268540078409,1664.9043858580785,1676.4201762318348,1668.0126168414652,1632.1371815178638,1680.8282893786363,1660.4539990469864,1664.4599331878362,1631.2301704386773,1663.570545196078,1679.5070953020784,1695.2939651037857,1699.217765430271,1660.8995236954454,1667.1252503092549,1674.6779950405655,1633.4832246675637,1655.5852120037907,1649.5970157935267
