Dataset,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l,MACE-OMOL-0-100M,MACE-OMOL-0-4M,MACE-MP-0b3-medium
AE11,368.8592166,,,,,,
AE18,5.308483993,13.56801125,7.852229863,7.633024679,23.63023327,,106920.1194
AL2X6,1.312468078,11.54516595,6.642998232,6.090954284,4.35859012,10.73679568,6.550552517
ALK8,2.502569984,77.79626962,72.81474702,43.84519596,43.7215078,1085.065559,20.50036442
ALKBDE10,3.582011465,13.69462586,7.378500202,10.99200198,28.03755561,14.83496205,18.54277942
AlkAtom19,0.870898265,983.1653072,31.3187657,64.19054703,42.92310637,240.1207974,17.0362225
AlkIsod14,0.968049215,1.028607044,1.453358591,1.47707877,0.993385291,1.273364824,11.37120268
BDE99MR,3.702226658,14.89879165,5.263573129,9.747276012,4.287827914,12.88079513,20.01651199
BDE99nonMR,1.526053724,31.75938305,3.69599403,4.690257906,3.92197126,8.794075695,14.56344169
BH76RC,0.851922253,32.69237115,2.375148195,2.320676345,1.840589612,6.449874997,13.81367703
BSR36,0.484413999,0.796825939,1.465528616,1.716419411,0.464620924,1.226261536,14.0561262
CR20,0.440781869,0.866400489,0.403804829,0.411150366,0.433451843,0.483582837,7.302152373
DARC,0.706220179,1.384779171,0.953947997,0.962791851,0.968942462,0.967184483,13.95206806
DC13,5.149615566,32.35022192,13.00392861,10.11640805,320.3336596,175.6509431,22.75280599
DIPCS9,5.105520543,21.67754715,40.37548815,40.35248145,524.5942161,497.9072387,615.9472695
EA50,2.067368629,17.40947305,12.91475226,11.14361278,13.1156553,14.89696782,36.75390116
FH51,0.948939048,1.432331123,1.293730428,1.142340219,1.136115438,1.188641689,10.81249444
G21EA,1.369160565,11.48026954,6.195079956,7.356534993,9.435180975,10.29998657,37.24391427
G21IP,3.10210358,29.28405432,37.27334559,20.7670006,169.9365544,141.8656562,253.6263002
G2RC24,2.049496708,2.208903667,2.453925604,2.447363064,2.221624889,2.847490217,20.72277366
HAT707MR,3.313364004,13.73024564,5.106537936,5.581995115,5.249143242,15.52912434,19.2286361
HAT707nonMR,1.902893292,19.10588905,3.97582018,6.453809114,6.744164736,14.62773952,16.65949372
HEAVYSB11,2.70029408,9.423484533,4.972450643,4.503942957,9.610971806,14.92166007,24.04193127
HNBrBDE18,2.484988586,5.25448267,2.357050491,4.117039769,25.09146777,21.6608192,10.67534157
IP23,2.665513586,26.23365636,35.92131562,32.71055724,160.7435135,,301.0795151
IP30,5.358702589,6.320130666,5.724189697,6.839126372,90.32732054,90.7001853,278.9538393
MB08-165,3.790403668,12.78999002,8.119795022,5.353671613,5.667381985,12.8590975,54.51620628
MB16-43,15.43012648,30.17803919,39.41668283,27.87725916,20.64763259,30.07885919,192.2288128
MX34,13.55256653,21.37600761,36.8986877,49.87464301,98.74067784,614886.4865,35.58415563
NBPRC,0.948775526,4.188935053,1.793480379,2.823834562,1.435470576,5.087946358,21.69935014
P34AE,4.026815737,217.1427371,9.069823948,16.02188991,10.87072659,58.41364681,10.57599584
P34EA,2.782117233,42.33208158,39.46212749,31.37318484,21.10426226,18.43662469,36.03612176
P34IP,3.095432034,42.48767816,57.79168608,33.66692743,177.8442651,154.9227219,218.2174209
PA26,1.503315382,4.046593151,2.342065056,2.109385057,29.57536268,40.58394407,110.0690242
PlatonicRE18,3.612016518,5.10106526,3.223889089,2.985660353,2.906348751,3.103269698,70.28290029
PlatonicTAE6,4.01746888,768.6736607,10.38459547,95.3695384,47.03888038,351.0313744,60.51531341
RC21,1.818010638,10.24538005,2.420145675,2.655999091,56.99071149,60.34500326,25.99648993
RSE43,0.786577831,1.334702012,0.80681817,0.631789152,4.970396672,4.521317209,8.099161522
SIE4x4,10.61259624,93.10533957,32.91660162,37.61491863,166.3417828,156.9776014,24.97447347
SN13,0.504410245,26.88037238,3.146478979,2.05570152,3.744429348,12.25168528,5.699108708
TAE_W4-17MR,3.964409078,25.00502223,8.415373678,26.98742771,7.789646341,19.23452645,41.56365823
TAE_W4-17nonMR,1.695687978,172.008521,7.535484794,22.2748567,12.32457557,54.79567575,18.3913227
WCPT6,0.342605531,0.586982654,0.478611595,0.435486248,0.45555821,0.477127397,3.369928421
YBDE18,2.978937532,6.640022557,2.133594337,3.915633132,5.431005683,17.13814929,15.56193176
