Dataset,mace-polar-1-l,mace-polar-1-m,mace-polar-1-s,wB97M-V
AE11,,,,368.8592165947299
AE18,7.633024678698515,7.85222986322354,13.568011248609947,5.308483992528279
AL2X6,6.090954284176164,6.642998231594308,11.545165945022646,1.3124680784634268
ALK8,43.84519595552901,72.81474701903328,77.79626961524062,2.502569984429649
ALKBDE10,10.992001982756744,7.378500202434479,13.694625864613613,3.5820114648165577
AlkAtom19,64.19054703130273,31.31876570030845,983.1653072319341,0.8708982653155347
AlkIsod14,1.4770787699598975,1.4533585914667333,1.0286070438155797,0.9680492150724982
BDE99MR,9.747276011901086,5.263573129225202,14.898791648390155,3.7022266581916172
BDE99nonMR,4.690257905612257,3.695994029680163,31.759383046319595,1.5260537239626146
BH76RC,2.320676344631645,2.3751481949117994,32.69237114645693,0.8519222527033052
BSR36,1.7164194109298754,1.465528616082022,0.7968259386599608,0.4844139985105923
CR20,0.4111503661317828,0.403804829237271,0.8664004887469738,0.4407818689179345
DARC,0.9627918507138044,0.9539479965975656,1.3847791708602233,0.7062201791782119
DC13,10.116408053655938,13.003928606294691,32.35022191651077,5.1496155659135106
DIPCS9,40.35248144827696,40.37548815349432,21.677547154479043,5.105520543319623
EA50,11.143612776161245,12.914752261829236,17.409473048843896,2.0673686294275186
FH51,1.1423402190412606,1.2937304275018449,1.4323311225391018,0.9489390481535956
G21EA,7.356534992834047,6.1950799558946095,11.480269540375023,1.3691605645263976
G21IP,20.767000602519722,37.27334559447834,29.284054315334142,3.1021035801103096
G2RC24,2.4473630644477766,2.4539256039658692,2.2089036667639266,2.0494967078033985
HAT707MR,5.581995115279698,5.106537936202878,13.730245636004929,3.31336400432819
HAT707nonMR,6.453809113867647,3.9758201797380592,19.105889053281068,1.902893291660126
HEAVYSB11,4.5039429566136455,4.972450643202108,9.423484533433466,2.700294079556406
HNBrBDE18,4.117039769325934,2.357050491447405,5.25448266977014,2.4849885860607213
IP23,32.710557244010374,35.92131562155285,26.23365635958448,2.6655135859284433
IP30,6.839126372388631,5.724189696542127,6.320130665827147,5.358702589153323
MB08-165,5.353671612582025,8.119795022380309,12.789990016198647,3.7904036679663684
MB16-43,27.8772591621045,39.41668283382607,30.178039190546702,15.430126484566387
MX34,49.87464301142364,36.8986876998968,21.376007607593515,13.552566531756169
NBPRC,2.823834562289098,1.7934803786651496,4.188935053448732,0.9487755260665577
P34AE,16.02188990643744,9.06982394848372,217.14273705798652,4.0268157370348865
P34EA,31.373184843109325,39.462127486688374,42.33208157685689,2.7821172330069626
P34IP,33.666927425041926,57.791686084452145,42.48767815751493,3.095432034289041
PA26,2.1093850568435224,2.342065055818729,4.046593151392253,1.5033153819055727
PlatonicRE18,2.9856603534715855,3.2238890892789343,5.101065260302202,3.612016518474875
PlatonicTAE6,95.36953840246356,10.38459546967484,768.6736607499361,4.017468880254512
RC21,2.655999090927943,2.4201456751809562,10.24538005265547,1.8180106381833372
RSE43,0.6317891524978193,0.8068181697051181,1.3347020121689184,0.7865778313128037
SIE4x4,37.61491862712673,32.91660162421133,93.10533956605231,10.612596235922776
SN13,2.055701520468031,3.146478978597903,26.88037237811992,0.5044102454502243
TAE_W4-17MR,26.98742770640817,8.41537367792637,25.00502222980386,3.964409077846841
TAE_W4-17nonMR,22.274856701922257,7.535484794499634,172.00852098097184,1.6956879779425096
WCPT6,0.43548624789615126,0.47861159458888897,0.5869826537273962,0.3426055309534271
YBDE18,3.9156331321386824,2.1335943371959902,6.640022556935148,2.978937531800584
