Dataset,Datatype,Model,Unit,N_total,N_used,Status,MAE,RMSE,Metric_Error,Standard_Error_Metric,MRE_NER
3d4dIPSS,Transition Metal,wB97M-V,kcal/mol,32,32,COMPLETE,5.105710718116072,9.534779961779918,5.105710718116072,5.193466247976917,0.9831027052702942
3d4dIPSS,Transition Metal,mace-polar-1-m,kcal/mol,32,32,COMPLETE,20.67708987167186,29.646953902127574,20.67708987167186,5.193466247976917,3.9813659864885986
CUAGAU83,Transition Metal,wB97M-V,kcal/mol,83,83,COMPLETE,5.875245087556626,8.467413301097794,5.875245087556626,3.838685949180172,1.5305354919204581
CUAGAU83,Transition Metal,mace-polar-1-m,kcal/mol,83,83,COMPLETE,24.739890171046298,37.19698593275931,24.739890171046298,3.838685949180172,6.444885176483373
DAPD,Transition Metal,wB97M-V,kcal/mol,12,12,COMPLETE,6.264820621215809,7.994102069394432,6.264820621215809,2.77676239494215,2.2561601354970553
DAPD,Transition Metal,mace-polar-1-m,kcal/mol,12,12,COMPLETE,7.474081796576772,11.303951176901036,7.474081796576772,2.77676239494215,2.6916533478668363
MME52,Transition Metal,wB97M-V,kcal/mol,52,52,COMPLETE,2.58171358274318,4.47755237539165,2.58171358274318,2.755491955852249,0.9369338122218104
MME52,Transition Metal,mace-polar-1-m,kcal/mol,52,36,INCOMPLETE,,,,2.755491955852249,
MOBH28,Transition Metal,wB97M-V,kcal/mol,56,56,COMPLETE,1.632152331397974,2.196851351832798,1.632152331397974,1.660350879510097,0.9830165126780652
MOBH28,Transition Metal,mace-polar-1-m,kcal/mol,56,56,COMPLETE,3.5412378272121905,4.528700548496413,3.5412378272121905,1.660350879510097,2.1328249774873296
MOR13,Transition Metal,wB97M-V,kcal/mol,13,13,COMPLETE,2.1462186770072877,2.498185323221956,2.1185485396453547,2.328361954355179,0.9098879732520236
MOR13,Transition Metal,mace-polar-1-m,kcal/mol,13,13,COMPLETE,5.42609608922564,6.352084781737928,6.580026404262239,2.328361954355179,2.826032435358412
ROST61,Transition Metal,wB97M-V,kcal/mol,61,61,COMPLETE,2.7851223295427836,3.901218859707964,2.7851223295427836,2.752369590407213,1.0118998332381388
ROST61,Transition Metal,mace-polar-1-m,kcal/mol,61,61,COMPLETE,4.065429300979746,5.591988000402802,4.065429300979746,2.752369590407213,1.4770651859942492
TMB11,Transition Metal,wB97M-V,kcal/mol,11,11,COMPLETE,1.3063884309858533,2.401900560260487,1.3799714084537036,1.481498656396261,0.9314699021128227
TMB11,Transition Metal,mace-polar-1-m,kcal/mol,11,11,COMPLETE,3.5277537275720663,5.2347927502309375,3.7480351518350306,1.481498656396261,2.529894398252179
TMD10,Transition Metal,wB97M-V,kcal/mol,10,10,COMPLETE,5.7028461165493765,7.364714734332442,6.467314039428806,5.643614741210356,1.1459524322600725
TMD10,Transition Metal,mace-polar-1-m,kcal/mol,10,10,COMPLETE,7.925936251494593,10.344461204002167,10.053383183192889,5.643614741210356,1.7813730462113
