Molecule,Formula,N_atoms,Charge,Multiplicity,MACE-OMOL-0-100M_eV,MACE-OMOL-0-100M,MACE-OMOL-0-4M_eV,MACE-OMOL-0-4M
BH28_BHDIV_1_min,C4H6BN,12,0,1,-6411.663146632736,-235.62427465738028,-6411.496906791437,-235.61816545589394
BH28_BHDIV_1_ts,C4H6BN,12,0,1,-6409.235846786436,-235.53507303331168,-6409.15573302759,-235.53212890697714
BH28_BHDIV_2_min,C6H6,12,0,1,-6312.472544705362,-231.97908727035406,-6312.468405251886,-231.97893514824463
BH28_BHDIV_2_ts,C6H6,12,0,1,-6310.276234352636,-231.898374353604,-6310.2521089060565,-231.897487759795
BH28_BHDIV_3_min,C3H8Si,12,0,1,-11117.161321314454,-408.5481430757152,-11117.142598029091,-408.5474550076692
BH28_BHDIV_3_ts,C3H8Si,12,0,1,-11114.368758624609,-408.4455182897304,-11114.32568065587,-408.4439352035785
BH28_BHPERI_1_min,C4H6,10,0,1,-4243.541462582778,-155.9472723742047,-4243.548344647705,-155.9475252854259
BH28_BHPERI_1_ts,C4H6,10,0,1,-4241.946812664636,-155.8886700706055,-4241.964342450091,-155.88931427833887
BH28_BHPERI_2_min,C6H8,14,0,1,-6349.980413041496,-233.35747600796068,-6349.976644228067,-233.35733750662177
BH28_BHPERI_2_ts,C6H8,14,0,1,-6348.637925238449,-233.3081404911696,-6348.57689263729,-233.30589758444643
BH28_BHPERI_3_min,C5H8,13,0,1,-5313.555834756979,-195.2695752698156,-5313.5579822156105,-195.26965418746474
BH28_BHPERI_3_ts,C5H8,13,0,1,-5311.894969490485,-195.20853959704687,-5311.8805438199615,-195.2080094634332
BH28_BHPERI_4_min,C5H6,11,0,1,-5281.203773112382,-194.08065893339167,-5281.201240642321,-194.0805658668335
BH28_BHPERI_4_ts,C5H6,11,0,1,-5280.043729656964,-194.03802812271078,-5280.023534182846,-194.03728595272588
BH28_BHPERI_5_min,C6H10,16,0,1,-6382.87371413092,-234.56628252711675,-6382.872886462347,-234.56625211085773
BH28_BHPERI_5_ts,C6H10,16,0,1,-6381.187947682474,-234.5043317527899,-6381.166974310302,-234.50356099557885
BH28_BHPERI_6_min,C4H6,10,0,1,-4243.965076940729,-155.96283991472328,-4243.964327374505,-155.96281236867262
BH28_BHPERI_6_ts,C6H10,16,0,1,-6380.916215824674,-234.49434579120222,-6380.890704104121,-234.49340825276437
BH28_CADBH_1_min,N2O,3,0,1,-5025.854766678331,-184.6967560287133,-5025.857948231123,-184.69687294862192
BH28_CADBH_1_ts,C2H4N2O,9,0,1,-7162.547768562541,-263.21877554542357,-7162.479066848725,-263.2162508040085
BH28_CADBH_2_min,HN3,4,0,1,-4484.602462849631,-164.8061007369969,-4484.6085633649855,-164.80632492680112
BH28_CADBH_2_ts,C2H5N3,10,0,1,-6621.611393863809,-243.33973043508902,-6621.538730622323,-243.33706011021732
BH28_CADBH_3_min,CH2N2,5,0,1,-4047.5852122373426,-148.74601299792698,-4047.5851759919647,-148.7460116659339
BH28_CADBH_3_ts,C3H6N2,11,0,1,-6184.826749394012,-227.28819081408955,-6184.779785423014,-227.28646491998867
BH28_CADBH_4_min,CHNO,4,0,1,-4587.6504698312,-168.59304514512175,-4587.663571150749,-168.5935266097348
BH28_CADBH_4_ts,C3H5NO,10,0,1,-6724.950412943648,-247.1373693405702,-6724.933475250056,-247.13674689181147
BH28_CADBH_5_min,CH2N2,5,0,1,-4046.4520522543544,-148.7043701366356,-4046.4591866364626,-148.70463232034223
BH28_CADBH_5_ts,C3H6N2,11,0,1,-6184.041689822557,-227.25934040697106,-6183.990844820319,-227.25747188760278
BH28_CADBH_6_min,C2H3N,6,0,1,-3609.8669518519655,-132.66016362485752,-3609.861148660685,-132.6599503615115
BH28_CADBH_6_ts,C4H7N,12,0,1,-5747.517302928883,-211.21736507548516,-5747.4742874084895,-211.21578428426767
BH28_CADBH_7_min,CH3NO,6,0,1,-4620.675759302905,-169.80670214786173,-4620.667558284033,-169.806400765977
BH28_CADBH_7_ts,C3H7NO,12,0,1,-6758.026402035958,-248.35288952000195,-6758.010423416452,-248.35230231656578
BH28_CADBH_8_min,CH4N2,7,0,1,-4079.5528345269495,-149.9208014486374,-4079.545159799039,-149.9205194075888
BH28_CADBH_8_ts,C3H8N2,13,0,1,-6217.207000211184,-228.4781430834983,-6217.170431427859,-228.4767992054983
BH28_CADBH_9_min,C2H5N,8,0,1,-3642.7428886657613,-133.86833201865417,-3642.7366102507694,-133.8681012911589
BH28_CADBH_9_ts,C4H9N,14,0,1,-5780.666608801394,-212.43557959689343,-5780.644317882188,-212.43476042072191
BH28_CADBH_c2h4,C2H4,6,0,1,-2137.9064940649214,-78.56661453181684,-2137.9062952705235,-78.56660722625746
BH28_CRBH_1_min,C2H3NO2,8,0,1,-7705.389150921784,-283.1678283960213,-7705.390243661776,-283.16786855347533
BH28_CRBH_1_ts,C2H3NO2,8,0,1,-7703.399033961476,-283.0946929466797,-7703.46823966937,-283.0972362095355
BH28_CRBH_2_min,C3H5NO2,11,0,1,-8775.267406839663,-322.4851291114753,-8775.265587626129,-322.485062256611
BH28_CRBH_2_ts,C3H5NO2,11,0,1,-8773.091371986053,-322.4051613055745,-8773.122155049849,-322.4062925623035
BH28_CRBH_3_min,C3H3NO3,10,0,1,-10791.247807336538,-396.57104234914095,-10791.243289538163,-396.57087632311294
BH28_CRBH_3_ts,C3H3NO3,10,0,1,-10789.353342568695,-396.50142205303706,-10789.363109161479,-396.50178096870184
BH28_CRBH_4_min,C2H3NOS,8,0,1,-16493.31112802874,-606.1180043872439,-16493.301604697434,-606.1176544112734
BH28_CRBH_4_ts,C2H3NOS,8,0,1,-16491.221631046803,-606.0412167894696,-16491.17538558509,-606.0395173000979
BH28_CRBH_5_min,C3H5NOS,11,0,1,-17563.105850385422,-645.4322353009449,-17563.09765409228,-645.4319340927275
BH28_CRBH_5_ts,C3H5NOS,11,0,1,-17560.85004203188,-645.3493358729941,-17560.76960910037,-645.3463800172805
BH28_CRBH_6_min,C3H3NO2S,10,0,1,-19578.87546399016,-719.510402263201,-19578.856154194764,-719.5096926413088
