Molecule,Formula,N_atoms,Charge,Multiplicity
BH28_BHDIV_1_min,C4H6BN,12,0,1
BH28_BHDIV_1_ts,C4H6BN,12,0,1
BH28_BHDIV_2_min,C6H6,12,0,1
BH28_BHDIV_2_ts,C6H6,12,0,1
BH28_BHDIV_3_min,C3H8Si,12,0,1
BH28_BHDIV_3_ts,C3H8Si,12,0,1
BH28_BHPERI_1_min,C4H6,10,0,1
BH28_BHPERI_1_ts,C4H6,10,0,1
BH28_BHPERI_2_min,C6H8,14,0,1
BH28_BHPERI_2_ts,C6H8,14,0,1
BH28_BHPERI_3_min,C5H8,13,0,1
BH28_BHPERI_3_ts,C5H8,13,0,1
BH28_BHPERI_4_min,C5H6,11,0,1
BH28_BHPERI_4_ts,C5H6,11,0,1
BH28_BHPERI_5_min,C6H10,16,0,1
BH28_BHPERI_5_ts,C6H10,16,0,1
BH28_BHPERI_6_min,C4H6,10,0,1
BH28_BHPERI_6_ts,C6H10,16,0,1
BH28_CADBH_1_min,N2O,3,0,1
BH28_CADBH_1_ts,C2H4N2O,9,0,1
BH28_CADBH_2_min,HN3,4,0,1
BH28_CADBH_2_ts,C2H5N3,10,0,1
BH28_CADBH_3_min,CH2N2,5,0,1
BH28_CADBH_3_ts,C3H6N2,11,0,1
BH28_CADBH_4_min,CHNO,4,0,1
BH28_CADBH_4_ts,C3H5NO,10,0,1
BH28_CADBH_5_min,CH2N2,5,0,1
BH28_CADBH_5_ts,C3H6N2,11,0,1
BH28_CADBH_6_min,C2H3N,6,0,1
BH28_CADBH_6_ts,C4H7N,12,0,1
BH28_CADBH_7_min,CH3NO,6,0,1
BH28_CADBH_7_ts,C3H7NO,12,0,1
BH28_CADBH_8_min,CH4N2,7,0,1
BH28_CADBH_8_ts,C3H8N2,13,0,1
BH28_CADBH_9_min,C2H5N,8,0,1
BH28_CADBH_9_ts,C4H9N,14,0,1
BH28_CADBH_c2h4,C2H4,6,0,1
BH28_CRBH_1_min,C2H3NO2,8,0,1
BH28_CRBH_1_ts,C2H3NO2,8,0,1
BH28_CRBH_2_min,C3H5NO2,11,0,1
BH28_CRBH_2_ts,C3H5NO2,11,0,1
BH28_CRBH_3_min,C3H3NO3,10,0,1
BH28_CRBH_3_ts,C3H3NO3,10,0,1
BH28_CRBH_4_min,C2H3NOS,8,0,1
BH28_CRBH_4_ts,C2H3NOS,8,0,1
BH28_CRBH_5_min,C3H5NOS,11,0,1
BH28_CRBH_5_ts,C3H5NOS,11,0,1
BH28_CRBH_6_min,C3H3NO2S,10,0,1
BH28_CRBH_6_ts,C3H3NO2S,10,0,1
BH28_PXBH_1_min,H12N4,16,0,1
BH28_PXBH_1_ts,H12N4,16,0,1
BH28_PXBH_2_min,H8O4,12,0,1
BH28_PXBH_2_ts,H8O4,12,0,1
BH28_PXBH_3_min,H4F4,8,0,1
BH28_PXBH_3_ts,H4F4,8,0,1
BH28_PXBH_4_min,H5F5,10,0,1
BH28_PXBH_4_ts,H5F5,10,0,1
