,MACE-OMOL-0-100M,MACE-OMOL-0-4M
11_Rxn1_TS_0cat_WCPT27,-189.73254604879378,-189.73100264438025
11_c2h4_BH76,-78.5665330678644,-78.56652578703071
12_Rxn2_TS_0cat_WCPT27,-169.83398024799635,-169.83286647149907
12_c2h5_lower_BH76,-79.12889230060279,-79.12721036785818
13_Rxn3_TS_0cat_WCPT27,-153.718640387219,-153.71843266510072
13_c2h5ts_BH76,-79.05487261933158,-79.05011636374932
13react_CRBH20,-684.7362486390958,-684.7360251286796
13ts_CRBH20,-684.6567640599557,-684.6534333708884
14_Rxn4_TS_0cat_WCPT27,-149.93321077683444,-149.93152197988633
14react_CRBH20,-744.6899566462686,-744.6897721132158
14ts_CRBH20,-744.606570350729,-744.604713048892
15_Rxn5_TS_0cat_WCPT27,-133.83065701701244,-133.83072324988032
15react_CRBH20,-684.7442652504404,-684.7439620026985
15ts_CRBH20,-684.6680685745457,-684.6664221987519
16react_CRBH20,-720.6843760666723,-720.6833197174027
16ts_CRBH20,-720.6195788513513,-720.6152137848812
17_Rxn7_TS_0cat_WCPT27,-512.6643704914198,-512.6637329101727
17react_CRBH20,-700.8030169871723,-700.8020646890568
17ts_CRBH20,-700.7500211222947,-700.7473266614837
18_Rxn8_TS_0cat_WCPT27,-492.77507704686457,-492.77433422299185
18react_CRBH20,-744.7133953427468,-744.7115553823475
18ts_CRBH20,-744.641129052824,-744.636094836443
19_Rxn9_TS_0cat_WCPT27,-476.6637684484318,-476.66456378836074
19react_CRBH20,-724.0554385118303,-724.0553722777487
19ts_CRBH20,-723.9839407892388,-723.9813775162579
20_Rxn1_TS_1cat_WCPT27,-266.2175865466012,-266.21790397947075
20_ch3f_BH76,-139.74806577626907,-139.74797048416468
21_Rxn2_TS_1cat_WCPT27,-246.322046807558,-246.32186998415074
21_ch3fclts_BH76,-599.7784720094406,-599.7761927658107
22_Rxn3_TS_1cat_WCPT27,-230.20527995996713,-230.20511502829837
22_ch3_lower_BH76,-39.82379284358219,-39.82345245987157
23_Rxn4_TS_1cat_WCPT27,-226.42953538282524,-226.42910115032487
23_ch3oh_lower_BH76,-115.71710618280936,-115.71708603303686
24_CH3_upper_BH76,-39.82379284358219,-39.82345245987157
24_Rxn5_TS_1cat_WCPT27,-210.3170528324531,-210.31701920752334
25_CH4_BH76,-40.49109822856621,-40.49099384528205
25_Rxn6_TS_1cat_WCPT27,-194.21987290693994,-194.22037355967765
26_Rxn7_TS_1cat_WCPT27,-589.1413314602609,-589.1415116521655
27_Rxn8_TS_1cat_WCPT27,-569.2507182976098,-569.2518849593099
27_clch3clcomp_BH76,-960.3623265737444,-960.3618592615072
28_Rxn9_TS_1cat_WCPT27,-553.1428099396558,-553.1416918350565
28_clch3clts_BH76,-960.3425087246721,-960.3232023683865
29_Rxn1_TS_2cat_WCPT27,-342.6709586451913,-342.6711276574664
29_clf_BH76,-559.9735496376455,-559.97388587716
30_Rxn2_TS_2cat_WCPT27,-322.77472978559564,-322.7742035817054
30_cl_lower_BH76,-460.13312743685253,-460.1281456776466
31_Rxn3_TS_2cat_WCPT27,-306.66266054940814,-306.66205113646356
32_Rxn4_TS_2cat_WCPT27,-302.8847373969761,-302.8853794169028
33_Rxn5_TS_2cat_WCPT27,-286.77665771861444,-286.7762666302971
33_f-_BH76,-99.8682644688914,-99.85679570089528
34_Rxn6_TS_2cat_WCPT27,-270.67480827202604,-270.67449975685923
35_Rxn7_TS_2cat_WCPT27,-665.5909854333529,-665.589321497731
35_fch3clcomp1_BH76,-599.980756647928,-599.9771553334132
36_Rxn8_TS_2cat_WCPT27,-645.6987589774114,-645.698497919604
