Dataset,Datatype,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
BH28,Barrier Height,0.9850912835756128,1.4605949290636764,1.9362108704107943
BH46,Barrier Height,1.4193168480753358,2.343318990150922,5.07811398018933
BH876,Barrier Height,1.368165316460258,2.1226017978088754,4.833403636095956
BHDIV7,Barrier Height,1.4722636962125653,1.6525514845814535,3.9972524729416787
BHPERI11,Barrier Height,1.3359406075006326,1.2070600202476494,3.04883901448617
BHROT27,Barrier Height,0.22174432900191884,0.24662613943787035,0.25165023965605904
CRBH14,Barrier Height,1.1396804343044427,0.7259668326084794,1.1409654464409786
DBH22,Barrier Height,1.1747044640548656,2.1720654436908826,4.391444430119969
INV23,Barrier Height,1.0580395608231512,1.6402644997542848,2.327454465784968
ORBH35,Barrier Height,2.1969168218617594,4.101479716181402,5.894449277440133
PX9,Barrier Height,1.8165338922457366,3.4150478680655123,3.990831297359383
WCPT26,Barrier Height,1.2132107697975487,1.7938355534788064,1.794882237345181
