Dataset,Datatype,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
BH28,Barrier Height,1.285163335742605,2.0647279637032305,2.3294754885183746
BH46,Barrier Height,1.8413879085245264,2.9033586650176506,6.364754003639128
BH876,Barrier Height,1.8047710106233512,3.533088277666079,8.754643778045962
BHDIV7,Barrier Height,1.852917983447746,2.1350445451942917,4.91114701318394
BHPERI11,Barrier Height,1.629023423453799,2.198522717519297,3.2447894100686083
BHROT27,Barrier Height,0.29876624953494046,0.3007750414436779,0.30603114207447324
CRBH14,Barrier Height,1.346025294997269,0.8684797247136665,1.510037342345223
DBH22,Barrier Height,1.5248116042279776,2.7604306863784345,5.34493681634891
INV23,Barrier Height,1.4287911557469979,2.113386594677133,4.79441934813642
ORBH35,Barrier Height,3.9192542534316184,6.0047492132696245,10.130250099101076
PX9,Barrier Height,2.029945827686912,3.9876161704627044,4.718777396962695
WCPT26,Barrier Height,1.5606247066546277,2.309930528744252,2.259569035206231
