Dataset,Datatype,wB97M-V,MACE-OMOL-0-100M,MACE-OMOL-0-4M
BH28,Barrier Height,0.838410606072265,1.2431114761846929,1.6479079212360312
BH46,Barrier Height,1.0803362811026826,1.7836556556697536,3.8652896848315916
BH876,Barrier Height,0.8482688006591642,1.3160228955099533,2.996732526519836
BHDIV7,Barrier Height,1.2740121364530277,1.43002279611075,3.4589918749577824
BHPERI11,Barrier Height,1.2119100569926402,1.0949949194737487,2.7657806365509177
BHROT27,Barrier Height,0.7354679730594983,0.8179944339153319,0.8346580609877836
CRBH14,Barrier Height,1.3216114838153887,0.8418553780209529,1.3231016267935163
DBH22,Barrier Height,0.9736130445095039,1.8002410940076203,3.639696376606016
INV23,Barrier Height,0.9405961158171393,1.4581935066599112,2.06910470205425
ORBH35,Barrier Height,0.9694827994126672,1.8099520188516387,2.6011759433139896
PX9,Barrier Height,1.583966239017356,2.977825269726489,3.4798921548423056
WCPT26,Barrier Height,0.9612580015019109,1.4213019057256275,1.4221312201915413
